,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11
0,-1,197,-1_risk_urban_policy_city,"('risk', 0.023199318282531033)","('heat', 0.04639219334114624)","('flood', 0.08546869264693609)","('management', 0.03353907960427391)","('disaster', 0.08444653220658407)","('health', 0.15060509356459098)","('water', 0.14641149904118)","('retreat', 0.03909309680527689)","('transportation', 0.06876385888418093)","('city', 0.041348555059414725)","('storm', 0.053907749494205466)","('migration', 0.14747087149493762)","('city', 0.060617438291899056)"
1,0,58,0_heat_building_energy_urban,"('urban', 0.02207179448391764)","('building', 0.04133061457621659)","('risk', 0.048393134089827934)","('landscape', 0.03159599685322489)","('risk', 0.05646665720693857)","('public', 0.04415161124103675)","('resource', 0.035708834758902595)","('mindfulness', 0.03503141097868175)","('infrastructure', 0.06339254107770985)","('urban', 0.03242002353335881)","('surge', 0.05370938861702072)","('resettlement', 0.065115450375367)","('urban', 0.055762587818796026)"
2,1,53,1_flood_risk_urban_flooding,"('policy', 0.02059282350765437)","('energy', 0.03852201112837846)","('urban', 0.03065769204062839)","('conservation', 0.030344074438974813)","('drr', 0.04000701996600491)","('population', 0.028418890997919548)","('sector', 0.029910316843436667)","('marine', 0.03375553180259115)","('weather', 0.04561352427783266)","('challenge', 0.028905277263679145)","('risk', 0.051815241864175035)","('mobility', 0.04260500884693219)","('governance', 0.0504701063721567)"
3,2,43,2_management_landscape_conservation_resource,"('city', 0.02001245570402409)","('urban', 0.031893646193692074)","('flooding', 0.028890003915429452)","('resource', 0.02310903017291495)","('resilience', 0.03807107690663556)","('disease', 0.02813770106176063)","('supply', 0.029460438116980407)","('impact', 0.028090998634313673)","('road', 0.04547429250145606)","('development', 0.02369060542690613)","('coastal', 0.03264884609829308)","('household', 0.03828572031074514)","('african', 0.045448816079477386)"
4,3,35,3_disaster_risk_drr_resilience,"('planning', 0.017553217234107885)","('design', 0.030508672110438464)","('management', 0.022604993518601207)","('scale', 0.02137847413948809)","('cca', 0.03434170332847791)","('impact', 0.027059312900591093)","('impact', 0.027681235766707876)","('tourism', 0.02492668172774412)","('transport', 0.045104947027532115)","('global', 0.022948630601668817)","('area', 0.0325328890889808)","('people', 0.031067973245893506)","('settlement', 0.0410464445224163)"
5,4,27,4_health_public_population_disease,"('impact', 0.017354406922864826)","('effect', 0.025926734489862317)","('decision', 0.020857762484305913)","('community', 0.020659358036884245)","('development', 0.026559193569309348)","('human', 0.026525618502387712)","('management', 0.027385989433494295)","('individual', 0.02057231072625092)","('impact', 0.03404844164365266)","('assessment', 0.0223713165095512)","('vulnerability', 0.029882962736940466)","('strategy', 0.029881122074691093)","('informal', 0.0410464445224163)"
6,5,24,5_water_resource_sector_supply,"('level', 0.01553991931979038)","('environment', 0.021701523033903485)","('system', 0.020667221320752365)","('ecosystem', 0.019360845011375298)","('management', 0.02385016393956932)","('mental', 0.022642760927493656)","('policy', 0.025498796946047307)","('environmental', 0.020079879083670246)","('uncertainty', 0.03296428236797048)","('planning', 0.021646863750069727)","('future', 0.02844962487132547)","('relocation', 0.026683304371197973)","('development', 0.04041933651057936)"
7,6,22,6_retreat_mindfulness_marine_impact,"('resilience', 0.015118031071628327)","('thermal', 0.02126242454891503)","('responsibility', 0.01892787296817616)","('readiness', 0.019153019785588084)","('vulnerability', 0.023425653444982614)","('policy', 0.022430821759906853)","('adaptive', 0.023395443462729287)","('engagement', 0.019562852550533732)","('agency', 0.030089563820509445)","('environmental', 0.02030466407819051)","('extreme', 0.0275867068852946)","('ideal', 0.026683304371197973)","('planning', 0.03639718753007606)"
8,7,20,7_transportation_infrastructure_weather_road,"('event', 0.014631788363990338)","('cost', 0.018154884744376827)","('governance', 0.018863731596000598)","('livelihood', 0.018864777369610366)","('reduction', 0.02179332401505752)","('environment', 0.021720744932073464)","('capacity', 0.022958070512606933)","('people', 0.019245464924662628)","('risk', 0.028216031928245535)","('economic', 0.020257158258444468)","('cyclone', 0.02494902386288206)","('theory', 0.025191878329673862)","('poor', 0.03591823208112843)"
9,8,20,8_city_urban_challenge_development,"('approach', 0.014006023012530287)","('temperature', 0.017843918110551065)","('measure', 0.018680956825726097)","('soil', 0.018587564875103567)","('local', 0.019790970603406757)","('aboriginal', 0.0214457717654943)","('basin', 0.02179068561622379)","('social', 0.01916329626278425)","('event', 0.028023310589452288)","('sustainable', 0.020209274238347587)","('impact', 0.02476071794270242)","('government', 0.024813876657642706)","('africa', 0.0321046835148917)"
10,9,17,9_storm_surge_risk_coastal,,,,,,,,,,,,,
11,10,14,10_migration_resettlement_mobility_household,,,,,,,,,,,,,
12,11,12,11_city_urban_governance_african,,,,,,,,,,,,,
