,Topic,Count,Name,-1,0,1
0,-1.0,10.0,-1_tourism_nb_future_decision,"('tourism', 0.06871554773719254)","('policy', 0.033229251763362354)","('building', 0.142413445208408)"
1,0.0,373.0,0_policy_development_risk_city,"('nb', 0.05752581897455611)","('development', 0.02482839881010048)","('design', 0.11502450746891313)"
2,1.0,17.0,1_building_design_energy_vernacular,"('future', 0.05097445057539552)","('risk', 0.023211827644109426)","('energy', 0.059051740025635006)"
3,,,,"('decision', 0.048887569887598285)","('city', 0.02283292019614411)","('vernacular', 0.04168621543759416)"
4,,,,"('vulnerability', 0.04862669184044469)","('urban', 0.02146821389552102)","('architecture', 0.039334491093970345)"
5,,,,"('measure', 0.03914495704651221)","('planning', 0.020726877255747626)","('solution', 0.038462635175752664)"
6,,,,"('lct', 0.038784320467304144)","('strategy', 0.02026338748809614)","('adaptive', 0.03810603077434569)"
7,,,,"('sector', 0.03796465676025951)","('approach', 0.020256855779088038)","('model', 0.03768391512175247)"
8,,,,"('planning', 0.034961476812999714)","('in', 0.01972790522276203)","('envelope', 0.03473851286466181)"
9,,,,"('transport', 0.033110159050439146)","('local', 0.01970037456346418)","('result', 0.027986412298202853)"
