,Topic,Count,Name,-1,0,1
0,-1.0,7.0,-1_snowmobiling_snow_tourist_tourism,"('snowmobiling', 0.17602429586452562)","('farmer', 0.04241909896940399)","('fishery', 0.144617433428067)"
1,0.0,1228.0,0_farmer_impact_crop_agricultural,"('snow', 0.17249694211378158)","('impact', 0.028064820439069226)","('coastal', 0.11274043685680878)"
2,1.0,15.0,1_fishery_coastal_marine_fish,"('tourist', 0.15771263750547518)","('crop', 0.025983546554125603)","('marine', 0.0827630988607803)"
3,,,,"('tourism', 0.14645643037794479)","('agricultural', 0.02378964348860581)","('fish', 0.07448678897470226)"
4,,,,"('destination', 0.11309533099983428)","('strategy', 0.02362415426096843)","('community', 0.06975878843272516)"
5,,,,"('recreation', 0.10696890261671413)","('water', 0.023597695609543466)","('fishing', 0.06650803196040676)"
6,,,,"('winter', 0.09230572800604726)","('household', 0.021942620074394674)","('fisherman', 0.05923187307359611)"
7,,,,"('condition', 0.08496401028560226)","('food', 0.021938374744379034)","('impact', 0.056661590150843606)"
8,,,,"('substitution', 0.07722328629674986)","('result', 0.020147609182483307)","('small', 0.05543573331329557)"
9,,,,"('ski', 0.0701052175505325)","('policy', 0.019271758735723236)","('document', 0.04477518436454737)"
