,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11
0,-1,181,-1_urban_temperature_city_heat,"('urban', 0.025528286490182846)","('energy', 0.05295993792548436)","('urban', 0.07267365087010262)","('coastal', 0.032785859352172396)","('heat', 0.09991991998234342)","('urban', 0.05407085971389806)","('water', 0.10838359024655869)","('bond', 0.05514473913236623)","('roof', 0.11747766424825098)","('degree', 0.169882706081362)","('nasal', 0.07311797296300274)","('trend', 0.08830597939120158)","('city', 0.07773988914089701)"
1,0,182,0_energy_building_thermal_demand,"('temperature', 0.024388649251816528)","('building', 0.0474873996106467)","('heat', 0.045606938724545514)","('sea', 0.025722248790167542)","('health', 0.05328880417837261)","('green', 0.040073649332554494)","('groundwater', 0.04000378673415512)","('mitigation', 0.044511979891596394)","('green', 0.08657029167896113)","('global', 0.15756832767056572)","('thermal', 0.06289351818589277)","('precipitation', 0.07275888492383671)","('urban', 0.0703148973851281)"
2,1,70,1_urban_heat_effect_cooling,"('city', 0.01927969106519413)","('thermal', 0.01985273595039947)","('effect', 0.040684280893775085)","('carbon', 0.024603109302315986)","('risk', 0.035370212396819194)","('city', 0.04003906034121544)","('system', 0.03435957867672104)","('green', 0.035589440291556314)","('thermal', 0.036692914790837514)","('warming', 0.14504262842934137)","('human', 0.05371102582794519)","('zone', 0.043988163986116297)","('mitigation', 0.06497139496077863)"
3,2,63,2_coastal_sea_carbon_ecosystem,"('heat', 0.01806147218455019)","('demand', 0.019573614065023066)","('cooling', 0.03835601377965807)","('ecosystem', 0.02245106552501314)","('related', 0.029703194740607012)","('infrastructure', 0.033454583908567564)","('management', 0.030927077645763926)","('political', 0.030056312312493113)","('urban', 0.03520363451161414)","('emission', 0.13426607068423985)","('breadth', 0.04791171198641247)","('model', 0.04062704683089156)","('planning', 0.05563052321587268)"
4,3,49,3_heat_health_risk_related,"('impact', 0.01646707380273985)","('system', 0.01943189034908591)","('temperature', 0.03755101455458554)","('level', 0.022350896113961304)","('mortality', 0.027912004258278292)","('tree', 0.03302400955312228)","('supply', 0.019947441323818704)","('policy', 0.029572034528011725)","('facade', 0.02940398594491207)","('cumulative', 0.09701510250632457)","('cavity', 0.03322745064586912)","('station', 0.04011782099144304)","('plan', 0.049095351352280665)"
5,4,42,4_urban_green_city_infrastructure,"('green', 0.015888655734136715)","('cooling', 0.01924322177471888)","('land', 0.03391134578759664)","('coral', 0.021982118166674915)","('temperature', 0.02579903391891296)","('space', 0.02720900405563123)","('aquifer', 0.019017566008235166)","('emission', 0.026458035297620086)","('cooling', 0.02939006552773731)","('limiting', 0.08084591875527047)","('mtdna', 0.03094032211499783)","('bioclimatic', 0.03972512489351117)","('emission', 0.03987786290608321)"
6,5,40,5_water_groundwater_system_management,"('water', 0.015707377859014018)","('design', 0.019177180665678847)","('area', 0.03215858211200768)","('yield', 0.01953570833043111)","('exposure', 0.025257620521987597)","('gi', 0.025442100139992253)","('demand', 0.018260141110422012)","('effort', 0.025022806368978696)","('greening', 0.028462782814013172)","('co2', 0.07503102733597894)","('comfort', 0.030372621325520835)","('land', 0.035118511239508585)","('development', 0.03846451639170287)"
7,6,24,6_bond_mitigation_green_political,"('area', 0.015685346926050395)","('solar', 0.01871813602433558)","('lst', 0.03147458066584255)","('temperature', 0.019194199279016392)","('group', 0.023958193700782154)","('benefit', 0.022914174373108415)","('recharge', 0.018016641481485945)","('world', 0.023219731025858868)","('summer', 0.028147301976761477)","('paris', 0.058854083189705024)","('may', 0.030278532244070018)","('climatic', 0.03488536512467101)","('private', 0.03330972681548751)"
8,7,23,7_roof_green_thermal_urban,"('increase', 0.015427662094284608)","('consumption', 0.01745794311761491)","('island', 0.030645575776853205)","('marsh', 0.019185054812684166)","('strategy', 0.022788131192615572)","('park', 0.022508060318376964)","('irrigation', 0.01727866727457898)","('gas', 0.02233332572150949)","('tree', 0.027793047780243225)","('human', 0.05219997395043267)","('body', 0.030070560639125835)","('ffp', 0.033851416689313824)","('local', 0.033297064163788775)"
9,8,18,8_degree_global_warming_emission,"('effect', 0.013955121483956367)","('heating', 0.01720630864177381)","('city', 0.03053292805375891)","('sediment', 0.018960413572549895)","('stress', 0.022442243431240995)","('health', 0.019951314680527927)","('flow', 0.01657904838201409)","('srm', 0.02158397771723162)","('temperature', 0.027284968680383822)","('mitigation', 0.045911395889685375)","('mass', 0.02962196664969802)","('fd', 0.032915451851301424)","('ghg', 0.03246348174943362)"
10,9,17,9_nasal_thermal_human_breadth,,,,,,,,,,,,,
11,10,15,10_trend_precipitation_zone_model,,,,,,,,,,,,,
12,11,11,11_city_urban_mitigation_planning,,,,,,,,,,,,,
