,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
0,-1,2733,-1_farmer_crop_impact_agricultural,"('farmer', 0.008543988749591211)","('water', 0.046063947736120374)","('adoption', 0.03251175840299622)","('building', 0.05834624289743952)","('precipitation', 0.04180863143624471)","('coastal', 0.06237686138616751)","('urban', 0.04852966655249578)","('health', 0.06378913577456818)","('flood', 0.07330325159416791)","('farmer', 0.047978576140739776)","('heat', 0.069878410628374)","('disaster', 0.049675355528401806)","('country', 0.03130987645142489)","('forest', 0.09105995429819083)","('fishery', 0.07992452518620355)","('food', 0.09425598947759146)","('glacier', 0.06177025932402131)","('runoff', 0.03588060124553917)","('rice', 0.11423435912524892)","('household', 0.0520062010918832)","('fire', 0.12482540564133429)","('yield', 0.04633070902581748)","('wine', 0.07804754115347914)","('nasal', 0.05866347863211159)","('forest', 0.03236058180349738)","('perception', 0.06414130526987907)","('water', 0.059467411414815236)","('indigenous', 0.08558174208173826)","('inuit', 0.06134311888115359)","('energy', 0.045744880478121856)","('soil', 0.08816324936299207)","('livestock', 0.048989872227083)","('island', 0.07748107218966747)","('pastoralists', 0.04712779999688633)","('urban', 0.0476431879497287)","('gender', 0.08313045975275378)","('bangladesh', 0.051318168640084004)","('population', 0.041200898063329515)","('degree', 0.1287436530035185)","('forest', 0.0683091670622686)","('ski', 0.10408065462813942)","('coffee', 0.2075777178768991)","('migration', 0.13751426446221868)","('tourism', 0.13054502813689323)","('drought', 0.10626906694260413)","('trend', 0.07875673309578818)","('municipality', 0.05551753007763439)","('genotype', 0.048480803223818474)","('wheat', 0.09540113749958465)","('vegetation', 0.06714558788386464)","('railway', 0.05061528978932343)","('stormwater', 0.05119400727678938)","('fruit', 0.06555654142236529)","('forecast', 0.09983208208697295)","('maize', 0.10415600902406999)","('marsh', 0.08409939593545364)","('woman', 0.10076431635702945)","('livelihood', 0.04513951800561806)","('n2o', 0.03884306151459162)","('farming', 0.02720816981456153)","('drought', 0.06198708515715275)","('grassland', 0.12230020183060053)","('reservoir', 0.1377786867765322)","('recreation', 0.0739508591420691)","('cocoa', 0.2204933556261259)","('coral', 0.19309452715493167)","('power', 0.08897017537822116)","('thermal', 0.15157079782586716)","('land', 0.05577429098121597)","('shrimp', 0.11711104628023314)","('electricity', 0.1267152814729915)","('flooding', 0.0632110087594714)","('mangrove', 0.12502367141085358)","('wetland', 0.17540506488778815)","('potato', 0.1554816053957533)","('lake', 0.24734196183787674)","('farm', 0.0471658315782796)","('river', 0.05108763057422917)","('student', 0.08310827342644515)","('co2', 0.16457477405759752)","('seedling', 0.10058691265278956)","('farmer', 0.036074446402050174)","('hydropower', 0.08655775328159687)","('npp', 0.049438664651272564)"
1,0,246,0_water_groundwater_irrigation_resource,"('crop', 0.007433717408832509)","('groundwater', 0.025019610993707107)","('farmer', 0.0319678493243795)","('energy', 0.04343734535293746)","('extreme', 0.030809335419151117)","('sea', 0.045713898264632395)","('cooling', 0.04099066386225601)","('disease', 0.02924244268924938)","('risk', 0.03333910083517016)","('risk', 0.030961593362939736)","('mortality', 0.03654099515944118)","('risk', 0.020478076487687905)","('finance', 0.02353489407111966)","('owner', 0.03443723644712087)","('fish', 0.04880087181941861)","('security', 0.041083067607213364)","('mountain', 0.03480432828798445)","('flow', 0.03145064938951415)","('yield', 0.03903704784541254)","('vulnerability', 0.0469599594053729)","('wildfire', 0.0715972363601527)","('crop', 0.045450984761398756)","('grape', 0.057727086395422074)","('neandertal', 0.0377264685160676)","('ecosystem', 0.021297979364231123)","('farmer', 0.04861291099744635)","('sanitation', 0.024031747146135204)","('knowledge', 0.06415313832137906)","('arctic', 0.05610538400214784)","('emission', 0.03583587654573616)","('soc', 0.0860931439763822)","('cattle', 0.028314709626818615)","('sids', 0.030290881059219305)","('herder', 0.044508395468754035)","('city', 0.04712855712066682)","('woman', 0.0616614356627889)","('corruption', 0.0189014583866229)","('butterfly', 0.028554754544059986)","('warming', 0.08441033735525498)","('stand', 0.04475261965670926)","('snow', 0.06077949963600672)","('shade', 0.02933665982678577)","('migrant', 0.03343641356337655)","('tourist', 0.09252272211300368)","('index', 0.03500843416395562)","('rainfall', 0.06151300923431847)","('municipal', 0.05498271060220666)","('wheat', 0.03862277856230515)","('yield', 0.03934838570694617)","('ndvi', 0.04090970706868623)","('infrastructure', 0.04449379771326162)","('runoff', 0.04725141076650754)","('apple', 0.06526402938488626)","('information', 0.052400748563511006)","('yield', 0.04607473825771904)","('sediment', 0.04360821753923913)","('gender', 0.09614355545248446)","('farmer', 0.025154544529902543)","('yield', 0.03245927186950419)","('feed', 0.02250143531233105)","('vulnerability', 0.03684454190748352)","('grazing', 0.0644702752412903)","('rule', 0.06824392549608417)","('wilderness', 0.067575880816954)","('farm', 0.03654825281703512)","('reef', 0.15212492888733734)","('energy', 0.05844901973886607)","('comfort', 0.09034004768397698)","('cover', 0.0518061888211033)","('aquaculture', 0.09926868518185838)","('demand', 0.10580666202406679)","('urban', 0.047042371102164)","('carbon', 0.07657444767776002)","('mire', 0.04850835816145273)","('yield', 0.05387014758023235)","('change', 0.03688698023112295)","('farmer', 0.030676712715622896)","('restoration', 0.042263485969935066)","('course', 0.045424893702262624)","('elevated', 0.055459738680883275)","('bud', 0.09153045810486478)","('rainfall', 0.023710812915929916)","('electricity', 0.08244866854589483)","('ndvi', 0.04907774831883496)"
2,1,181,1_adoption_farmer_farm_csa,"('impact', 0.00694460329562006)","('irrigation', 0.024767743223991244)","('farm', 0.02291790113143171)","('thermal', 0.025813120452454926)","('rainfall', 0.022675587122788447)","('rise', 0.02928850082752626)","('heat', 0.035984062006487794)","('dengue', 0.029176486148183894)","('insurance', 0.021782132772492028)","('behavior', 0.028422430450177647)","('health', 0.026990542494954747)","('hazard', 0.020271323637684583)","('bond', 0.021700146158267902)","('management', 0.027589530095057043)","('fishing', 0.04646429860186126)","('system', 0.018148011322945037)","('permafrost', 0.028854511027756546)","('river', 0.029250749022392695)","('temperature', 0.016896949661428746)","('livelihood', 0.027989081530705756)","('forest', 0.03631491852991294)","('maize', 0.03169512186518245)","('vineyard', 0.0359083410380819)","('human', 0.03560209719990087)","('land', 0.019521454777411146)","('perceived', 0.022410780032275247)","('diarrhea', 0.019017728621737073)","('community', 0.02984626723767857)","('community', 0.02878214355833059)","('carbon', 0.031232494879391875)","('organic', 0.044158482162420236)","('production', 0.024672911376149808)","('pacific', 0.02731158176804227)","('livelihood', 0.029331653638298982)","('green', 0.03916762469372696)","('female', 0.041407026332871424)","('vulnerability', 0.01724429270447941)","('temperature', 0.026423419796952372)","('global', 0.08224787477489076)","('tree', 0.034259578069379064)","('snowmaking', 0.05537450222203088)","('production', 0.026210949303849127)","('mobility', 0.030846875432239164)","('destination', 0.05226026598640628)","('standardized', 0.026212052832091152)","('station', 0.04368705255163182)","('city', 0.04961512846581129)","('bean', 0.03571458815241433)","('sowing', 0.03489306445761928)","('forest', 0.03634700071939914)","('rail', 0.03290768015977949)","('infiltration', 0.03240185667903151)","('chill', 0.06142911900662022)","('meteorological', 0.03493535293412423)","('radiation', 0.02867809631520454)","('runnel', 0.04011288538301082)","('men', 0.030725137859083863)","('smallholder', 0.022838170693043603)","('system', 0.0305539875049001)","('gambia', 0.021651717765778736)","('africa', 0.025131602828086675)","('ecological', 0.027752809579178587)","('operation', 0.03720304605549417)","('conservation', 0.045083138425110976)","('shade', 0.027480369937001557)","('bleaching', 0.07839445087706481)","('outage', 0.045817862371728205)","('sensation', 0.05623399239457635)","('flux', 0.05098203622245062)","('prawn', 0.06426962054228956)","('consumption', 0.058656073443273955)","('drainage', 0.045673025855822065)","('seaweed', 0.07250662949188505)","('ecosystem', 0.03292697023115406)","('date', 0.0465341812841197)","('qinghai', 0.03674119371108363)","('household', 0.027397337491567742)","('freshwater', 0.041562157949711666)","('environmental', 0.04359800047657869)","('cultivar', 0.04419190894715771)","('dormancy', 0.08364181335982654)","('community', 0.021747017704502974)","('power', 0.06558232485614512)","('vegetation', 0.039487410401419384)"
3,2,138,2_building_energy_thermal_cooling,"('agricultural', 0.006704571561804246)","('resource', 0.012731295433973331)","('csa', 0.020413039073701185)","('cooling', 0.02272520555342257)","('model', 0.021822382839573454)","('level', 0.023073249521213066)","('surface', 0.02720582358523567)","('malaria', 0.01893044142464803)","('flooding', 0.021563810166416036)","('intention', 0.027558291458366888)","('temperature', 0.025540659151527742)","('event', 0.01722079489619022)","('international', 0.018588079475488597)","('forestry', 0.022712708055671892)","('aquaculture', 0.03157413281110473)","('nutrition', 0.018015249456220458)","('ice', 0.024593714360489967)","('streamflow', 0.027721848830217798)","('grain', 0.016402944090353835)","('capacity', 0.027764891077089408)","('severity', 0.019938876647046827)","('model', 0.022797102860333707)","('viticulture', 0.02442962702498161)","('breadth', 0.03221447862862063)","('pa', 0.019122089832481832)","('data', 0.019909266762242892)","('management', 0.017932637566541315)","('local', 0.02734478292215454)","('ice', 0.025609236420367578)","('co2', 0.031071541283478287)","('carbon', 0.04057937770386105)","('breed', 0.023336077920814262)","('community', 0.02614798257567232)","('pastoral', 0.02779404886150098)","('space', 0.03466183366910533)","('male', 0.03468949592413216)","('household', 0.01718760298963245)","('resistance', 0.025353878405549646)","('paris', 0.07636476596079368)","('growth', 0.03007182520796012)","('tourism', 0.05011269371417071)","('quality', 0.022099882242168377)","('relocation', 0.025842572589035155)","('hotel', 0.037501056226792076)","('characteristic', 0.026047088791796288)","('extreme', 0.027859255622637587)","('planning', 0.03921540702490212)","('breeding', 0.033374286318033915)","('winter', 0.02825957837994519)","('ewmus', 0.026857161231293704)","('transport', 0.032099955078199384)","('pipe', 0.024941035136826245)","('cultivar', 0.05606833330022527)","('weather', 0.03217268257203582)","('sowing', 0.027783309847328533)","('slr', 0.03752983060343259)","('female', 0.030031056210657)","('strategy', 0.022353713107258397)","('organic', 0.030375547608381466)","('poultry', 0.01995540792282573)","('policy', 0.023769747460497096)","('alpine', 0.0268020058165941)","('curve', 0.03337695302294371)","('visitor', 0.04094618269105032)","('cacao', 0.027333762141473292)","('marine', 0.04033266648449132)","('electricity', 0.04445189698402372)","('indoor', 0.048525178051789034)","('surface', 0.05062429353911603)","('bangladesh', 0.04409665589799648)","('residential', 0.04930853950826591)","('flood', 0.03910450165480385)","('oc', 0.05378704827799956)","('wsa', 0.03008520720997669)","('variety', 0.041347223407894464)","('eutrophication', 0.02699916185071812)","('climatic', 0.02716598360584136)","('dam', 0.04009331789969348)","('pro', 0.03739872304190032)","('grain', 0.04273733786767409)","('cessation', 0.07692967021036802)","('strategy', 0.018670990896422712)","('generation', 0.052388661934236386)","('basin', 0.034368406237000264)"
4,3,133,3_precipitation_extreme_rainfall_model,"('water', 0.006276615992124778)","('demand', 0.011579654174125422)","('smallholder', 0.020412601171707904)","('design', 0.021128386245446884)","('ensemble', 0.017940588421672874)","('beach', 0.02298667682017901)","('green', 0.023078748160221416)","('vector', 0.016580343859389973)","('damage', 0.02083683128520141)","('perception', 0.027346870666899007)","('death', 0.016472357574389168)","('philippine', 0.012769073473799733)","('policy', 0.016333952824620874)","('stand', 0.01534657077814506)","('fisher', 0.030813399202332926)","('sustainable', 0.01506582408858857)","('glacial', 0.022676087923035482)","('model', 0.02391004044320649)","('crop', 0.015349825290708765)","('rural', 0.024758327425232183)","('regime', 0.019835342461449863)","('scenario', 0.017555713351625053)","('grapevine', 0.021892297808805045)","('body', 0.02866775709838449)","('pfm', 0.018411403945491078)","('rainfall', 0.0175586832728453)","('governance', 0.01687341495059612)","('traditional', 0.02458871877780006)","('polar', 0.018194212600323438)","('technology', 0.02593686877704568)","('stock', 0.030239815614343676)","('grazing', 0.022800112932452158)","('atoll', 0.01923642402961512)","('livestock', 0.026537634150065922)","('street', 0.028122563515939464)","('men', 0.02993810692287243)","('resettlement', 0.015334198719100306)","('desiccation', 0.0252617710900147)","('agreement', 0.06763079116636006)","('thinning', 0.02987174602517158)","('resort', 0.042991337051830426)","('epidemic', 0.015959096267319627)","('rural', 0.02202827372368358)","('travel', 0.03109130067198813)","('severity', 0.021275703967129425)","('test', 0.02747789126210838)","('plan', 0.02333194116897984)","('trait', 0.025103302257988104)","('date', 0.02621226815745262)","('microrefugia', 0.026857161231293704)","('network', 0.0295946458510294)","('green', 0.02425338393967449)","('chilling', 0.03676067997880308)","('farmer', 0.026916111040404322)","('cultivar', 0.02653491803449022)","('mangrove', 0.03544401913611542)","('vulnerability', 0.024678537856181768)","('knowledge', 0.019457733599600145)","('cropping', 0.028527048953393128)","('ifs', 0.019743798207727516)","('resilience', 0.020219239434510865)","('fsc', 0.024214605715732532)","('inflow', 0.0331094767130968)","('easement', 0.0347869942389452)","('farmer', 0.02409225700867158)","('ecosystem', 0.028848262575545527)","('fault', 0.028132526455580693)","('restaurant', 0.04109049356595239)","('lst', 0.050606201333927424)","('coastal', 0.0413915302834348)","('accra', 0.033443807826598504)","('volume', 0.035662204890256524)","('sediment', 0.050014944304338387)","('pond', 0.028863007280670008)","('planting', 0.03932838746244534)","('human', 0.02685720008367815)","('cc', 0.022954368741355417)","('truth', 0.02798159430279101)","('ee', 0.03299052220529335)","('mol', 0.036795324607542666)","('birch', 0.06121065744905136)","('credit', 0.018623246077934075)","('energy', 0.03846817390272056)","('ecosystem', 0.0314043357695978)"
5,4,114,4_coastal_sea_rise_level,"('system', 0.006047844665359286)","('management', 0.010899447104412808)","('household', 0.019569963017713705)","('comfort', 0.019888010878734597)","('projection', 0.01770107019358946)","('coast', 0.02260847178425432)","('lst', 0.022977929993429708)","('public', 0.015334238652139318)","('buyout', 0.018895205765350205)","('belief', 0.01786454126060245)","('related', 0.01618173757775033)","('emergency', 0.01224526262543682)","('global', 0.015133049979819775)","('ecosystem', 0.01413848912597264)","('fisherman', 0.03072485398963467)","('consumer', 0.012721571690763359)","('lake', 0.018982156342481248)","('hydrological', 0.023498881304680076)","('cultivation', 0.015214796663334824)","('adaptive', 0.023991137647784613)","('burned', 0.01668743245260756)","('simulation', 0.014755185903131126)","('variety', 0.019509451407693213)","('modern', 0.021774234836852976)","('amazon', 0.018364134045486764)","('temperature', 0.0163312274049185)","('supply', 0.013918457082982248)","('people', 0.023743160244587596)","('youth', 0.01809417069376987)","('renewable', 0.020082490977663778)","('aggregate', 0.025036199043901017)","('pasture', 0.022250900332076547)","('sea', 0.018679585101218275)","('mongolia', 0.020024357895450283)","('tree', 0.020030196220724623)","('household', 0.026764701763477262)","('bogota', 0.01528572677483034)","('diapause', 0.023866733868399166)","('temperature', 0.04546373506024713)","('drought', 0.024104121145880397)","('winter', 0.03235046938358794)","('grown', 0.01590041418194991)","('migrate', 0.016271777667177037)","('operator', 0.022822273126105602)","('precipitation', 0.02024476597313198)","('precipitation', 0.02483320881044898)","('local', 0.02311582850273561)","('grain', 0.024448041240241577)","('grain', 0.0233801768118975)","('grassland', 0.026855433035623766)","('event', 0.027681005857809006)","('infrastructure', 0.023012990364233352)","('budbreak', 0.028262279718323423)","('aa', 0.02229732011990053)","('nec', 0.026465947134400786)","('wetland', 0.03465951267687187)","('household', 0.020572377974095352)","('household', 0.019350918856063406)","('emission', 0.028422681738144617)","('system', 0.01956179911588457)","('disaster', 0.018804645298125137)","('npp', 0.021727893494543116)","('hydropower', 0.03035443414334824)","('refuge', 0.03331520484446818)","('production', 0.019641952083777756)","('larval', 0.021940421330937227)","('electric', 0.023770698398555706)","('humidity', 0.03610308993589859)","('heat', 0.041620529416870986)","('eia', 0.03471370062689618)","('energy', 0.02928177175257028)","('stormwater', 0.0309939038680055)","('blue', 0.032683558048454596)","('salt', 0.025139706666429687)","('sowing', 0.031914088293792574)","('poyang', 0.02651725916770912)","('perception', 0.022914846816117936)","('ecosystem', 0.027422214566352857)","('academic', 0.032835675088529255)","('ec', 0.036440644693357956)","('origin', 0.0594608188425299)","('livelihood', 0.018565815798127144)","('thermoelectric', 0.03803696872587616)","('slope', 0.027490096949850242)"
6,5,113,5_urban_cooling_heat_surface,"('strategy', 0.005920697836103357)","('model', 0.010576826841088396)","('strategy', 0.016642587641819674)","('heating', 0.0184298177012509)","('future', 0.016418788444619737)","('erosion', 0.02016196772167288)","('temperature', 0.022615546803700676)","('mosquito', 0.013155994541636178)","('hazard', 0.01230961384800001)","('factor', 0.015257889575021912)","('population', 0.015275303621094168)","('community', 0.011973774126555807)","('green', 0.01486303998663367)","('tree', 0.013905551798992352)","('marine', 0.025730178055316157)","('insecurity', 0.011787026386385572)","('himalaya', 0.01740616872966267)","('basin', 0.023086297949799703)","('planting', 0.015018772437491487)","('asset', 0.018903945845807988)","('burning', 0.015186442920344483)","('sorghum', 0.013973892981876521)","('acid', 0.01806098732419711)","('cold', 0.0214061060616601)","('biodiversity', 0.01714745309638619)","('meteorological', 0.01589387523136108)","('source', 0.013815304177879599)","('tek', 0.015155190792309934)","('alaska', 0.0173040535833158)","('power', 0.015832148611724186)","('sequestration', 0.022564882793434656)","('beef', 0.020744455654130543)","('level', 0.014514596580252418)","('pastoralism', 0.01856640036890536)","('health', 0.017909851951648577)","('husband', 0.022542185253271403)","('project', 0.014278179389095239)","('egg', 0.0224584568515664)","('cumulative', 0.04133437264097865)","('pulpwood', 0.01808656479091451)","('snowmobiling', 0.025944103216223105)","('regenerative', 0.014885780729302377)","('displacement', 0.01538948512871459)","('industry', 0.021921008460617206)","('spei', 0.019520862605461462)","('mann', 0.024430807641834414)","('norwegian', 0.02220113867849365)","('durum', 0.023924073424965442)","('scenario', 0.018898477671169447)","('steppe', 0.02091323558711765)","('road', 0.02568071471078186)","('urban', 0.0196205843440166)","('blooming', 0.025824936637714742)","('ik', 0.02134165509281041)","('grain', 0.025661524571999387)","('coastal', 0.03309140571748356)","('livelihood', 0.02015339597974635)","('farm', 0.018389071687052963)","('mulch', 0.028419168990549044)","('productivity', 0.017874179739333584)","('risk', 0.017537623736889822)","('pasture', 0.020608149663143532)","('operating', 0.02795927057921904)","('protected', 0.02999072264010436)","('ghana', 0.01806639232984049)","('egs', 0.021380718744394404)","('tc', 0.01931661268854941)","('outdoor', 0.0339538642313708)","('wrf', 0.038314412792237046)","('farming', 0.03322366939505225)","('temperature', 0.02872481442442887)","('ead', 0.02698822207184604)","('burial', 0.03206973410546459)","('restored', 0.023125029733792785)","('wue', 0.02679462598823583)","('level', 0.026243007322262153)","('adaptation', 0.020788416268687403)","('biodiversity', 0.01953921074295801)","('behavior', 0.030452075986836726)","('genotypic', 0.03354480293220083)","('germination', 0.05564605222641032)","('access', 0.018310688532362663)","('hydrogen', 0.03201549598877362)","('drought', 0.02724786584075228)"
7,6,103,6_health_disease_dengue_malaria,"('area', 0.005736651500951539)","('supply', 0.01056300918611103)","('access', 0.016321428271934647)","('indoor', 0.018004431938698166)","('bias', 0.013485990328921702)","('slr', 0.01676413606301315)","('city', 0.02183494425914756)","('incidence', 0.012225719288804646)","('government', 0.011636781013032603)","('perceived', 0.014991730631286554)","('stress', 0.015206820095251013)","('recovery', 0.011438066389051389)","('developing', 0.013487743666737455)","('manager', 0.013185436710409119)","('catch', 0.02394157958622046)","('household', 0.011045279271332949)","('melt', 0.01616921754499539)","('ensemble', 0.01901234538487169)","('cultivar', 0.014729480971694475)","('access', 0.016480275741058762)","('te', 0.014803064075341743)","('future', 0.013719618944230412)","('winegrowers', 0.017918948422549895)","('morphology', 0.020515010049032893)","('brazilian', 0.015681427935768977)","('change', 0.015521100383762572)","('tank', 0.013807068375764463)","('oral', 0.01342988872369196)","('indigenous', 0.01706879844948549)","('solar', 0.013158032599373454)","('practice', 0.019566828487812753)","('system', 0.016569662454580438)","('state', 0.014050446347046674)","('household', 0.018326932733263385)","('benefit', 0.015144539291930853)","('wife', 0.020952208148067288)","('disaster', 0.01408177345948412)","('strain', 0.021627118726602772)","('limiting', 0.040075340288330055)","('density', 0.017621475947954185)","('destination', 0.021375658829379737)","('farm', 0.014235959867626961)","('human', 0.015008148272078414)","('business', 0.020479091911158376)","('duration', 0.018974796557529764)","('sen', 0.02346519321053426)","('action', 0.020494947549628738)","('variety', 0.01987938251916733)","('cultivar', 0.018419751843472523)","('cover', 0.020118878066751132)","('track', 0.024397237032000776)","('detention', 0.018219075728726355)","('tree', 0.02412883432576111)","('forecasting', 0.020620813149656515)","('china', 0.02526067566178341)","('habitat', 0.032667049478120075)","('male', 0.01917528986421683)","('ghana', 0.017795268389611665)","('tillage', 0.026725462183075848)","('food', 0.01699471351446761)","('sociopolitical', 0.01610408796854949)","('ecosystem', 0.02053182901249791)","('robustness', 0.02610821479893374)","('wildlife', 0.028492521997811594)","('yield', 0.01788683077027331)","('priority', 0.020085423690113586)","('supply', 0.01917986753853771)","('environment', 0.03257589609087596)","('hwf', 0.034316044299593895)","('bwa', 0.030944697592297565)","('ghana', 0.028705490035191)","('amc', 0.02438007311136865)","('ecosystem', 0.030383738764222814)","('swos', 0.020045837891569777)","('cultivar', 0.02632371198886127)","('water', 0.025031010054199488)","('strategy', 0.020287654593239272)","('human', 0.01892540679554766)","('university', 0.028156442188452323)","('plant', 0.03315135518029224)","('growth', 0.04814030322903875)","('temperature', 0.018296060142948326)","('water', 0.030615665223836797)","('lag', 0.026109739188190404)"
8,7,102,7_flood_risk_insurance_flooding,"('land', 0.005726341581869789)","('scenario', 0.010290161578853778)","('extension', 0.015714471500132155)","('ventilation', 0.01697181963213178)","('regional', 0.012366729234556034)","('coastline', 0.016012810053161793)","('uhi', 0.020694666796433826)","('borne', 0.011793400943740769)","('event', 0.011414777699912202)","('decision', 0.014896142447345937)","('exposure', 0.013917613364645766)","('drr', 0.01107754255341663)","('funding', 0.013455471615234447)","('carbon', 0.012669314894267788)","('coastal', 0.014308642820815572)","('health', 0.010986402785767397)","('water', 0.015576563929255228)","('water', 0.018259593250538747)","('ha', 0.014586179191041876)","('vulnerable', 0.015557834789486491)","('fuel', 0.014591028605288344)","('uncertainty', 0.013626959128619177)","('smph', 0.014617473999544906)","('variation', 0.020490281537051052)","('degradation', 0.015211582535926206)","('agricultural', 0.013135619572809844)","('case', 0.011338324883454555)","('cultural', 0.012967335491580067)","('heritage', 0.01690287220963009)","('co', 0.013029991427204093)","('function', 0.016066395562314033)","('animal', 0.01638319555172251)","('small', 0.013741099145491686)","('pasture', 0.017537989001849743)","('gi', 0.014836049812483895)","('gendered', 0.019004593602200998)","('livelihood', 0.013461040868198045)","('temperate', 0.020639758626455267)","('emission', 0.03927337069880437)","('brightness', 0.01698446288342797)","('industry', 0.02006325622262702)","('crop', 0.013331257915677054)","('destination', 0.014975476708650855)","('accommodation', 0.01870350297638137)","('spatial', 0.01613234478850872)","('kendall', 0.023073540550621392)","('para', 0.020102785807751853)","('plant', 0.019618289841183915)","('temperature', 0.0184009263002073)","('band', 0.01868300668866061)","('extreme', 0.022244922874564893)","('watershed', 0.017891258519072802)","('bud', 0.022583999471902944)","('clics', 0.01891584884459612)","('season', 0.02501153015858134)","('migration', 0.02658677727588034)","('feminist', 0.018797934790448615)","('community', 0.01727419290166305)","('till', 0.02394035448927398)","('knowledge', 0.016010781175940146)","('approach', 0.014561647077276429)","('carbon', 0.020123143922708246)","('credibility', 0.025631551151834766)","('outdoor', 0.02740499796412117)","('region', 0.017637857214288902)","('subregions', 0.018283684442447688)","('company', 0.018311837451189902)","('air', 0.0307035941731795)","('latent', 0.034194450450979325)","('subthemes', 0.027088306031364414)","('heating', 0.023894216184654045)","('event', 0.02369909392856654)","('bc', 0.028978478119222224)","('monitoring', 0.019649587125687557)","('crop', 0.025402922400352867)","('xinjiang', 0.022802178457895003)","('pakistan', 0.019830912176388497)","('channel', 0.01846415740595557)","('semester', 0.025595956959808746)","('ppm', 0.03232316494283374)","('spruce', 0.048053547299543115)","('weather', 0.017645666167843296)","('plant', 0.028575960962357726)","('nfs', 0.024333098018668516)"
9,8,87,8_farmer_risk_behavior_intention,"('production', 0.005677440913509247)","('use', 0.009998547328796426)","('practice', 0.014991521112164575)","('passive', 0.01654397617033949)","('day', 0.012196602830474863)","('storm', 0.01506805044496424)","('effect', 0.020030080925651207)","('hospital', 0.011648107871627667)","('protection', 0.011378779963936358)","('insurance', 0.014658857170094972)","('risk', 0.012450258833253304)","('country', 0.010957682910335555)","('project', 0.013111823416997882)","('adaptive', 0.011555340622596163)","('seafood', 0.01329166158195647)","('production', 0.010950236124616031)","('hazard', 0.01391243252148605)","('future', 0.018034309486815583)","('date', 0.01325585462148414)","('capital', 0.014485465419878364)","('management', 0.012855481160272466)","('period', 0.013558860121769092)","('brix', 0.014617473999544906)","('shape', 0.01972462426417994)","('congo', 0.014448958632144909)","('variability', 0.011469171724709027)","('drinking', 0.011296179118667076)","('ecological', 0.011287149708667104)","('knowledge', 0.015379400838486905)","('superconducting', 0.012559335135827337)","('enclosure', 0.015045426227482782)","('feed', 0.014874259603984604)","('heritage', 0.01286877233653862)","('nomadic', 0.01732864034431167)","('resident', 0.014742211229255476)","('headed', 0.016998151897120242)","('policy', 0.01286318566086348)","('melanogaster', 0.02042935115544091)","('rise', 0.030300169014747885)","('log', 0.016297520050370638)","('tourist', 0.019597752378402798)","('coffea', 0.01317971163536396)","('disaster', 0.014405884538503137)","('visitor', 0.016511279572757716)","('evapotranspiration', 0.013915917370103174)","('annual', 0.022005611008436014)","('leadership', 0.01936898711005293)","('line', 0.01833353917472345)","('lettuce', 0.016248428649927545)","('npp', 0.01843396907444797)","('hammerfest', 0.01959312510869092)","('rainwater', 0.017114021572493504)","('winter', 0.022119434238630567)","('use', 0.018821792920208788)","('suitability', 0.0246953192670162)","('sea', 0.0257750152265218)","('social', 0.017167490295654435)","('diversification', 0.016891358650071533)","('wheat', 0.023654018229037562)","('option', 0.015953205263077763)","('hiv', 0.014032462137689725)","('human', 0.019983355751253054)","('future', 0.0253569392329181)","('habitat', 0.02433422099624083)","('income', 0.01633621876772211)","('algae', 0.01810186659395827)","('transmission', 0.01800771407540576)","('occupant', 0.02929543892223337)","('atmosphere', 0.032917984367854654)","('imta', 0.027088306031364414)","('monthly', 0.02105471885231463)","('cost', 0.020774165870708107)","('doc', 0.026856985721651887)","('ppr', 0.019563776578207633)","('tuber', 0.02427536400656877)","('activity', 0.021613571353310365)","('productivity', 0.019535135168733404)","('taxonomic', 0.017868128899685698)","('travel', 0.02470140299491447)","('concentration', 0.03179327121141951)","('seed', 0.04796658920101763)","('agro', 0.01685851352916239)","('wshcs', 0.026164802220350055)","('wassi', 0.024333098018668516)"
