,title,wos,clean_abstract
0,Adaptation to climate change and resettlement in Rwanda,WOS:000349463000014,during last ten year emerged prominent new paradigm environmental politics developing country general africa particular yet new paradigm effect unproblematic empirical rwanda presented indicates analysis forced resettlement farmer considered innovative action among effort argues concept travelling idea constantly translated used politically frame environmental developmental intervention concrete place heavily impact everyday life rural dweller drawing actor network theory concept translation provide alternative view providing critical assessment linkage global governance concrete local measure revealing always positive effect people livelihood
1,Piloting a Climate-Change Adaptation Index on US National Forest Lands,WOS:000717541700002,present novel significant threat sustainability forest ecosystem worldwide united state forest service usfs conducted vulnerability assessment much 193 million acre national forest land manages yet little exists degree management unit adopted consideration planning project implementation in response knowledge gap piloted survey instrument usfs region 1 northern region region 6 pacific northwest region determine criterion assessing degree national forest integrate consideration management planning activity our resulting index provides efficient quantitative approach identifying potentially national forest making progress toward incorporating adaptation forest planning management implication used self assessment survey planner manager u national forest forest service region 1 6 design index measuring degree national forest unit integrated consideration planning management activity our resulting index potentially used help understand usfs decentralized strategy led national forest make comparatively significant progress towards adapting others lagged behind
2,Caribbean beach changes and climate change adaptation,WOS:000265969000006,beach monitoring data presented show average beach erosion trend 0 5 yr 1 eight caribbean island period 1985 2000 elevated rate island impacted higher number hurricane data based 5 15 year continuous monitoring conducted three month interval 113 beach 200 profile site eight island using standard methodology cause erosion discussed include anthropogenic factor variability projected based intergovernmental panel projection caribbean region likely increase anthropogenic stress coastal development likely beach erosion trend continue increase nonexclusive approach help beach adapt include structural planning ecological measure two case study illustrating measure discussed one focus coastal planning measure anguilla nevis second focus ecological measure specifically rehabilitation coastal forest puerto rico these case study reached stage effectiveness evaluated however preliminary outcome show community based measure require careful planning entire community involved participatory manner sufficient time allocated awareness raising information sharing discussion
3,Improving governance in transboundary cooperation in water and climate change adaptation,WOS:000415345400002,water management water governance issue while neither water respect national border water management treated transboundary water governance issue however transboundary water management essence complex national water management water management regime usually differ country within country provides 63 lesson learned almost decade cooperation transboundary water management unece water convention put context oecd principle water governance it highlight good water governance entail variety activity intertwined cannot considered stand alone element also show wide variety action needed develop strategy water management each lesson learned considered concrete action connected one oecd principle range action may needed fulfil one principle concludes developing measure need improve parallel water governance system transboundary scale
4,Planning for adaptation to climate change: exploring the climate science-to-practice disconnect,WOS:000458902200007,available science increased significantly recent year yet effective transfer planning practice particularly city global south still limited explores science planning practice disconnect context southeast asian city generally manila philippine specifically pose two simple important question 1 information planning practitioner currently use develop adaptive urban response 2 additional knowledge resource planning practitioner need effectively plan future survey interview data collected across philippine suggest planning professional perceive access sharing information critical issue moreover planning professional contend challenge financial technical staff resource perennial challenge environmental management southeast asia persist despite significant new funding specifically earmarked science practice disconnect however viewed information allocation deficit incomplete decentralization haphazard urbanization privatization planning thwart attempt translate science planning practice globalizing city a argue planning requires better information it requires tackling fundamental contradiction planning complex globalizing city
5,Assessment of Climate-Resilient City Pilots in China,WOS:000659529400006,in early 2017 china officially implemented pilot program construction resilient city 28 region pilot taken series initiative adapt based practice worldwide construct evaluation indicator system resilient city six primary indicator 15 21 secondary indicator ass progress pilot program comprehensive manner show consciousness strengthened adaptive capacity improved monitoring capacity basic adaptive capacity enhanced meanwhile pilot city carried unique system mechanism innovation international cooperation exchange activity progress uneven still room improvement overall adaptive capacity it recommended system evaluating progress resilient city pilot established soon possible action highlight city pilot strengthened raise political status pilot area strengthen consciousness
6,"Level of preparedness of the residential building industry in Australia to climate change adaptation: a case of residential building companies in Brisbane, Queensland",WOS:000803904000001,consequence profound residential building industry unless appropriate strategy implemented increase exponentially consequence increased repair cost reduced building designed built adaptive risk investigates preparedness australian residential building sector adapt risk view informing next national construction code 2022 present include provision twelve semi structured interview conducted construction manager residential building company brisbane queensland understand level preparedness adapt risk three aspect preparedness investigated participant awareness risk company capacity include information planning action taken address risk participant also asked policy thought path towards increased preparedness residential construction industry risk might involve qualitative analysis interview data undertaken using nvivo software illustrative example direct quote data included result result indicate low level preparedness residential building industry adapt risk level awareness managing consequence risk analytical capacity action taken address found low legislating practice increasing awareness residential constructor recommendation enhance preparedness residential construction industry adapt risk
7,Mapping the evolution and current trends in climate change adaptation science,WOS:000663363200009,increased number significance since 1970s yet volume information difficult manage given vast scope spread across journal institution discipline theme while increasing number researcher used systematic literature review analyse particular theme within rapidly growing field still missing overall analysis current state science literature evolution fill gap providing multifaceted bibliometric science literature focused human dimension constructed across time discipline social relationship geography our novel spanning 1978 mid 2020 identifies underpinning foundation literature leading author country organisation well dominant theme priority explores changed time our result show annual average increase 28 5 publication 26 000 author publishing topic increasing diversity publishing source priority topic theme dynamic time core concept vulnerability resilience adaptive capacity sector water agriculture remained relatively stable key challenge going forward consolidate vast endeavour coherent theory turn better guide science support policy practice science
8,Narratives of ice loss: New approaches to shrinking glaciers and climate change adaptation,WOS:000680245800005,explores yet overlooked component glacier melt competing narrative ice loss embedded divergent debate analysis regional narrative ice loss expose contested role glacial meltwater amongst local resident framing glacier physical feature also node discourse imagination influence peru cordillera blanca offer excellent case new narrative approach shrinking glacier cordillera blanca host 25 percent earth tropical glacier hundred glacial lake generated world deadliest glacial lake outburst flood glofs despite decade glacial lake management cordillera blanca government agency researcher local people hydroelectric company often disagree safely manage lake prevent flood maintain water security help explain disagree social conflict repeatedly occurred around lake palcacocha shallap it analyzes narrative embedded local national newspaper medium understand varying view frequently competing vision glacial lake risk management stem power structure prioritize certain narrative others response perceived political environmental condition thus narrative analysis offer methodology understand local regional experience glacier including environmental authority emerges broader implication global politics ice loss
9,Coordinated planning effort as multilevel climate governance: Insights from coastal resilience and climate adaptation,WOS:000543361000009,using flood risk potential impact sea level within u s great lake region past 20 year explore association coordinated planning effort form multilevel governance community resilience attribute risk content analysis coastal principle allowed u evaluate coordinated planning effort county state level derive horizontal vertical coordination index used evaluate synergy generated among plan correlated risk mitigation enhanced further incorporated evaluation result varied community resilience characteristic coordinated planning effort metric context empirical result suggest extent coordinated planning effort county state level closely associated coastal community resilience
