,title,wos,clean_abstract
0,Financing Climate Change Adaptation: International Initiatives,WOS:000666451800001,one main strategy address global least developed country small island state lack financial resource adapt vulnerable nation although would economical adapt compared anticipated damage demand capital estimated range hundred billion crucial question manage investment adapt globally provides overview existing international provision finance it includes provision international financial institution united nation agency bilateral multilateral channel private sector it also explores private sector finance attracted invest
1,Responsibility for private sector adaptation to climate change,WOS:000338711600014,intergovernmental panel 2007 indicates vulnerable industry adapt increasing likelihood extreme weather event along slowly shifting mean annual temperature precipitation pattern prevent major damage period inoperability future most article literature business management frame organizational private action make sole responsibility company sole benefit overlook fact company provide critical good service food water electricity medical care vital society even short term setback operation could put public security risk raise following question 1 who responsible private sector supplier critical infrastructure 2 how identified responsible actually held assume responsibility adapting these question addressed comprehensive literature business management complemented specialized literature public management lead several conclusion even though task formerly belonged state taken private company state still hold ultimate responsibility event failure private sector owned utility insofar critical infrastructure therefore remains state responsibility foster appropriate action in theory effective way assuming responsibility enabling critical infrastructure provider flexibility adapt would delegate agency conduct negotiation stakeholder in view theory used case demonstrate private sector critical infrastructure provider plan implement practice regulatory mode negotiation enforced self regulation
2,Everyday realities of climate change adaptation in Mozambique,WOS:000304290100022,analyzes discourse practice flood response mozambique it build recent publication suggest success failure highly depend cultural political realm societal perception sensitivity institution to capture adopted multi sited ethnographic approach acknowledging central locus representation unveil working disaster response mozambique brings together five vignette different site concern rise flood mozambique these politics national institutional level societal response increased flooding local people response flood evacuation resettlement programme following 2007 flood find becomes part everyday politics actor aim incorporate response continuation normal behavior elite better positioned take advantage programme vulnerable people targeted it argues must made consonant historically grown ongoing social institutional process it concludes lesson analysis methodology provide practice
3,Adaptation to climate change and resettlement in Rwanda,WOS:000349463000014,during last ten year emerged prominent new paradigm environmental politics developing country general africa particular yet new paradigm effect unproblematic empirical rwanda presented indicates analysis forced resettlement farmer considered innovative action among effort argues concept travelling idea constantly translated used politically frame environmental developmental intervention concrete place heavily impact everyday life rural dweller drawing actor network theory concept translation provide alternative view providing critical assessment linkage global governance concrete local measure revealing always positive effect people livelihood
4,Prioritization of climate change adaptation approaches in the Gambia,WOS:000344801000003,recognized important developing country face greatest threat global warming in proposing various approach united nation intergovernmental panel required nation prepare plan action however area priority considered developed new prioritization methodology developing country five category 25 approach adopted thorough detailed analysis pertinent literature related national program action napa gambia a fuzzy analytic hierarchy process based questionnaire survey designed presented 12 expert chosen committee member gambia napa survey made determine relative importance strategy result indicate five important category health 0 223 forestry 0 213 water 0 210 food 0 181 energy 0 174 health number one priority further finding show prioritization order approach gambia follows health education public sensitization water supply infrastructure development microfinance infrastructure technology enhancement
5,Analysis of the predicted effect of passive climate adaptation measures on energy demand for cooling and heating in a residential building,WOS:000370111300069,both new existing building need adapted order keep providing comfortable healthy indoor preferably measure applied building level scale require additional energy e passive measure previous study showed passive measure positive effect thermal comfort summer shoulder season non air conditioned residential building in effect passive measure applied building component level cooling heating energy demand terraced house analyzed using building energy simulation it shown particular case required cooling energy limited large extent 59 74 external solar shading additional natural ventilation applied in addition shown well insulated terraced house energy cost heating strongly affected application passive measure
6,Piloting a Climate-Change Adaptation Index on US National Forest Lands,WOS:000717541700002,present novel significant threat sustainability forest ecosystem worldwide united state forest service usfs conducted vulnerability assessment much 193 million acre national forest land manages yet little exists degree management unit adopted consideration planning project implementation in response knowledge gap piloted survey instrument usfs region 1 northern region region 6 pacific northwest region determine criterion assessing degree national forest integrate consideration management planning activity our resulting index provides efficient quantitative approach identifying potentially national forest making progress toward incorporating adaptation forest planning management implication used self assessment survey planner manager u national forest forest service region 1 6 design index measuring degree national forest unit integrated consideration planning management activity our resulting index potentially used help understand usfs decentralized strategy led national forest make comparatively significant progress towards adapting others lagged behind
7,Caribbean beach changes and climate change adaptation,WOS:000265969000006,beach monitoring data presented show average beach erosion trend 0 5 yr 1 eight caribbean island period 1985 2000 elevated rate island impacted higher number hurricane data based 5 15 year continuous monitoring conducted three month interval 113 beach 200 profile site eight island using standard methodology cause erosion discussed include anthropogenic factor variability projected based intergovernmental panel projection caribbean region likely increase anthropogenic stress coastal development likely beach erosion trend continue increase nonexclusive approach help beach adapt include structural planning ecological measure two case study illustrating measure discussed one focus coastal planning measure anguilla nevis second focus ecological measure specifically rehabilitation coastal forest puerto rico these case study reached stage effectiveness evaluated however preliminary outcome show community based measure require careful planning entire community involved participatory manner sufficient time allocated awareness raising information sharing discussion
8,"Thinning sea ice and thawing permafrost: climate change adaptation planning in Nome, Alaska",WOS:000474979600001,among critical challenge facing local government decision maker north yet risk clear impact occurring rapidly many region earth integrated policy planning often remains low priority decision maker in effort extend discussion contribute scholarship area explores stressor policy response coastal town nome alaska through narrative local government key actor informed strategic planning document shed light decision dynamic around local action well preparedness variability general in particular work highlight thinning sea ice thawing permafrost influence life nome yet remains low priority decision maker link strategic policy often peripheral solution orientated a nome unique need adapt finding work may provide community experiencing similar stressor awareness importance incorporating thinking long term strategic policy planning
9,The Most Important Topic Political Scientists Are Not Studying: Adapting to Climate Change,WOS:000339431500012,few political scientist currently even aware large growing interdisciplinary field devoted mitigating greenhouse gas emission reducing vulnerability inevitable impact lack political science expertise represents obstacle adapting fundamentally political technical advance adaptation infrastructure agriculture public health coastal protection conservation field depend political variable implementation effectiveness for example raise question political economy cost money political theory involves question social justice comparative politics country aggressively pursue urban politics city aggressively pursue regime type democracy authoritarian regime may differently pursue federalism different level government may involved several field including political conflict international development bureaucracy migration medium political party election civil society public opinion i field explore tremendous contribution political scientist could make
