,title,wos,clean_abstract
0,Climate change adaptation strategies in the Mekong and Orange-Senqu basins: What determines the state-of-play?,WOS:000285128000008,challenge governing transboundary water resource expected increase resulting need adapt impact temperature increase precipitation wet season le dry season in number transboundary basin international regime particular river basin commission emerging account challenge some basin however rather advanced term developing strategy others nascent stage for two case study orange senqu mekong river basin attempt explain different degree progress towards applying regime effectiveness analysis first analyze using activity diagram ad management transition framework mtf stage policy formation process two basin then attempt explain different degree progress towards mean regime effectiveness theory variable indicating regime effectiveness taken literature developed suit context find different degree progress partially explained variable regime effectiveness characteristic rule procedure organizational structure role riparian country well international context at time analysis point need analysis additional factor potentially shape decision making policy process international river basin hydrological political socio economic setting b underlying principle regional cooperation conflict
1,Evaluation of the VIKOR and FOWA Multi-Criteria Decision Making Methods for Climate-Change Adaptation of Agricultural Water Supply,WOS:000474497000016,confronting daunting challenge requires policy field water resource management proposes method reservoir operation associated projection aimed ensuring sustainability agricultural water supply method applied aidoghmoush reservoir east azerbaijan province iran employing projection 2040 2069 compare future period result calculated baseline period 1971 2000 water supply system depending aidoghmoush reservoir simulated using projection water supply system simulation ranked two multi criterion decision making mcdm method according suitability satisfying agricultural water demand sustain cropping pattern these multi criterion optimization compromise resolution vikor fuzzy order weighted average fowa mcdm method mcdm method identify best water supply management alternative
2,"Land, Water, and Wind Watershed Cycle: a strategic use of water, land and wind for climate change adaptation",WOS:000428427200005,increase population improvement life standard stretching boundary water energy land management demanding innovative holistic solution proposes approach increasing water availability two water basin taking consideration land use wind pattern named land water wind watershed cycle l3wc approach applied one watershed combination watershed in first case wind pattern blow mainly opposite direction main river flow plantation high water demand focused lowest part basin transpired moisture would return basin wind possibly increase water availability basin applying method series basin water transposed one basin another used irrigated agriculture returned atmosphere evapotranspiration pushed back basin water extracted wind case study methodology presented so francisco basin tocantins amazona parana basin so francisco basin brazil so francisco basin selected located dry region flow considerably reduced past decade trade wind blow constantly ocean continent year around l3wc strategy plan allocation water consumption watershed taking account wind pattern support sustainable development region it potential increasing water availability creating mechanism control reduce vulnerability climatic variation
3,Modeling Hotspots of Climate Change in the Sahel Using Object-Based Regionalization of Multidimensional Gridded Datasets,WOS:000329059100020,population subsaharan africa particularly country sahel western africa one vulnerable related extreme event to provide updated information targeted measure modeled hotspot related extreme event integrative manner achieved constructing spatial composite indicator cumulative impact integrates four hazard related subindicators seasonal temperature trend seasonal precipitation trend drought occurrence major flood event analysis based time series freely available continuous gridded geo spatial datasets including remote sensing data aggregation four subindicators performed making use regionalization approach based segmentation technique widely used remote sensing community field object based image analysis following approach presented 19 hotspot severe climatic change identified evaluated mapped method enables prioritization intervention area also allows decomposing identified hotspot underlying subindicators thus additional information effective measure provided
4,Adaptation turning points on inland waterway transport in the Rhine River,WOS:000374410700003,it expected affect important natural inland waterway europe among others rhine river inland waterway transport one main economic activity developed rhine effect activity great concern skipper industry policy maker aim identify whether longer frequent dry period projected rhine river turn physical limitation prevent inland waterway transport company guaranteeing reliable transportation customer situation might take place based turning point approach propose four step method identify critical time period future according result inland waterway transport sector start facing insurmountable problem associated low water level within time span 2081 2095 turning point approach provides analyst dynamic appraisal method allows option ranked timing period effectiveness time span needed implementation criterion increase flexibility planning allows uncertainty changing future condition
5,"Analysis of uncertainties in the hydrological response of a model-based climate change impact assessment in a subcatchment of the Spree River, Germany",WOS:000337671400009,impact assessment form basis development suitable strategy for purpose ensemble consisting stepwise coupled model generally used emission scenario global circulation model downscaling approach da bias correction impact model hydrological model every item affected considerable uncertainty aim current 1 analyse uncertainty related choice da well hydrological model parameterization 2 evaluate vulnerability studied catchment subcatchment highly anthropogenically impacted spree river catchment hydrological four different da used drive four different model configuration two conceptually different hydrological model water balance simulation model developed eth zurich hbv light in total 452 simulation carried result show simulation compute increase air temperature potential evapotranspiration for precipitation runoff actual evapotranspiration opposing trend computed depending da used drive hydrological model overall largest source uncertainty attributed choice da especially regarding whether statistical dynamical choice hydrological model parameterization le importance long term mean annual change compared large bandwidth end modelling chain may exacerbate formulation suitable adaption strategy regional scale
6,Modeling time varying risk of natural resource assets: Implications of climate change,WOS:000747171100010,a multivariate garch model natural resource specified capture effect time varying portfolio risk a special feature model inclusion realized volatility natural resource asset available multiple frequency well sensitive sudden change climatic condition natural resource portfolio simulated bootstrapping scheme well derived global model projection both approach applied multiasset water portfolio model consisting reservoir inflow rainwater harvesting desalinated water empirical result show reservoir remain dominant water asset involves increased contribution rainwater harvesting frequent use desalinated water it estimated increase annual water supply cost 7 44 20 year forecast horizon
7,Assessment of the impacts of climate variability on total water storage across Africa: implications for groundwater resources management,WOS:000462179900006,link variability depicted time series oceanic index change total water groundwater storage investigated across nine large aquifer basin african continent gravity recovery experiment grace mission observation represent remarkable tool provide insight dynamic terrestrial hydrology area direct situ observation limited in order evaluate impact interannual multidecadal variability groundwater resource ass relationship synoptic control total water storage estimate grace 2002 2013 ii two variable driven model able reconstruct past storage change 1982 2011 estimate compared time series groundwater level show extent total water storage covaries groundwater storage result indicate rainfall pattern associated el nino southern oscillation enso main driver change interannual groundwater storage whereas atlantic multidecadal oscillation amo play significant role decadal multidecadal variability combined effect enso amo could trigger significant change recharge aquifer groundwater storage particular sahel these finding could help decision maker prepare effective plan national transboundary level
8,Carbon emission strategies for container handling equipment using the activity-based method: A case study of Ambarl? container port in Turkiye,WOS:000920385900001,one important component port sustainability environmental impact port operator currently focusing sustainable development port measure environmental impact determine emission inventory to combat globally turkiye envisages reduction greenhouse gas ghg emission rate 21 2030 in line target container port also focusing sus tainability environmental impact determining emission inventory aim estimate total carbon emission produced container handling equipment che used container port operation plan carbon emission reduction strategy concern policy ambarli container port handle approximately 30 turkiye total container volume chosen application area case carbon emission che vehicle port estimated using activity based method carbon emission value per teu 2021 calculated 0 011335 tco2e teu carbon emission reduction scenario created two year interval 2030 it determined dominant contribution carbon emission container port provided terminal tractor consume diesel fuel
9,"Uncertainty assessment of streamflow projection under the impact of climate change in the Lower Mekong Basin: a case study of the Srepok River Basin, Vietnam",WOS:000513489100006,uncertainty assessment future projection streamflow essence effective formulation water resource management planning adaptive aim investigate uncertainty streamflow projection impact srepok river basin uncertainty associated emission scenario rcp2 6 rcp4 5 rcp8 5 general circulation model gcms canesm2 cnmr cm5 hadgem2 ao statistical downscaling method delta method quantile mapping sdsm hydrological model ann hec hm swat examined result showed largest uncertainty source streamflow projection gcm simulation followed statistical downscaling method hydrological model emission scenario in addition use hydrological model considerable impact uncertainty simulation dry seasonal streamflow generally present highlighted importance using multi gcms study hydrological impact
10,Assessment of sea-level rise impacts on salt-wedge intrusion in idealized and Neretva River Estuary,WOS:000521515300004,understanding response estuary sea level rise crucial developing suitable mitigation strategy investigates impact rising sea level salinity intrusion salt wedge estuary sea level rise impact assessed idealized estuary using simple expression derived two layer hydraulic theory neretva river estuary croatia using two layer time dependent model assessment based three indicator salt wedge intrusion length seawater volume river inflow needed restore baseline intrusion potential slr found increase three considered indicator theoretical analysis idealized estuary suggests shallower estuary sensitive slr numerical result neretva river estuary showed slr may increase salt wedge intrusion length volume corrective river inflow however result highly non linear channel geometry especially lower river inflow a theoretical assessment channel bed slope impact limiting potential intrusion therefore additionally discussed finding emphasize need use several different indicator assessing slr impact
11,Multi-decadal oscillations in the hydro-climate of the Okavango River system during the past and under a changing climate,WOS:000313864200024,focus understand multi decadal oscillatory component variability okavango river system southwestern africa potential evolution 21st century scenario statistical analysis hydrological modelling used show observed multi decadal wet dry phase okavango river delta result multi decadal oscillation rainfall likely related process internal variability system rather external natural anthropogenic forcing analysis change aspect variability projected scenario based data multi model ensemble 19 general circulation model used drive hydrological model okavango river delta projection 21st century indicate progressive shift towards drier condition attributed influence increasing temperature water balance it however highly likely multi decadal oscillation possibly similar magnitude 20th century superimposed overall trend these may periodically offset amplify mean drying trend effect accounted water catchment management strategy
12,The future of the Rhine: stranded ships and no more salmon?,WOS:000368114700004,study show high likelihood changing hydrological regime european river concerned authority increasingly question sustainability current river management strategy aim apply turning point atp approach demonstrates potential analysing turning point river management strategy method support authority decision two management strategy rhine river basin selected case study 1 reintroduction sustainable population atlantic salmon 2 inland shipping relation water depth variability by applying turning point approach search answer following question management strategy fail due impact river hydrology what measure exist delay avoid failure identification adaption turning point easy due large scenario model uncertainty transient future projection low flow discharge water temperature but case study demonstrate atp approach salient decision maker perspective address timing possible failure current management strategy analysis result allows policy maker ass risk urgency action provides time horizon planning it also valuable first step application method formal appraisal option flexibility planning required
13,Levee Fragility Behavior under Projected Future Flooding in a Warming Climate,WOS:000593985100020,requires careful evaluation infrastructure performance future climatic extreme demonstrates multidisciplinary approach integrating geotechnical engineering hydrology science employed quantify site specific impact geotechnical infrastructure specifically quantifies effect change future streamflow performance earthen levee sacramento california considering multiple mode failure streamflows historical 1950 2000 projected 2049 2099 scenario different recurrence interval derived routed hydrological simulation driven bias corrected global model historical future flood level applied set transient coupled finite element seepage limit equilibrium slope stability analysis simulate levee subjected extreme streamflow variability hydraulic mechanical property soil addressed using monte carlo sampling method evaluate compare probability failure levee different historical future scenario three individual mode underseepage uplift slope stability along lower upper bound combined mode failure examined result showed incorporating future flood levee failure analysis led considerable reduction mean factor safety increase levee probability failure suggesting risk assessment based historical record significantly underestimate levee failure probability warming despite inherent uncertainty future projection substantial variability across model evaluating infrastructure projected extreme offer insight likely performance future
14,Assessing the robustness of adaptation decisions to climate change uncertainties: A case study on water resources management in the East of England,WOS:000245182200008,projection future plagued uncertainty causing difficulty planner taking decision measure present assessment framework allows identification strategy robust e insensitive uncertainty framework applied case water resource management east england specifically anglian water service 25 year water resource plan wrp present local sensitivity analysis one time experiment various element modelling framework e g emission greenhouse gas sensitivity global model order determine whether decision adapt sensitive uncertainty element water resource found sensitive uncertainty regional response general circulation model dynamical downscaling sensitivity impact aerosol forcing greenhouse gas emission uncertainty also important whereas uncertainty ocean mixing carbon cycle despite large uncertainty anglian water service wrp remains robust uncertainty sampled option considered e g extension water treatment work model used planning hadcm3 predicts drier condition model one time experiment sample combination different extreme uncertainty range parameter raise question much certainty required projection justify investment measure whether certainty delivered
15,High Water Mark Determination Based on the Principle of Spatial Continuity of the Swash Probability,WOS:000336005100007,present model determines position high water mark hwm based spatial continuity inundation probability due swash range hwm indicator these indicator include mean high water mhw high water line hwl number shoreline feature vegetation line hwm identifies landward extent ocean required cadastral boundary definition land use infrastructure development along foreshore planning associated in shoreline indicator extracted using object oriented image analysis ooia approach ten year hourly swash height shoreline excursion length fitted cumulative distribution function probability swash reach various hwm indicator 10 period estimated spatial continuity distance swash probability hwm indicator calculated using semivariogram model measure similarity swash probability spatial continuity distance defined distance lower bound sampling position seaward hwm indicator position autocorrelation similarity swash probability various maim indictors approach zero latter considered hwm position hwm determination method evaluated two site different latitude distinct coastal feature
