,title,wos,clean_abstract
0,Effects of Densification on Urban Microclimate-A Case Study for the City of Vienna,WOS:000642734900001,mitigation protecting strategy becoming even important intensifying impact especially tangible dense urban area due inherent characteristic urban structure materiality to ass impact densification urban potential strategy densely populated viennese district modeled typical sample area city vienna case analyzed large scale densification potential potential effect microclimate air flow comfort energy demand developing 3d model area showing base case densification scenario three method deployed ass impact urban densification micro analysis 1 explored urban heat island phenomenon wind pattern analysis 2 investigated ventilation wind comfort street level energy indoor comfort analysis 3 compared construction type greening scenario analyzed impact energy demand indoor temperature densification negative impact urban microclimates reducing wind speed thus weakening ventilation street canyon well accelerating heat island effect associated impact building however densification also daytime cooling effect larger shaded area on building densification may negative effect especially new upper sun exposed floor construction material le impact glazing area rooftop greening regarding impact street greening green facade green roof simulated 24 h average mean radiant temperature mrt street level reduced 15 k daytime at night slight reduction tenth 1 k mrt green facade similar effect mrt reduction green roof show slight reduction tenth 1 k mrt street level result show appropriate measure applied negative effect densification could reduced positive effect could achieved
1,Climate Adaptive Design Index for the Built Environment (CADI-BE): An Assessment System of the Adaptive Capacity to Urban Temperatures Increase,WOS:000681946700001,in scenario change subject urban centre large city high level environmental vulnerability criticality underway evident need define operational straightforward decision making tool capable prefiguring verifying effectiveness urban transformation adaptive regeneration process adaptive design index built environment cadi be tool developed ass adaptive capacity level performance open urban space stress due increase global average temperature repercussion phenomenon cause occurrence heatwaves urban heat island effect uhi bringing inability city cope change making urban open space unlivable longer ideal habitat everyday life social interaction
2,Definition of Urban Built Environment Climate Adaptive Design Actions Aided by Environmental Data-Driven Design Processes,WOS:000880968900001,environmental technological design urban built environment longer separated generation collection use data big data ict tool information communication technology modelling simulation built urban environment identified measuring device provide knowledge impact design practice based environmentally data driven approach aim define framework evaluation environmental health comfort parameter applicable simulation tool specific focus thermal environmental exchange indoor outdoor space define factor affect perception user well thermal stress condition e g heatwaves indoor outdoor through definition two case city naples italy special attention paid investigating interaction outdoor indoor performance urban temperature rise a comparison daily survey occupant simulation conducted confirm validity data obtainable perceived thermal sensation obtained result show designed framework reliably simulate real outdoor indoor condition according comfort index predicted mean vote adaptive comfort model methodological framework developed guarantee interoperability data simulate indoor outdoor environment responding real condition determine favourable condition development urban redevelopment intervention application adaptive design strategy
3,The role of urban spatial structure in energy resilience: An integrated assessment framework using a hybrid factor analysis and analytic network process model,WOS:000723670200001,investigates relationship urban spatial structure energy resilience local level sub district 7 district 1 tehran selected area first evaluate energy resilience 250 block area 28 indicator four component urban geometry morphology land use public transportation passive design adopted subsequently using hybrid factor analysis analytic network process f anp model flexibility interdependence coordination capacity equity efficiency self organization independence diversity determined eight underlying energy resilience principle related spatial structure area composite index result reveal principle indicator related transportation significant role energy resilience operational energy related one also increasing compactness without simultaneous attention mass space ratio adequate provision green space necessarily lead increased energy resilience may even detract resilience to illustrate practical implication finding recommend action plan contribute enhancing energy resilience area proposed globally applicable framework expected give urban planner better understanding ofurban form spatial structure implicationsfor energy resilience it also inform planning decision making achieving urban mitigation target
4,Urban Climate Map System for Dutch spatial planning,WOS:000306198900021,facing global warming outdoor climatic environment important consideration factor planner policy maker improving greatly contribute achieve citizen thermal comfort create better urban living quality thus climatic information must assessed systematically applied strategically planning process present tool named urban map system ucms proven capable helping compact city incorporate effect planning process systematic way ucms developed presented geographic information system gi platform lesson learned experience gained interdisciplinary study included methodology ucms compact city construction procedure basic input factor including natural resource planning data described some literature shed light applicability umcs reported municipality arnhem one dutch compact urban area still fast urban development urban renewal there urgent need local planner policy maker protect local open landscape resource make urban construction thus arnhem chosen carry case ucms although first work urban climatic mapping netherlands serf useful climatic information platform local planner policy maker daily going work attempt use quick method collect available climatic planning data create information platform planning use it relies mostly literature theoretical understanding well practiced elsewhere effort synergize established understanding case hand demonstrate useful guidance still made planner policy maker crown
5,Greenwall classification and critical design-management assessments,WOS:000351705100040,greenwall promote wider application city contribute ameliorate urban heat island effect accumulated knowledge experience organized assessed foster better practise two greenwall type provide analytic framework based plant growth form overarching criterion namely mechanically dependent climber cgw mechanically independent herb shrub hgw intrinsic extrinsic wall factor subsumed structural surface dimension geometry location ambience determine vertical habitat foundation receive vegetation comprehensive greenwall design factor provide structured assessment cgw four design factor including climbing air gap substrate vegetation elaborate hgw five design factor including substrate container air gap water nutrient vegetation with justification related existing state classification terminology triple criterion greenwall classification scheme proposed adopting key criterion training system wall toe substrate cgw split 16 subtypes for hgw substrate system elevated substrate criterion identify 8 subtypes representative cgw hgw subtypes depicted concise diagram systematic classification inform greenwall designer determine plan preferred subtype pro con cgw hgw compared based 35 key design management issue optimize matching greenwall choice expectation preference site potential limitation finding provide practical hint enhance greenwall management greenwall nomenclature package recommended facilitate scientific communication
6,Effects of urban growth spatial pattern (UGSP) on the land surface temperature (LST): A study in the Po Valley (Italy),WOS:000447871400009,sealed surface greatly influence urban heat island uhi effect in respect composition spatial pattern anthropogenic land use play important role local thermal pattern urban environment strategy need adequate knowledge system urban planner use organise design resistant resilient urban space examined relationship land surface temperature lst variation increasing urbanised area period 2001 2011 po valley utilising different urban growth spatial pattern ugsp remotely sensed lst data obtained modis moderate resolution imaging spectroradiometer resolution 1 km pixel 11 year period 2001 2011 urbanisation data istat map nominal scale 1 10 000 respectively 2001 2011 time section relationship dependent mean annual daytime nighttime daily value independent urbanised area variable investigated anova test post hoc analysis p 0 01 defined ugsp result showed decreasing lst range condition associated progressive increase urbanised area furthermore clustered pattern urban growth statistically significant relationship daytime nighttime daily condition dispersed pattern urban growth nighttime outcome helpful understanding effect different ugsp significant implication urban planning identifying critical territorial sector need sustainable mitigation action
7,A rapid fine-scale approach to modelling urban bioclimatic conditions,WOS:000603487500031,surface characteristic play vital role simulation urban bioclimatic condition changing relationship distribution pattern sealed vegetated surface well building geometry across different scale urban environment influence surface temperature city comprise different urban form depending surface characteristic enhance heating process increasing emergence urban heat island uhis detecting priority area introduce multi beneficial measure set key task city long term strategy improve climatic condition across different urban structure scale introduce simple fast spatial modelling approach carry fine scale simulation land surface temperature lst mean radiant temperature mrt universal thermal index utci 2d environment capability modelling approach demonstrated evaluating urban thermal comfort alpine city innsbruck capital tyrol western austria result show major contrast sealed vegetated surface reflected distributional pattern value lst mrt um correlating appearance frequency specific surface class found sky view factor substantial impact calculation bioclimatic condition see high albedo surface decrease lst increase apparent temperature mrt utci value effecting human thermal comfort furthermore mrt utci sensitive change emissivity value whereas lst sensitive change bowen ratio value application modelling approach used identify priority area maximise multi functionality dimate measure support urban planning process heat mitigation implementation policy suggestion achieve sustainable development goal political objective
8,Where and how to cool? An idealized urban thermal security pattern model,WOS:000516278600002,context urban green infrastructure ugi recognized promising approach mitigating urban heat island uhi however previous study case based explore effect existent landscape spatial configuration uhi mitigation rather modeling optimized spatial pattern objective aimed transcend existing logic case study obtain pattern cooling effect ugi propose implication uhi mitigation established hypothetical idealized urban thermal security pattern model tspurban method based two basic concept deduced physical property ugi threshold size cooling distance well simplifying assumption defined then three proposed conceptual ugi type ecological efficient elementary 3e subtypes used frame model result deduced idealized tspurban model conforms hierarchical hexagonal structure theory calculated applied although generally cannot seen real world conclusion idealized tspurban model help u better understanding ugi cooling effect considering adaption planning decision making also serf novel pathway cooling effect ugi mitigate uhi effect
9,Green walking networks for climate change adaptation,WOS:000377324900006,cc potentially affect people travel behaviour due extreme weather condition particularly true pedestrian exposed weather condition introducing effect transport modelling allows analyse plan walking network taking consideration climatic variable aim work develop tool support planning design walking network assessing effect action oriented increase resilience respect extreme weather condition cc an integrated approach used thus combining transport land use planning concept element outdoor thermal comfort network accessibility walking network analysed centrality index including thermal comfort aspect general cost function link weighted node method applied walking network inside campus university catania italy includes different function pedestrian path barely used people result confirm tool sensitive variable representing weather condition measure influence cc measure e g vegetation walking attitude performance walking network
