,title,wos,clean_abstract
0,Climate change adaptation policies and plans: A survey in 11 South East European countries,WOS:000417078200110,building ready society urgent question cannot postponed along path towards increase resilience stimulating role played eu project well international network covenant mayor initiative mayor adapt launched 2014 new covenant mayor energy pledge reduce co2 emission least 40 2030 adopt integrated approach tackling mitigation these initiative stimulate engagement networking among city raise public awareness encouraging policy maker take action adapt operates different spatial societal scale accordingly development strategy requires holistic multi perspective approach scale specific study provides overview initiative undertaken 11 south east european country participating see orientgate project reference policy measure promoted eu implemented national level in particular cross sectoral policy analysis performed inclusive representation measure policy undertaken country interdisciplinary approach provided analysis country measure reveals unless national government local community concerned impact country included analysis developed comprehensive national strategy national action plan nevertheless almost country undertaken action across sector although action partially generated full commitment towards attest increasing awareness well high involvement national local authority boost cooperation among stakeholder find innovative solution strengthen society protect environment
1,"Coastal Adaptation Planning in Fairbourne, Wales: lessons for Climate Change Adaptation",WOS:000513893900001,emerging central objective policy frame coastal community examines recent effort uk centring case fairbourne wale village facing long term prospect flooding inundation due impact sea level rise recent shoreline management plan area recommended realignment coast eventual decommissioning fairbourne draw qualitative methodology interview policy observation narrate case provide key insight lesson planner working environmentally vulnerable coastal setting managing process
2,Measuring Progress on Climate Change Adaptation Policy by Dutch Water Boards,WOS:000412744400011,netherlands particularly vulnerable impact water system regional water authority water board given important role design implement specific policy measure manage impact from early 2000s onwards water board starting adapt impact yet systematic assessment exist ass whether progress made explains similarity difference across water board aim address critical question analyzing progress dutch water board period 2005 2016 systematically collected analyzed three consecutive water management plan 23 water board netherlands use content analysis method analyze progress looking vulnerability three level recognition groundwork action result show time number reported initiative water board increasing still recognition groundwork level our finding reveal diversity effort adapt among dutch water board conclude inter national water policy called action regional level unequal progress across netherlands suggests existing soft policy measure push might sufficient ensure progress across water board
3,Urban Resilience in Climate Change Adaptation: A Conceptual Framework,WOS:000375155800114,present conceptual framework analyzing urban resilience context key conceptual element resilience first identified reorganized focus city cover ecological engineering resilience also resilience sociopolitical process evolutionary perspective conceptual framework center resilience relates city it finding expected shed light future urban planning policy adapting
4,Enhancing the Practical Utility of Risk Assessments in Climate Change Adaptation,WOS:000435587100095,in 2012 intergovernmental panel ipcc moved vulnerability risk based conception however example work translates approach practice order demonstrate practical utility following risk based approach adapting explores critically differing conception vulnerability risk across literature relating disaster risk management also examines selection spatially focused vulnerability risk assessment methodology context in identify issue availability spatial data enable spatial risk based assessment argue concept risk potentially favorable helping city understand challenge posed identify option build resilience changing however suggest needed way practitioner policymakers engage risk based concept embed activity
5,Waves of Change: Towards Ecosystem-Based Management to Climate Change Adaptation,WOS:000757202900001,coastal impact challenge policy decision maker adopt effective measure ecosystem based management approach shift towards holistic integrated sustainable path however country work strategy adapt question agenda consider operationalise ecosystem based management remains a one world largest coastal country brazil prominent role advancing implementation ecosystem based management coastal zone by analysing two national brazilian institution evaluates discus country advance promoting adaptation based ecosystem based management principle our finding show although brazil incorporated many ecosystem based management principle national level greater attention given operationalizing principle related acknowledging uncertainty sustainability democracy knowledge production application challenge implement principle mirror historical challenge brazilian coastal management policy balancing development conservation promoting social participation implementing effective social ecological assessment monitoring program policy maker scientist community aware need strengthen ecosystem based management principle current agenda order enhance capacity foster coastal sustainability
6,CLIMATE CHANGE ADAPTATION POLICIES OF VIETNAM IN THE MEKONG DELTA,WOS:000576833700004,if alarming sea level rise scenario occurs without coping solution greatly affect socio economic development environment mekong river delta region recognizing government soon developed policy action plan adapt region however policy program cope still inadequate limited in order complete policy mekong delta current context government locality region need implement comprehensive practical solution
7,Spatial Planning in the Climate Change Adaptation and Turkey in the Framework of Smart Governance,WOS:000672708700011,aim examine smart governance order increase effectiveness spatial planning city one domain discus current situation smart governance turkey within framework for purpose firstly effect defined two stage literature conducted in first stage order understand relationship spatial planning indicator spatial planning evaluated examined prominent issue spatial identified including spatial policy governance model implementation level participation role technology in second stage literature reviewed prominent issue smart governance obtained then scope smart governance approach spatial turkey discussed spatial planning principle participation local level technology content analysis method allows descriptive evaluation literature used method a result spatial planning principle relevant actor identified local level deficiency use technology determined therefore asserted smart governance spatial turkey potential open development yet reached sufficient scope
8,New Directions: Adapting air quality management to climate change: A must for planning,WOS:000301561100044,while primarily thought water weather infrastructure issue air quality air quality management important aspect air quality heavily intertwined air quality need considered mitigation strategy also management adapting published elsevier ltd
9,Potential of existing policies of the Tokyo Metropolitan Government for implementing adaptation to climate change,WOS:000373310600005,impact apparent various region world even though may positive effect anticipated many severely negative effect human natural resource future therefore addition need stronger promotion mitigation policy urgently necessary implement policy longer term prepare possible negative impact to implement measure rapidly japan would seem practical effective make good use various countermeasure already promoted national local government many sector disaster prevention environmental management food production protection nation health these countermeasure considered potential effecting focusing negative impact investigates extent existing policy tokyo metropolitan government could contribute based comprehensive examination targeted field indicator policy could pursued result showed many existing policy could useful many sector furthermore le half policy need take future account order contribute proposes three basic step consider future local governmental proposition rapid implementation policy japan
10,Climate change adaptation and disaster risk reduction: Contested spaces and emerging opportunities in development theory and practice,WOS:000290181300003,pursuit theoretically practically intensified considerably past decade response increasing awareness potential impact global despite momentum interaction pre existing strategy reduce vulnerability build resilience developing world recently received significant attention using example disaster risk reduction explores developing interface existing development methodology overlapping interest while established must greater collaboration field many question remain surrounding scope interaction review literature relationship disaster risk reduction explores unanswered question developing conceptualization an examination theoretical point convergence divergence raise range question surrounding conceptualized academic literature policy environment there rich space consider pre existing development pathway within narrative enhancing adaptive capacity requires robust framework holistically engage embedded structure perpetuate socio economic environmental vulnerability
11,Climate change adaptation in aquaculture,WOS:000587548100010,conduct first systematic literature aquaculture address three specific question what aquaculture adapting ii how aquaculture adapting iii what gap need addressed identify characterise examine case study published 1990 2018 lie intersection domain aquaculture main area documented impact relate extreme event general impact aquaculture sector three category identified coping mechanism local level e g water quality management technique multilevel adaptive strategy e g changing culture practice management approach e g planning community based identify four potential area future inland aquaculture study household level whether different group aquaculture farmer e g indigenous people face adapt differently use gi remote sensing cost effective tool developing strategy response brings essential practical theoretical insight aquaculture industry well across globe
12,GOVERNANCE FOR CLIMATE-CHANGE ADAPTIVE CAPACITY IN THE SWEDISH ELECTRICITY SECTOR Do changes in structure and culture matter?,WOS:000310611300006,analysis capacity cca swedish electricity grid sector utilizing two perspective organization theory directs attention change sector 1980s 2010 radical npm reform 1996 for time 1996 finding indicate high cca capacity reform led reduction capacity increased emphasis economic efficiency although also room robustness consideration show organizational culture formal structure influence capacity adapt
13,The nexus approach to water-energy-food security: an option for adaptation to climate change,WOS:000381519200003,developing country face difficult challenge meeting growing demand food water energy compounded effective requires efficient use land water energy vital resource coordinated effort minimize trade offs maximize synergy however many developing country policy process south asia generally follows sectoral approach take account interconnection interdependence among three sector although concept water energy food nexus gaining currency become urgent need little effort made far understand linkage nexus perspective using hindu kush himalayan region example seek increase understanding interlinkages water energy food nexus explains important consider nexus context response argues focusing trade offs synergy using nexus approach could facilitate greater help ensure food water energy security enhancing resource use efficiency encouraging greater policy coherence it concludes nexus based adaption approach integrates nexus perspective plan perspective development plan crucial effective provides conceptual framework considering nexus approach relation discus potential synergy trade offs offer broader framework making response effective policy relevancethis draw attention importance interlinkages water energy food nexus implication sustainable development potential synergy complementarity among sector used guide formulation effective option issue highlight need shift policy approach sectoral focus result competing counterproductive action integrated approach policy coherence among sector us knowledge interlinkages maximize gain optimize trade offs avoid negative impact
14,The relative importance of subjective and structural factors for individual adaptation to climate change by forest owners in Sweden,WOS:000424643300018,a growing body literature argues subjective factor accurately explain individual objective measurer adaptive capacity recent study shown personal belief affect much better explaining awareness action income education gender focus process individual it ass compare influence cognitive experiential structural factor individual view intention regarding data come survey 836 forest owner sweden ordinal binary logistic regression used test hypothesis different factor result show cognitive factor namely personal level trust science belief salience risk assessment statistically significant factor directly explain individual intention adapt sense urgency finding also suggest structural socio demographic factor statistically significant influence decision making among swedish forest owner also offer valuable insight communication intervention promote finding strongly suggest communication intervention focus strongly building trust addressing stakeholder individual need experience
15,"Climate Change, Adaptation Planning and Institutional Integration: A Literature Review and Framework",WOS:000755778000001,scale scope triggered widespread acknowledgement need adapt out recent work attempting understand define contribute family concept related effort considerable contribution emerged yet field constantly grapple complex idea whose relational interplay always clear similarly understanding applied effort unfold planning process embedded broader institutional setting difficult apprehend present important theory theme term evident literature spatial planning integrate synthesize conceptual framework illustrating dynamic interplay lead consideration institution urban governance practice planning involved evolving shaping effort while examining practice planning useful framing core concept related role institutional process shaping defining concept planning remains complex our framework present useful tool approaching improving understanding interactive relationship central concept implication future work focused within domain planning institution addressing challenge era
16,THE MULTILEVEL PATH TO CLIMATE CHANGE ADAPTATION,WOS:000914652100012,much neglected urgent matter society frequent extreme weather event fire rising sea level event expected effect organization must prepare adapt present systematic literature analyzes factor influence organization strategic decision making finding lead model elaborated explain role factor considering level influence individual organizational institutional contributes literature proposing model explains relationship internal external factor multilevel context model identifies risk perception one main contingent factor adapting other contingent factor organizational resource capability stakeholder partnership finally demonstrates public policy value individual experience cognitive capacity important antecedent process
17,Benefit transfer of climate change adaptation policies in island tourist destinations,WOS:000805327700010,benefit transfer non market valuation method offer quick cost effective alternative costly valuation method assessing economic value environmental good policy tourism ass validity benefit transfer method policy adapt impact across tourist destination to discrete choice experiment designed conducted simultaneously across seven island destination similar sociological environmental characteristic result show policy valued others tourist destination attract higher preference environmental action test give significant support validity transfer benefit policy across destination thereby providing alternative economic assessment benefit non market good policy tourism worldwide information cost benefit involved tourism policy decision making become increasingly available
18,Climate change adaptation under a social capital approach - An analytical framework for small islands,WOS:000356755700005,small island vulnerable impact continental region however island also feature high degree resilience resource dense social network collective action norm reciprocity relation trust therefore argue resource generally defined social capital particularly relevant small island current role social capital community cover many different aspect local knowledge economic development political capacity but effective relies understanding role social capital aspect connection specific impact holistic approach needed based empirical case study developed analytical framework provides step step approach help analyse potential social capital island specific case study these step among others include assessment social capital hazard mapping analysis political economic capacity moreover framework suggests method analyse step
19,"Climate Change Adaptation, Food Security, and Attitudes toward Risk among Smallholder Coffee Farmers in Nicaragua",WOS:000570349600001,farmer livelihood uniquely vulnerable taking adaptive measure changing environmental condition constitutes one important pathway protecting their willingness capacity adopt improved practice technology cognitive behavioural preference institutional response mechanism go long way determining success present result analysis vulnerability smallholder coffee producer nicaragua i use descriptive analysis experimental risk game evaluate preference attitude coffee producer context i show food insecure household risk averse food secure household much work needed sector ensure equity improve institutional capacity for household chronic poverty conventional risk management strategy simply may enough institutional arrangement must put place enable coffee growing household engage practice result improved capacity
20,Adaptation to Climate Change in Developing Countries,WOS:000265440700001,given increasing international attention confidence projection getting higher developing country specific need due high vulnerability way carry great part global cost although rising atmospheric greenhouse gas concentration mainly responsibility industrialized country provides status developing country an overview observed projected given recent literature impact vulnerability reviewed including emerging focus mainstreaming development plan program also serf introduction seven article special issue developing country it concluded although many useful step taken direction ensuring adequate developing country much work still remains fully understand driver past effort need future mainstream general development policy
21,The multilevel path to climate change adaptation,WOS:000914652100004,much neglected urgent matter society frequent extreme weather event fire rising sea level event expected effect organization must prepare adapt present systematic literature analyzes factor influence organization strategic decision making finding lead model elaborated explain role factor considering level influence individual organizational institutional contributes literature proposing model explains relationship internal external factor multilevel context model identifies risk perception one main contingent factor adapting other contingent factor organizational resource capability stakeholder partnership finally demonstrates public policy value individual experience cognitive capacity important antecedent process
22,"Incremental, transitional and transformational adaptation to climate change in resource extraction regions",WOS:000769810800017,non technical summary mining region affected supply energy water required operation become hazardous adverse weather event adapting take three form incrementally improving resilience mining operation transitioning inclusive governance institutional policy innovation profound transformation shift balance power including profit sharing localized control cessation mining entirely clarifying pathway help identify priority inform policy fairer sustainable future mining region take place technical summary mining region strategically important response given advance global governance shifting risk extraction site there sustainability justice consideration offer critical lesson design region systematically review evaluates social interdisciplinary science literature mining region order identify goal scale proposed solution shortcoming possible learning opportunity employ framework pathway distinguishes incremental transitional transformational in way contributes growing literature resource extraction providing understanding mining region occur find lack clarity adaptive response behaviour framed conceptual lens need multi scalar dynamic polycentric empirical practical work identify enable mining region deploying technology also better governance practice egalitarian power structure
23,Towards a diagnostic approach to climate adaptation for fisheries,WOS:000328622900006,a diagnostic approach fishery proposed define potential pathway well managed fishery traditional vulnerability risk assessment tend focus biophysical threat opportunity thereby need done adapt our diagnostic approach move analysis focus process development adaptive capacity structured achieve desired outcome using well grounded framework diagnostic approach move system description characterization challenge opportunity two stage analysis validation definition embedding option pathway framework include contextually relevant variable accommodate evaluation outcome comparison across scale context such approach serve basis enabling stakeholder identify challenge opportunity explore prioritize option development implementation legitimate pathway
24,Strengthening climate change adaptation capacity in Africa-case studies from six major African cities and policy implications,WOS:000435052500004,africa one vulnerable region respect a african continent struggle adapt variety measure pursued alleviate resultant pressure people property livelihood several african city collectively show africa hopeless widely claimed promising prospect literature show deficiency study examine extent pursued african city address need outline important threat e g increasing temperature drought sea level rise sea river flooding synergic non factor well recent progress made in respect implementing african city rather adopt general description trend focus concrete case study six major city across central western eastern region african continent douala lagos city dar e salaam accra addis ababa mombasa vulnerability adaptive capacity status studied city discussed difficulty challenge encountered implementing policy area also highlighted furthermore successful example initiative surveyed city provided finally outline policy measure implemented towards strengthening capacity african city adapt changing
25,Public Health Aspects of Climate Change Adaptation in Three Cities: A Qualitative Study,WOS:000845801800001,present unprecedented public health challenge great impact population health outcome across global population key addressing health challenge carried city collaboration institution including public health one through semi structured interview n 16 investigated experience perception public health aspect considered urban public health planner researcher planning coastal city soderhamn sweden porto portugal navotas philippine result thematic analysis indicated participating stakeholder aware main risk threatening city rising water level flooding extreme temperature air pollution in addition interviewee talked collaboration sector including public health sector implementing plan however inclusion public health sector partner process identified two city navotas porto furthermore found aspect pertaining public health water sanitation prevention heat related water borne disease prevention consequence associated heat wave vulnerable group child elderly person latest plan posted city website moreover participant pointed different difficulty insufficient financial resource limited intersectoral collaboration lack involvement public health sector process especially one city solely responsibility urban planner study using larger sample stakeholder larger city needed better understand public health sector still almost absent effort adapt
