,title,wos,clean_abstract
0,Simultaneous modelling of the perception of and adaptation to climate change: The case of the maize producers in northern Benin,WOS:000341354200003,in benin developing country farmer experiencing need adapt farming system developing strategy sustain livelihood aim analysing maize producer accordingly farmer perception identified order analyse underlining determinant conducted municipal area malanville banikoara bembereke natitingou northern benin a total 336 farmer producing maize randomly sampled interviewed generally maize producer northern benin perceive adapt primarily crop diversification adjustment cropping practice agricultural calendar a heckman probit model highlight experience agriculture organisation membership positively correlated perception in addition running side activity accessing credit contact agricultural extension service positive effect farmer decision adapt neither number household worker agriculture land ownership showed significant effect farmer decision adapt
1,Perception of climate change and farm level adaptation choices in central Kenya,WOS:000412158500004,farmer experiencing need adapt developing different strategy contributes understanding farmer choice determinant implication relation household income in 2014 focus group discussion fgds 220 household survey carried farmer coffee food crop zone central kenya heckmanmodel used evaluate determinant choice marginal effect farmer fromthe coffee zone fromthe food crop zone perceive adapt differently farmer aware change willing explore strategy a positive relationship found household income highest payoff return achieved multiple choice used rather single strategy choice strategy also determined household characteristic resource endowment institutional variable information strong correlation socio institutional variable capacity suggests need establishment strengthening local institution micro finance extension
2,"Dataset on cocoa production and climate change adaptation strategies in Ahafo Ano North District, Ghana",WOS:000664459200018,sustainable cocoa production susceptible change climatic parameter survey carried understand perception cocoa farmer impact cocoa production method stratified sampling method used select farmer data collected structured questionnaire stratification district done based existing seven administrative divisional office comprise six area council one town council cocoa farmer sampled within stratum sample size proportional estimated number farmer during survey 378 cocoa farmer interviewed abu bone 60 any inasuso 65 biakoye 42 kwasu abu 89 subriso 35 suponso 20 tepa 67 dataset shared valuable understanding perception cocoa farmer cocoa production efficiency determinant choice
3,Building resilience to shocks of climate change in Ghana's cocoa production and its effect on productivity and incomes,WOS:000562347200011,happening cocoa producer aware cause well effect farm however empirical evidence revealed small number farmer adopt technology build resilience shock meted in using data ghana employ propensity score matching control selection bias analyse adoption technology determinant well impact cocoa productivity income result showed cocoa farmer adopt technology adopt technology diversification income source major innovation also eight factor including gender age respondent involvement economic activity farm size membership farmer association access extension service access credit well annual income cocoa production found significantly influence adoption technology finally cocoa farmer adopted technology recorded significantly higher farm productivity income vi vi non adopter to build resilience cocoa farmer encouraged join farmer based organization extension officer supported able reach farmer educate resilience technology
4,Determinants of choice of climate change adaptation practices by smallholder pineapple farmers in the semi-deciduous forest zone of Ghana,WOS:000742771600005,explored extent awareness affect choice practice smallholder pineapple farmer used cross sectional data collected 150 farmer nsawam adoagyiri municipality ghana applied latent class analysis lca identify sub population pineapple farmer based awareness level socioeconomic characteristic used multinomial logistic regression examine extent difference awareness influence choice result indicated smallholder pineapple farmer well aware perceived change rainfall temperature pattern further finding revealed smallholder pineapple farmer implementing host farm farm practice including irrigation adjusting planting time land fragmentation use agmecological knowledge seasonal migration lca identified three subgroup smallholder pineapple farmer based level awareness strong awareness group n 111 74 moderate awareness group n 18 12 poor awareness group n 21 14 result showed marginal difference adoption rate practice across observed subgroup farmer identified institutional factor including quality information quality extension service access credit education access extension service stronger effect awareness choice practice compared individual factor gender marital status farmer age
5,Crop variety management for climate adaptation supported by citizen science,WOS:000460242100045,crop requires accelerated crop variety introduction accompanied recommendation help farmer match best variety field context existing approach generate recommendation lack scalability predictivity marginal production environment tested crowdsourced citizen science address challenge producing empirical data across geographic space aggregate characterize varietal climatic response present result 12 409 farmer managed experimental plot common bean phaseolus vulgaris l nicaragua durum wheat triticum durum desf ethiopia bread wheat triticum aestivum l india farmer collaborated citizen scientist ranking performance three variety randomly assigned larger set show approach register known specific effect variation varietal performance prediction variety performance seasonal climatic variable generalizable across growing season show analysis improve variety recommendation four aspect reduction bias incorporation seasonal forecast risk analysis geographic extrapolation variety recommendation derived citizen science trial led important difference previous recommendation
6,Local adaptive capacity to climate change in mountainous agricultural areas in the eastern Mediterranean (Lebanon),WOS:000689617300001,potential capacity agricultural community adapt directly related several indicator mainly initial state local farmer perception socio economy space biophysical characteristic institutional efficiency technological aspect adaptive capacity reflects directly ease difficulty current future process system in adaptive capacity mountain agriculture weighed 4 different zone mount lebanon east coast mediterranean sea one vulnerable hot spot worldwide assessment based multi criterion analysis key indicator local adaptive capacity assisted survey conducted 378 farmer apple grower area consisting 24 village grouped 4 cluster result show presenting variation 4 cluster local adaptive capacity weak le average concerned area general none considered zone concurrently highest score assessed criterion cluster strong potency indicator overall comparative approach reveals local potential agriculture specifically apple growing highest bcharreh cluster area compared three cluster aqoura mayrouba jouar el hoz
7,Relevant drivers of farmers' decision behavior regarding their adaptation to climate change: a case study of two regions in Cote d'Ivoire,WOS:000347952400001,in addition many stressor emerged one major threat smallholder farmer toumodi center korhogo north cote ivoire examined farmer behavior respect subjective socio demographic institutional physical variable focus group discussion 205 farmer large scale survey involving 800 farmer household conducted area data collection data analyzed using categorical principal component analysis catpca reliability analysis binary logistic regression model determine relevant influence farmer behavior result revealed 77 farmer perceived high increase temperature 75 perceived strong decrease rainfall last 10 year farmer toumodi perceived colleague korhogo in addition farmer korhogo perceived new pest 81 new weed 87 toumodi agreed strong change flowering fruiting time 54 furthermore two main group identified change sowing management technical itinerary level implemented strategy differed significantly across region factor perceived occurrence new pest insect support national international organization relevant farmer decision adapt moreover agro ecological specificity type food crop owner livestock also influence farmer choice appropriate policy response henceforth integrate factor support efficient process response cote ivoire
8,Impact of Climate Change on Cultivar Choice: Adaptation Strategies of Farmers and Advisors in German Cereal Production,WOS:000385528500001,objective understand requirement cereal cultivarswith regard adaptationare demand farmer advisor clarify whether difference assessment a comparative survey used collect data 410 farmer 114 advisor majority farmer advisor reported perceivable effect climatic plant production increase drought hot spell increased incidence torrential rain mild winter mentioned main effect for farmer advisor mostly relied locally adapted cultivar selection it estimated eco stability grain yield resistance lodging drought tolerance important cultivar property in farmer advisor equally pointed need additional cultivar evaluation according eco stability finally minor difference regarding farmer advisor assessment found within outcome point need implementing farmer demand cultivar recommendation for example impartial assessment cultivar eco stability could help support choice cultivar reduce growing risk cereal production regard
9,Confronting climate change and livelihood: smallholder farmers' perceptions and adaptation strategies in northeastern Burundi,WOS:000941164300001,rain fed agriculture main source livelihood burundi population especially northeastern part country aimed examining smallholder farmer northeastern region burundi perceive variability identifying method used adapt based data 200 small farmer actual weather data recorded 1986 2017 find majority farmer 54 perceive significant increase temperature unpredictability rainfall duration intensity making adjustment adapt agriculture response change over 80 farmer implemented least one strategy among nine evaluated changing crop variety changing fertilizer planting shade tree main strategy implemented farmer across area result binary regression model showed agricultural education experience farmer well farm family size livestock ownership information access credit access farm income strongly influence smallholder farmer decision adapt main obstacle lack information strategy poverty make difficult cope increased cost farming understanding farmer perception variability local level would provide information develop strategy present suggests need strengthening farmer capacity improving policy framework order improve farmer livelihood implication policymakers therefore include making flexible credit facility investing training extension agent outreach coping strategy
