,title,wos,clean_abstract
0,Climate change adaptation and local government: Institutional complexities surrounding Cape Town's Day Zero,WOS:000472978500001,challenge associated local government growing daily one challenge water security aspect draw u subject matter discus finding institutional complexity surrounding day zero concept associated water tap running dry drought condition aggravated city cape town south africa thrust institutional complexity deliberate affect crisis situation like day zero handled data generated mainly actor actant network theory event well document discourse analysis method actor actant network theory used widely trace actor human actants non human phenomenon interact space time network following narrative like day zero act related matter analysis applied element grounded theory resulting category theme emerging discussion found narrative surrounding day zero embedded political administrative dilemma red tape despite challenge concludes day zero remains one landmark learning point water security cape town south africa city across world recommends day zero experience continue embraced positively documented enhance local government water security currently future well
1,Groundwater use in North Africa as a cautionary tale for climate change adaptation,WOS:000410689700007,recent history groundwater use north africa provides cautionary tale even though short term threat groundwater overexploitation clear territorially bounded involve comparatively player recent decade agricultural intensification consistently increased pressure available resource groundwater governed dynamic interplay formal rule informal practice focused maintaining fragile socio political compromise ensuring environmental sustainability if effective need muster sort political legitimacy sustainable groundwater management currently lacking
2,Climate Change and Water and Sanitation: Likely Impacts and Emerging Trends for Action,WOS:000398214100010,represents significant challenge twenty first century pose risk water sanitation service concern water supply include damage infrastructure flooding loss water source due declining rainfall increasing demand change water quality water source within distribution water sanitation concern include damage loss service flood reduced carrying capacity water receiving wastewater key action reduce risk include integration measure resilience water safety plan well improved accounting management water resource policy prescription technology service delivery change management model offer potential reduce risk particularly low income setting water sanitation service contribute greenhouse gas emission choice wastewater treatment technology improved pumping efficiency use renewable source energy within system generation energy offer potential reducing emission overall greater attention required understand plan adapt water sanitation service a many adaptation likely benefit regret solution likely outweigh cost investment
3,"THE RELATIONSHIP BETWEEN GREEN, SUSTAINABLE AGRICULTURAL DEVELOPMENT, CLIMATE CHANGE ADAPTATION, AND DIGITAL TRANSFORMATION IN DONG THAP, VIETNAM",WOS:000896846800010,issue agriculture rural area digital transformation major policy party state dong thap vietnam locality continuing affected environmental pollution epidemic these greatly affect agricultural development if issue resolved timely significant impact future initially study relationship green clean sustainable agricultural development agricultural digital transformation dong thap inevitable objective trend key foundation sustainable development dong thap agricultural sector thereby contributing successful implementation resolution party congress dong thap province term xi
4,Anticipatory planning: Finding balance in climate change adaptation governance,WOS:000663366600002,a progress local government forced find way adapt worsening environmental economic infrastructure impact city fredericton new brunswick long history river overland flooding however recent change local weather pattern led increase flood risk area for decade decision maker fredericton worked mainstream action within municipal policy order address growing flood risk through anticipatory spatial planning incremental infrastructure upgrade city aim proactively mitigate impact day day life framed evolutionary governance investigates relationship actor institution well power knowledge order uncover long standing path dependency hinder comprehensive action while fredericton considered success story many way reveals flawed multi level governance structure economic development goal major barrier effective practice a impact worsen balancing economic political interest action require new approach governance
5,IMPACTS OF CLIMATE CHANGE ON WATER RESOURCES IN TURKEY,WOS:000340483100012,global affect temperature precipitation these change serious impact availability water resource regional basis turkey located mediterranean basin predicted severely affected adverse effect global particularly term water resource it important figure situation country term water scarcity induced anthropogenic order provide rational measure investigates impact water resource turkey national level collaborating related literature considering past observation future prediction legal status turkey term greenhouse gas emission turkey effect temperature precipitation turkey effect water resource potential sea level rise flood turkey example different region country measure impact investigated extensively
6,"Estimating the non-market benefits of climate change adaptation of river ecosystem services: A choice experiment application in the Aoos basin, Greece",WOS:000346548000009,mountain important global reservoir water resource however highly vulnerable limited alteration temperature precipitation may cause harmful effect water system southern europe especially greece expected undergo drought trend next decade resulting le recharge aquifer water service reduction thus may distort natural socioeconomic characteristic freshwater ecosystem service deteriorating general social welfare related examines economic impact river us aoos basin greece in regard choice experiment conducted estimate value change different ecological economic service mountain community econometric simulation using conditional logit random parameter logit latent class model reveal despite existing preference heterogeneity respondent average derive positive significant welfare effect measure finding survey may assist planning aoos river basin possible extension river system enduring similar indication
7,Challenges of Resilience to Reducing Environmentally Induced Migration from Central America,WOS:000646552900002,resilience already one important analytical approach socio ecological problem forced migration environmental reason one main consequence global environmental socio ecological resilience identifies factor would diminish effect environmental migration especially concerning governance issue draw attention fact recent wave migration made central america hotspot environmentally induced displacement in response international aid geared towards could reduce displacement inhabitant central american dry corridor however favored practice ha avocado cultivation controversial term environmental sustainability
8,Integration of water management and land consolidation in rural areas to adapt to climate change: Experiences from Poland and the Netherlands,WOS:000442067100047,rural area face major challenge adapting impact particular flood drought call rural function proof water resilient design rural area often implying improvement water retention flood protection implementation related goal spatial planning often involves adaptation water management perhaps even leading land consolidation water management land consolidation thus form important tool spatial land consolidation also tool support integration claim need room agriculture nature landscape tourism function investigates history approach land consolidation water management poland netherlands illustrates integration land consolidation water management realize multi functional resilient rural area two example country qualitatively compared extent planned activity water retention flood protection realized planned result achieved function found two measure water retention flood protection effective netherlands stemming ample attention impact incorporation goal water policy furthermore water retention flood protection measure netherlands better serve multiple function agriculture nature recreation landscape infrastructure reason multidisciplinary participatory approach attention public awareness communication promotion process on hand dutch much learn poland vast undisturbed natural area contribute resilient landscape both poland netherlands could therefore benefit bringing together idea experience regarding proofing rural area
9,A comparison of flood-protective decision-making between German households and businesses,WOS:000724752800002,integrated flood risk management requires stakeholder limit flood impact flooding major avenue society design living space cope threat flooding within context many study investigating employment property level household related decision making process disaster risk reduction measure by comparison business relatively neglected topic limitation business important community member suffer large share flood loss lack preparedness undermines social resilience using survey data 2013 german flood compare implementation property level measure household business investigate whether similar factor drive adaptive behaviour using structural statistical model hybrid two socio psychological model protection motivation theory pmt protective action decision model padm based empirical analysis combined framework main conclusion great difference household business term pre disaster decision process however company lower level overall preparedness household implies result decision making one stakeholder set may applicable elsewhere e g developing agent based model disaster risk reduction however business studied smes may representative larger business decision making process increasingly formalized important since small medium enterprise smes often well prepared flooding impact
