,title,wos,clean_abstract
0,A scalable flood-resilience-index for measuring climate change adaptation: Munich city,WOS:000523569000009,affecting frequency intensity rainfall extreme event worldwide despite growing global awareness developing flood resilient city proven major challenge investigates application event based scalable flood resilience index fri assessing flood resilience represented three dimension physical social economic a household adopted consisting combination flood proof gate indoor tank submersible pump system implemented house related impact high emission scenario rcp8 5 analysed munich crcm5 large ensemble result show munich extreme heavy rainfall event increasing fri successfully identify household district mostly affected heavy rainfall b benefit
1,"Residents' understanding of the role of green infrastructure for climate change adaptation in Hangzhou, China",WOS:000355023000013,hangzhou rapidly growing chinese coastal metropolis facing impact including intense heat wave flooding increased severity storm e g typhoon thunderstorm examines whether green infrastructure gi specifically increased tree planting could help hangzhou city adapt impact report result survey hangzhou green space user disposition toward tree planting public communal green space adaptive response result show surveyed green space user tended favor tree planting adaptive strategy older believed individual action could reduce impact believed future impact would economically disruptive few respondent reported tree cost disservice while perceived benefit urban tree unrelated support urban greening result suggest condition resident may willing support increased tree cover within urban public communal open space finding suggest land use planner environmental manager china would well cultivate support green infrastructure intervention among older green space user resident perceive personal cost associated additional across range chinese city internationally could assist evaluating efficacy green infrastructure green space user perspective particular attention need given potential cost large scale tree planting e g health impact utility gi macro scale response
2,A bridge over troubled water? Flood insurance and the governance of climate change adaptation,WOS:000861179900002,flood one commonly occurring natural hazard event globally present significant threat uk operating since 2016 flood re industry government initiative set goal reforming flood insurance market order provide universal affordable cover uk household principally providing reinsurance service insurer including mutualisation arrangement aim withdraw market 2039 paved way risk reflective pricing without subsidy drawing theoretical work francois ewald empirical data interview 12 key stakeholder documentary analysis trace shift flood re insurantial imaginary exemplified devel opment several solution go beyond initial remit providing reinsurance private insurer finding show shift driven growing realisation merely complicating factor ability achieve thriving insurance market demand paradigmatic governance flood risk argue flood re opportunity adopt leadership role governance must expanded include wider variety stakeholder covering land use planning housing consumer community representative that market flood insur ance delivers risk reduction affordability brought without structural reform industry strong role state delusion light
3,Geohistorical analysis of flood risk spatio-temporal evolution and its management in the urban area of Douala (Cameroon),WOS:000491269500007,analyzes spatio temporal evolution flood urban area douala cameroon geohistorical approach a database flood created using information press cameroon tribune journal allows spatialize event understand area douala frequently flooded there increase number flood reported since 2010 seems correlate evolution city urban footprint recurrently flooded urban area often informal neighborhood built directly flood prone area whose growth significant since 1990s data press also helped evolution discourse flood risk management it remains strongly focused crisis resolution despite context policy develop project improve urban flood management
4,A holistic and multi-stakeholder methodology for vulnerability assessment of cities to flooding and extreme precipitation events,WOS:000580580900019,over recent year frequency intensity torrential rain flooding event linked impacting city throughout world must therefore integrated urban planning coupled sustainable urban development conservation policy to good understanding vulnerability city extreme event necessary lending special attention specific different urban area historic city centre in present vulnerability evaluation methodology presented city extreme rainfall flooding follows holistic multi stakeholder approach integrating architectural socio economic cultural perspective support evidence based decision making sustainable development agent intervene process mives method based multiple criterion decision analysis process citygml based data model used purpose process capturing evaluating representing information objective organized systematic way developed these advantage demonstrated application process case donostia san sebastian northern spain located river estuary front sea wide diversity building style
5,Changes in river flood hazard in Europe: a review,WOS:000451169100002,despite costly flood risk reduction effort material damage death toll caused river flood continue high europe in present outlining process based perspective examine observed projected change flood hazard spatial temporal variability large flood analyzed based time series flood information collected dartmouth flood observatory 1985 2016 model based projection future flood hazard critically reviewed it difficult disentangle climatic component strong natural variability direct human impact impact flood hazard complex depends river flood generation mechanism it possible detect ubiquitous change flood characteristic observation record europe far however found increasing tendency number flood large magnitude severity even year year variability strong there considerable spread river flood hazard projection europe among study carried different assumption therefore caution must exerted practitioner charge flood risk reduction risk insurance water resource management accommodating information flood hazard projection considerable uncertainty
6,Assessing Community Resilience to Urban Flooding in Multiple Types of the Transient Population in China,WOS:000586979800001,while various measure mitigation taken recent year many gradually reached consensus building community resilience great significance responding especially urban flooding there dearth community resilience urban flood especially among transient community therefore need conduct empirical study improve understanding identify appropriate intervention thus work combine two existing resilience assessment framework address issue three different type transient community namely urban village commercial housing apartment located wuhan china an analytic hierarchy process back propagation neural network ahp bp model developed estimate community resilience within three transient community effect change prioritization key resilience indicator different environmental economic social factor analyzed across three community result demonstrate ranking indicator reflects connection disaster resilience evaluation unit diverse transient community these aspect show difference disaster resilience different type transient community proposed method help decision maker identifying area lagging behind need prioritized allocating limited stretched resource
7,Rediscovering South Africa: Flood disaster risk management through ecosystem-based adaptation,WOS:000793466600012,emergence ecosystem based eba created shift conventional approach often accompanied high cost including conflicting interest associated dense urban fabric inflexibility therefore eba present potential comprehensive cost efficient multifunctional multidimensional measure flood disaster risk management essentially eba integrates biodiversity ecosystem service approach disaster risk reduction adopts descriptive exploratory analytical approach aimed assessing trend flood event south africa potential risk management eba reveals 1959 2019 several major flood occurred resulting loss life livelihood significant infrastructure damage among others recovery taken year needed continuous investment unfortunately many community able bounce back bounce forward despite effort revealed eba strategy instituted regionally nationally offer efficient flood disaster mitigation flood prone area in general utilising eba stabilise reduce flood impact minimise environmental impact damage associated flood disaster developing innovative eba strategy therefore recommends increased awareness eba strategy enhance universal adoption ameliorating flood risk
8,Influence of climate change and socio-economic development on catastrophe insurance: a case study of flood risk scenarios in the Netherlands,WOS:000365082400019,damage weather related event expected increase future due socio economic growth increase exposure natural disaster anticipated study long term impact land use planning flood risk particular focus flood risk insurance netherlands estimate full probability distribution flood damage four different scenario socio economic development year 2040 subsequently risk based insurance premium flood coverage estimated 53 dyke ring area netherlands using method take account insurer risk aversion covering uncertain catastrophe risk on basis result draw four main lesson first extreme high sea level rise higher impact flood insurance premium compared future socio economic development second insuring large flood loss may become expensive future third public private insurance system government act risk neutral reinsurer last resort accompanied comprehensive risk reduction measure could good solution making flood risk insurance available affordable price fourth given projected increase flood risk especially important flood insurance contributes
9,"A nature-based approach to mitigate flood risk and improve ecosystem services in Shiga, Japan",WOS:000687406000003,increased frequency extreme rain event due garnered attention japan in 2018 country enacted act formulate plan national local level government suggested use nature based solution nb across country address increased risk natural disaster employ scenario analysis examine effectiveness nb mitigation flood risk implication provision ecosystem service es shiga prefecture japan enacted ordinance 2015 ordinance considers existing land use building regulation mitigate flood risk quantitative analysis assumes nine scenario year 2050 combining current policy shiga original assumption advance policy option evaluate future flood risk e analysis revealed land use management partially mitigate flood risk banning new residence relocating residential land flood prone area safer area converting residential land forest paddy field it also suggests flood risk mitigation provision es improved local government introduce residence growth management strategy
