,Topic,Count,Name,-1,0,1,2,3
0,-1.0,104.0,-1_crop_yield_rice_production,"('crop', 0.04504181165847032)","('crop', 0.0958903232359151)","('wheat', 0.09581348756613138)","('maize', 0.11407880444946104)","('farmer', 0.05996746113804417)"
1,0.0,18.0,0_crop_yield_model_impact,"('yield', 0.03879457763905389)","('yield', 0.06979736519988289)","('yield', 0.06209910444376127)","('yield', 0.06508530678976422)","('csa', 0.04647348975824965)"
2,1.0,16.0,1_wheat_yield_genotype_condition,"('rice', 0.038257627851504834)","('model', 0.05412410619048226)","('genotype', 0.03262498249454021)","('potential', 0.05808943530845686)","('agricultural', 0.04385879986178361)"
3,2.0,14.0,2_maize_yield_potential_period,"('production', 0.0280301590291315)","('impact', 0.04293564881665944)","('condition', 0.032325956053444745)","('period', 0.05007709940384212)","('insurance', 0.035661125549940546)"
4,3.0,13.0,3_farmer_csa_agricultural_insurance,"('temperature', 0.02728579580205681)","('production', 0.03329375225550055)","('grain', 0.032325956053444745)","('zone', 0.047469098953653595)","('practice', 0.03539287343086878)"
5,,,,"('wheat', 0.025727599327942594)","('management', 0.03319737421999255)","('cultivar', 0.03088666560537952)","('climatic', 0.04645185148757951)","('productivity', 0.034898330681255856)"
6,,,,"('water', 0.025390117276074552)","('maize', 0.0331934982846258)","('variety', 0.029695004004418706)","('kg', 0.04491746962349396)","('household', 0.034313105169618205)"
7,,,,"('increase', 0.02429456558448166)","('system', 0.03257624140693596)","('winter', 0.029484714463637162)","('region', 0.040473677659047635)","('crop', 0.03003543115597685)"
8,,,,"('impact', 0.023701505568113998)","('future', 0.031126871210890777)","('plant', 0.025811803410877)","('ha', 0.039003754209383346)","('country', 0.029034165912753863)"
9,,,,"('model', 0.02344696062771642)","('projected', 0.028477329861356055)","('strategy', 0.024604983673502317)","('resource', 0.03594049728168246)","('find', 0.026394696284321697)"
