,Topic,Count,Name,-1,0,1,2
0,-1.0,26.0,-1_health_fire_temperature_water,"('health', 0.032620829987674946)","('population', 0.04531218912991688)","('city', 0.0651723739013452)","('fishery', 0.06004134970356586)"
1,0.0,22.0,0_population_temperature_mediterranean_thermal,"('fire', 0.029299762004679267)","('temperature', 0.040510635949400145)","('water', 0.057119329167074726)","('woman', 0.05263902972770461)"
2,1.0,21.0,1_city_water_urban_street,"('temperature', 0.02441404013543612)","('mediterranean', 0.031046521408572846)","('urban', 0.04269691831256813)","('livelihood', 0.045321120013949986)"
3,2.0,12.0,2_fishery_woman_livelihood_community,"('water', 0.023690393148358288)","('thermal', 0.030778368644223387)","('street', 0.033967426978094906)","('community', 0.04356186074569207)"
4,,,,"('10', 0.023084907679677923)","('southern', 0.02698945895557992)","('rainfall', 0.03363997219868851)","('aquaculture', 0.04221814328183405)"
5,,,,"('000', 0.02211607148749608)","('apple', 0.02552221231317373)","('football', 0.03293872275691458)","('sector', 0.04144497074647289)"
6,,,,"('insect', 0.02013811539218489)","('buffalo', 0.02552221231317373)","('emission', 0.02836508374978542)","('policy', 0.03397605976255633)"
7,,,,"('state', 0.01935156255155907)","('f1', 0.02552221231317373)","('future', 0.027907144062883905)","('fuel', 0.0334839168124654)"
8,,,,"('design', 0.01917775015624338)","('degree', 0.024793693470390395)","('in', 0.02662899615766317)","('fishing', 0.032499034733550876)"
9,,,,"('public', 0.019117302193773774)","('bat', 0.023607784685265386)","('two', 0.02480635027811903)","('organic', 0.032169929549693506)"
