,Topic,Count,Name,-1,0,1
0,-1.0,26.0,-1_temperature_urban_area_emission,"('temperature', 0.04717373662224884)","('tree', 0.07699979187344726)","('energy', 0.0712623856499147)"
1,0.0,12.0,0_tree_city_urban_cover,"('urban', 0.030281379824875606)","('city', 0.06782250768431669)","('building', 0.0670536775097314)"
2,1.0,11.0,1_energy_building_cooling_system,"('area', 0.029301742463897034)","('urban', 0.06236800894924784)","('cooling', 0.05697751548339763)"
3,,,,"('emission', 0.02536358202664369)","('cover', 0.057086389716805394)","('system', 0.045047111143253354)"
4,,,,"('planning', 0.02514449193791205)","('mortality', 0.04670704613193168)","('heating', 0.0385014090943589)"
5,,,,"('result', 0.024754044086027428)","('heat', 0.04090492612633005)","('demand', 0.037417272696542755)"
6,,,,"('quality', 0.023708336486315488)","('benefit', 0.03245187992271893)","('design', 0.037417272696542755)"
7,,,,"('impact', 0.02354366869889166)","('reduction', 0.02827524830114905)","('heat', 0.03434263851248032)"
8,,,,"('economic', 0.02307648380818158)","('emergence', 0.028207144535145348)","('increase', 0.033865586649310116)"
9,,,,"('model', 0.022690744979417664)","('related', 0.02802974092241377)","('prediction', 0.03314022579527578)"
