,Topic,Count,Name,-1,0,1
0,-1.0,36.0,-1_flood_flooding_city_urban,"('flood', 0.0737959657513009)","('disaster', 0.05945028890046528)","('flood', 0.10805306477194007)"
1,0.0,19.0,0_disaster_community_flood_vulnerability,"('flooding', 0.04317713892568458)","('community', 0.05162823742604174)","('urban', 0.08264015259779071)"
2,1.0,15.0,1_flood_urban_risk_pluvial,"('city', 0.039001583100620144)","('flood', 0.04832953345053469)","('risk', 0.07544569375225534)"
3,,,,"('urban', 0.038874457254895266)","('vulnerability', 0.04105417734603648)","('pluvial', 0.049000965337684034)"
4,,,,"('risk', 0.0383707399139899)","('event', 0.04018076306340329)","('flooding', 0.042590692217016536)"
5,,,,"('impact', 0.031081445461239133)","('risk', 0.03729505203137627)","('water', 0.0397278938255893)"
6,,,,"('community', 0.025535258883640694)","('household', 0.0359083196359674)","('loss', 0.03818074386599944)"
7,,,,"('area', 0.02544272492275955)","('area', 0.03519657525888466)","('model', 0.03633025164575764)"
8,,,,"('strategy', 0.02422527255753972)","('local', 0.035157157477462044)","('building', 0.033192948444115605)"
9,,,,"('disaster', 0.023228134009962816)","('extreme', 0.027654177957801167)","('infrastructure', 0.032395461402646396)"
