,Topic,Count,Name,-1,0,1,2,3,4,5,6,7
0,-1.0,145.0,-1_approach_social_policy_health,"('approach', 0.02256862581991107)","('disaster', 0.07394158975684564)","('model', 0.0525167370601209)","('energy', 0.0936097650219904)","('resilience', 0.17181421021142534)","('eba', 0.10684336433474947)","('everyday', 0.0487937695889884)","('planning', 0.1290337645404429)","('learning', 0.03693772983428847)"
1,0.0,26.0,0_disaster_risk_insurance_reduction,"('social', 0.01933761080596143)","('risk', 0.07292498965381748)","('region', 0.043107973724134746)","('policy', 0.044586870305925126)","('development', 0.04350724552077253)","('ecosystem', 0.08995708392555744)","('weather', 0.03146428725511044)","('plan', 0.05929408419097969)","('network', 0.03530352928584585)"
2,1.0,18.0,1_model_region_temperature_prediction,"('policy', 0.019206695129131916)","('insurance', 0.043241188753248914)","('temperature', 0.038289049849349985)","('renewable', 0.03888229061535559)","('community', 0.0371222962858639)","('coastal', 0.049823254365503764)","('human', 0.030932550695836284)","('spatial', 0.04844322528098303)","('stakeholder', 0.03182827911951813)"
3,2.0,18.0,2_energy_policy_renewable_cost,"('health', 0.019154945317014928)","('reduction', 0.04068751972124716)","('prediction', 0.032674646352833694)","('cost', 0.03472427447219632)","('plan', 0.03063758040948057)","('area', 0.03572938881579659)","('social', 0.029917875288343523)","('ap', 0.047622896027755074)","('transformative', 0.031350869475469924)"
4,3.0,15.0,3_resilience_development_community_plan,"('risk', 0.01712542647382483)","('policy', 0.03054977004244781)","('projection', 0.030752707532218412)","('mitigation', 0.029994345038035518)","('approach', 0.027998984401809677)","('policy', 0.031048959919126085)","('future', 0.028430957748419312)","('approach', 0.040855660912844725)","('theory', 0.031111334416398215)"
5,4.0,14.0,4_eba_ecosystem_coastal_area,"('need', 0.016821890868307997)","('community', 0.02899964380618458)","('heat', 0.028964369232034024)","('strategy', 0.028690970610245205)","('system', 0.02751214924956702)","('project', 0.030214444626599266)","('change', 0.02832712590776887)","('process', 0.03978676844670892)","('process', 0.03076535001983887)"
6,5.0,13.0,5_everyday_weather_human_social,"('system', 0.016558237974276448)","('vulnerability', 0.028053051623444788)","('trend', 0.028884573067568756)","('development', 0.02555628707678423)","('planning', 0.026668983191731013)","('service', 0.029762475790917755)","('society', 0.02706284978603942)","('governance', 0.033092745402170075)","('case', 0.028138103872288895)"
7,6.0,13.0,6_planning_plan_spatial_ap,"('community', 0.01636231931881011)","('country', 0.026614601033803045)","('wave', 0.028000715099038568)","('gas', 0.024576822085563638)","('indicator', 0.025936535527407083)","('based', 0.029421471868014876)","('knowledge', 0.026243960998540906)","('decision', 0.03167178266104818)","('sustainability', 0.026845291827594552)"
8,7.0,13.0,7_learning_network_stakeholder_transformative,"('future', 0.015487913346866184)","('drr', 0.02593925839698036)","('land', 0.027624110460046647)","('bridge', 0.024041861018753406)","('key', 0.025500701435453355)","('management', 0.028922941917304438)","('people', 0.025952080829817602)","('action', 0.030244776551526794)","('tool', 0.025561759100619204)"
9,,,,"('based', 0.014870938077228165)","('response', 0.0243039380988292)","('xco2', 0.027530663463138948)","('maintenance', 0.023296143341241266)","('context', 0.02514428999247466)","('planning', 0.02791030881453114)","('environmental', 0.02546334651307352)","('framework', 0.029644818972127084)","('gi', 0.025268687189530493)"
