,Topic,Count,Name,-1,0,1,2,3,4,5
0,-1.0,86.0,-1_local_community_building_service,"('local', 0.028630669034381415)","('indigenous', 0.043224974659630294)","('forest', 0.13782954985355433)","('ecosystem', 0.0625135159811819)","('agriculture', 0.040315456233015225)","('risk', 0.10157918599610741)","('tourism', 0.09015578175594786)"
1,0.0,29.0,0_indigenous_knowledge_community_social,"('community', 0.025342853619201782)","('knowledge', 0.04227857713254094)","('management', 0.05590901272610301)","('ecological', 0.0450924744348053)","('mitigation', 0.03463157799532098)","('disaster', 0.07100035156547345)","('destination', 0.062004531295633616)"
2,1.0,26.0,1_forest_management_carbon_forestry,"('building', 0.01983790007954409)","('community', 0.03911579908204503)","('carbon', 0.03814990802698254)","('water', 0.03139911802689385)","('policy', 0.03403422050046494)","('reduction', 0.052094047023260155)","('visitor', 0.05290376851379509)"
3,2.0,25.0,2_ecosystem_ecological_water_based,"('service', 0.01978490256230047)","('social', 0.03380637139293472)","('forestry', 0.031718445384915236)","('based', 0.030244523974083736)","('emission', 0.033219020833245766)","('policy', 0.04512066806879245)","('recreation', 0.05163730273834153)"
4,3.0,21.0,3_agriculture_mitigation_policy_emission,"('resilience', 0.019716746303364046)","('people', 0.03323165863595283)","('model', 0.030238550337848277)","('biodiversity', 0.02736271370560982)","('food', 0.03189665001016733)","('health', 0.04486429412244762)","('outdoor', 0.04659994760950285)"
5,4.0,13.0,4_risk_disaster_reduction_policy,"('based', 0.01936959202714943)","('learning', 0.030794969134229983)","('condition', 0.029513333186236584)","('nb', 0.02736271370560982)","('government', 0.03021787895700063)","('benefit', 0.04254248829165963)","('tourist', 0.04659994760950285)"
6,5.0,12.0,5_tourism_destination_visitor_recreation,"('social', 0.019219649646586515)","('local', 0.027327060476790593)","('sustainable', 0.023719030061617193)","('conservation', 0.026168621780061536)","('strategy', 0.02968382546929651)","('cryosphere', 0.0420220915859266)","('planning', 0.04056050776712052)"
7,,,,"('approach', 0.018749823803251596)","('network', 0.021145464552406627)","('mitigation', 0.022996730558111394)","('management', 0.02570431538043242)","('economic', 0.029493938190551093)","('eba', 0.040830902610783724)","('perception', 0.03496880299520815)"
8,,,,"('impact', 0.018348761623346182)","('practice', 0.020857940748989463)","('stand', 0.022015882562556863)","('scale', 0.022268514068223035)","('smallholder', 0.029001463462381645)","('financial', 0.03574104672067146)","('climatic', 0.033060004644693906)"
9,,,,"('system', 0.01802721069792433)","('science', 0.020595968510604756)","('goal', 0.02128202073014081)","('natural', 0.021456577982910674)","('agricultural', 0.028455098929430638)","('based', 0.033062081112120625)","('policy', 0.03104220111580868)"
