,Topic,Count,Name,-1,0,1,2
0,-1.0,36.0,-1_flood_risk_approach_management,"('flood', 0.07327612433171185)","('flood', 0.10084588262133472)","('policy', 0.05817676208993566)","('community', 0.09035246287580942)"
1,0.0,16.0,0_flood_risk_future_model,"('risk', 0.05539231651425571)","('risk', 0.07476346005210639)","('ecosystem', 0.052201280467144257)","('resilience', 0.07931317491992838)"
2,1.0,16.0,1_policy_ecosystem_management_flood,"('approach', 0.02709869603829596)","('future', 0.04292258877120832)","('management', 0.03918300877363446)","('disaster', 0.07340757244498067)"
3,2.0,11.0,2_community_resilience_disaster_health,"('management', 0.02673919478463136)","('model', 0.04073205270972289)","('flood', 0.03872085771352721)","('health', 0.056047588030040243)"
4,,,,"('future', 0.02524511036670001)","('vulnerability', 0.03867276985342312)","('wetland', 0.03735081965529567)","('knowledge', 0.0442013706885929)"
5,,,,"('based', 0.02514201282376483)","('damage', 0.03838405114534242)","('water', 0.03637331424416123)","('flood', 0.042789115120354784)"
6,,,,"('flooding', 0.0246631194567498)","('effect', 0.03364194137118911)","('service', 0.03381201170172958)","('social', 0.04110389794527429)"
7,,,,"('urban', 0.02416711886590869)","('potential', 0.03288501031498513)","('risk', 0.03362893574703612)","('context', 0.03566035975159618)"
8,,,,"('natural', 0.023303999375526855)","('event', 0.0319882368352586)","('adaptive', 0.0326601161680645)","('traditional', 0.03180919883619711)"
9,,,,"('measure', 0.023272040389393553)","('hazard', 0.03095059794351541)","('land', 0.03240997311602667)","('system', 0.03119030692352614)"
