,Topic,Count,Name,-1,0,1,2
0,-1.0,83.0,-1_approach_challenge_policy_system,"('approach', 0.027126248002176535)","('management', 0.03638712630915501)","('water', 0.17647336149060885)","('planning', 0.05701969661768197)"
1,0.0,44.0,0_management_risk_area_strategy,"('challenge', 0.026827183376140783)","('risk', 0.03452819760317557)","('resource', 0.04493538666086643)","('space', 0.05216814029977838)"
2,1.0,19.0,1_water_resource_impact_policy,"('policy', 0.026807942199656785)","('area', 0.02999888215534993)","('impact', 0.040550801539010174)","('flood', 0.047516015101339015)"
3,2.0,12.0,2_planning_space_flood_political,"('system', 0.02521707202434812)","('strategy', 0.02852192500664973)","('policy', 0.03755602727741904)","('political', 0.04221948326460924)"
4,,,,"('risk', 0.023973700821965396)","('conservation', 0.027271907788823456)","('management', 0.036690066078444175)","('practice', 0.040188572397441294)"
5,,,,"('level', 0.021838960136342383)","('development', 0.02701055481733671)","('sector', 0.03227582260162269)","('citizen', 0.03692230994601531)"
6,,,,"('development', 0.02118405261618261)","('community', 0.02664426514791736)","('use', 0.03119019757127447)","('policy', 0.03597670359947202)"
7,,,,"('impact', 0.02113439985211164)","('resource', 0.02562591627127906)","('model', 0.030397963821853554)","('gi', 0.034094776925646116)"
8,,,,"('in', 0.0204680506473374)","('ecosystem', 0.025588673289921433)","('demand', 0.028750329244704626)","('analysis', 0.03381193390952068)"
9,,,,"('based', 0.020402153042931425)","('impact', 0.024683384732509646)","('basin', 0.028323473433977835)","('spatial', 0.033570772001106725)"
