,Topic,Count,Name,-1,0,1,2,3,4
0,-1.0,104.0,-1_policy_development_future_in,"('policy', 0.02626211802884828)","('city', 0.08011823788387258)","('risk', 0.08002893629733451)","('energy', 0.05934441647945632)","('model', 0.04396543085299703)","('governance', 0.12046405358024939)"
1,0.0,25.0,0_city_urban_planning_resilience,"('development', 0.02206984914180905)","('urban', 0.05881329119819009)","('disaster', 0.07740611354234929)","('urban', 0.038404244592511495)","('field', 0.03741818459533018)","('strategy', 0.06901774462535752)"
2,1.0,24.0,1_risk_disaster_resilience_reduction,"('future', 0.02088834756597813)","('planning', 0.0420575117448793)","('resilience', 0.04824734491906407)","('based', 0.0359883740895806)","('law', 0.03513612724865017)","('level', 0.06697991377015694)"
3,2.0,19.0,2_energy_urban_based_consumption,"('in', 0.01952606057318721)","('resilience', 0.03843643560351077)","('reduction', 0.03656442537725715)","('consumption', 0.03275108890022021)","('stakeholder', 0.031181820496108487)","('national', 0.05310431674683491)"
4,3.0,14.0,3_model_field_law_stakeholder,"('based', 0.01736292602369281)","('local', 0.03534120799489668)","('community', 0.03604152837845156)","('green', 0.032499518681286886)","('technology', 0.029114659147878932)","('learning', 0.0507684349124464)"
5,4.0,14.0,4_governance_strategy_level_national,"('new', 0.017302082377319877)","('capacity', 0.032992476758259066)","('airport', 0.029415470752024307)","('emission', 0.03238974181821214)","('logic', 0.028372195936222904)","('policy', 0.04969932553189551)"
6,,,,"('approach', 0.015767609825103824)","('plan', 0.027782329140422963)","('impact', 0.029385645692834667)","('solution', 0.031137250556633893)","('evaluation', 0.02810890179892014)","('multi', 0.044328239134020744)"
7,,,,"('impact', 0.01569586551486897)","('policy', 0.02701353397801929)","('planning', 0.027836151755594615)","('carbon', 0.030922472394012916)","('decision', 0.02757725333946757)","('barrier', 0.043251542813536714)"
8,,,,"('need', 0.015122835738163377)","('municipality', 0.02570609588095464)","('management', 0.027585028162896173)","('industrial', 0.02944447831179424)","('management', 0.026587872634295)","('approach', 0.03442980139522671)"
9,,,,"('city', 0.01497877822508749)","('within', 0.0241251000404025)","('policy', 0.02655054728879761)","('economic', 0.026985300436079614)","('option', 0.026017316885271525)","('local', 0.03366447375950605)"
