,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-1,261,-1_policy_community_social_impact,"('policy', 0.01892450372709309)","('policy', 0.03444418042378868)","('livelihood', 0.03585215539305237)","('energy', 0.04365686050493812)","('forest', 0.08540599888503204)","('vulnerability', 0.09986189238586188)","('uncertainty', 0.06376315496304062)","('disaster', 0.08635871440550244)","('indigenous', 0.16261220198104878)","('farmer', 0.0876639688804148)","('health', 0.19168244162692374)","('water', 0.0738622103469575)","('gender', 0.16139206209495063)","('country', 0.09409436917685307)"
1,0,142,0_policy_local_planning_process,"('community', 0.017418612309187783)","('local', 0.028439127194048952)","('capacity', 0.032599420663577995)","('land', 0.03521170350809641)","('ecosystem', 0.07248153535907624)","('assessment', 0.04280672704893717)","('water', 0.051980443430805975)","('resilience', 0.05017563818378354)","('knowledge', 0.07515139018823307)","('strategy', 0.04305210531483296)","('disease', 0.0685499515366748)","('stakeholder', 0.04637404150471352)","('woman', 0.0808696836471523)","('fund', 0.07993619621988635)"
2,1,68,1_livelihood_capacity_community_adaptive,"('social', 0.016137632242470532)","('planning', 0.022973456987376524)","('community', 0.02961139883122473)","('model', 0.03031427148913289)","('management', 0.052613101585274276)","('risk', 0.03172845953964833)","('model', 0.05024637038536289)","('risk', 0.04825155919005079)","('people', 0.05563096462475872)","('risk', 0.0429596647557196)","('inuit', 0.03578065905738524)","('river', 0.04312583022350075)","('agriculture', 0.04475395517589859)","('finance', 0.06394895697590909)"
3,2,67,2_energy_land_model_use,"('impact', 0.015374272773902936)","('process', 0.01987358525380441)","('adaptive', 0.028708534640472114)","('use', 0.024555125547654977)","('service', 0.041059882383473564)","('social', 0.025663037043016212)","('reservoir', 0.033519618739407654)","('community', 0.04038920665095283)","('community', 0.04523320869604274)","('perception', 0.04063315649420245)","('public', 0.03488822070745876)","('governance', 0.04305824032766277)","('csa', 0.040826479584128966)","('agreement', 0.03966964284490505)"
4,3,54,3_forest_ecosystem_management_service,"('local', 0.015064755624110544)","('level', 0.018899565441293675)","('food', 0.028211069051771898)","('emission', 0.023333323681947037)","('knowledge', 0.023194494709105763)","('framework', 0.02286613240807488)","('basin', 0.032041309623691255)","('reduction', 0.03166056197411788)","('practice', 0.03002068748223586)","('insurance', 0.038198211586384485)","('policy', 0.030616411941500308)","('restoration', 0.0383142457237898)","('policy', 0.032840745657853845)","('litigation', 0.039615143610960406)"
5,4,45,4_vulnerability_assessment_risk_social,"('development', 0.015045651879438746)","('knowledge', 0.018856300013934856)","('farmer', 0.02651022882414755)","('carbon', 0.02059700335253136)","('decision', 0.021411210311187107)","('exposure', 0.02093457710460664)","('bias', 0.02758689010371728)","('development', 0.02611692064461834)","('traditional', 0.0243467361910529)","('farm', 0.03246824294043571)","('community', 0.027648451970387834)","('resource', 0.03174484168380651)","('equality', 0.030466079214844635)","('justice', 0.03878356732810823)"
6,5,36,5_uncertainty_water_model_reservoir,"('risk', 0.014171146084949097)","('government', 0.018822188117743333)","('smallholder', 0.024240581759792986)","('economic', 0.019585339851783675)","('value', 0.021404106893082274)","('adaptive', 0.020307460224634366)","('scenario', 0.024906902431680866)","('hazard', 0.026101491482216996)","('arctic', 0.02336674750044302)","('belief', 0.031029866588924856)","('department', 0.025858595757593524)","('scenario', 0.0286146065028658)","('farmer', 0.02576192149851919)","('recipient', 0.03713630796478608)"
7,6,34,6_disaster_resilience_risk_community,"('process', 0.013400652627251815)","('governance', 0.01756591039773661)","('agricultural', 0.023149708548123194)","('analysis', 0.019120889672292384)","('benefit', 0.02096726792490384)","('approach', 0.020066105654583607)","('decision', 0.02399751492303347)","('drr', 0.023649716878847194)","('resource', 0.018558169825704882)","('climatic', 0.03061496580612923)","('effect', 0.025418908310085194)","('regime', 0.028309853470004302)","('agrobiodiversity', 0.024861391624960618)","('international', 0.034224295093674265)"
8,7,26,7_indigenous_knowledge_people_community,"('environmental', 0.013367021965488422)","('case', 0.017415527460662106)","('rural', 0.02304410867148756)","('scenario', 0.01893664517961557)","('impact', 0.01866174929211856)","('ecological', 0.019927912829406178)","('using', 0.02278437742214517)","('bangladesh', 0.0222425573987969)","('cultural', 0.018379543909690692)","('household', 0.027344223428165466)","('impact', 0.025285038747377125)","('management', 0.027317146726217274)","('development', 0.023184818643848536)","('bri', 0.03413136244648681)"
9,8,22,8_farmer_strategy_risk_perception,"('based', 0.013087046309334296)","('action', 0.017394710879642998)","('strategy', 0.02185523766308972)","('impact', 0.01728513989066067)","('ecological', 0.018082180093027624)","('fishery', 0.019661160894117728)","('future', 0.02278437742214517)","('local', 0.020456962591447393)","('access', 0.0177572233063835)","('determinant', 0.026885405944184124)","('evidence', 0.02424157738225645)","('path', 0.026350888971406576)","('relation', 0.02313969019006716)","('paris', 0.0335103757862793)"
10,9,18,9_health_disease_inuit_public,,,,,,,,,,,,,,
11,10,16,10_water_stakeholder_river_governance,,,,,,,,,,,,,,
12,11,15,11_gender_woman_agriculture_csa,,,,,,,,,,,,,,
13,12,13,12_country_fund_finance_agreement,,,,,,,,,,,,,,
