,Topic,Count,Name,0,1
0,0.0,439.0,0_policy_risk_approach_process,"('policy', 0.041851059631814874)","('health', 0.3627198829631786)"
1,1.0,11.0,1_health_impact_human_approach,"('risk', 0.036974484541931495)","('impact', 0.08529076818260055)"
2,,,,"('approach', 0.03001992237299958)","('human', 0.058202481509079806)"
3,,,,"('process', 0.02920315385404634)","('approach', 0.056426136509042726)"
4,,,,"('vulnerability', 0.027659338004627245)","('framework', 0.05398910051476343)"
5,,,,"('assessment', 0.026342619198413415)","('public', 0.053038861947121645)"
6,,,,"('development', 0.02589544734408765)","('hia', 0.04751883888425847)"
7,,,,"('planning', 0.02587754829277462)","('outcome', 0.04487903703217985)"
8,,,,"('decision', 0.025090611159585476)","('sector', 0.04433243013994405)"
9,,,,"('impact', 0.024695807886468024)","('community', 0.0432641780703908)"
