,Topic,Count,Name,-1,0,1,2,3,4,5
0,-1.0,177.0,-1_water_production_agricultural_system,"('water', 0.023491199218892)","('water', 0.0574548853330551)","('crop', 0.06446972288900742)","('forest', 0.06984347569649543)","('food', 0.07970231906981799)","('land', 0.08745273774063891)","('soil', 0.19927445073023778)"
1,0.0,90.0,0_water_irrigation_farmer_agricultural,"('production', 0.02338320111343296)","('irrigation', 0.048250842835999216)","('yield', 0.05635217229403926)","('grassland', 0.057278880330702095)","('policy', 0.02595916508115958)","('forest', 0.08077011579185836)","('carbon', 0.14478657359319025)"
2,1.0,60.0,1_crop_yield_soil_tillage,"('agricultural', 0.022395594396596167)","('farmer', 0.028701422734662748)","('soil', 0.043261753211449185)","('tree', 0.03396637686785711)","('security', 0.02578121504652528)","('ecosystem', 0.06658576487156982)","('aggregate', 0.13396032318060766)"
3,2.0,41.0,2_forest_grassland_tree_vegetation,"('system', 0.02085989649511529)","('agricultural', 0.024089564828035787)","('tillage', 0.027655158693556323)","('vegetation', 0.03338064894974161)","('system', 0.025451239451850433)","('mitigation', 0.04977202331908465)","('soc', 0.11584849761385659)"
4,3.0,35.0,3_food_policy_security_system,"('use', 0.020092033490565576)","('model', 0.023469660900398127)","('effect', 0.026576770433944883)","('area', 0.03205172034434778)","('sustainable', 0.024920335929336852)","('service', 0.04815413956624912)","('organic', 0.09475005265322606)"
5,4.0,14.0,4_land_forest_ecosystem_mitigation,"('soil', 0.0192862348249602)","('yield', 0.021182937663211093)","('practice', 0.025260712399994948)","('management', 0.02539765195504442)","('agriculture', 0.021502135426709985)","('management', 0.04617117969206696)","('enclosure', 0.08527381536654004)"
6,5.0,13.0,5_soil_carbon_aggregate_soc,"('land', 0.019095685598301496)","('practice', 0.020552915200557628)","('organic', 0.025057865164489535)","('cover', 0.022777225649710332)","('environmental', 0.02145774901314542)","('redd', 0.0454274202002801)","('sequestration', 0.056536704076245815)"
7,,,,"('crop', 0.018586231389421753)","('strategy', 0.019878812291438862)","('breeding', 0.021103376891274558)","('model', 0.022535567139595706)","('land', 0.019850945327902113)","('potential', 0.04410369231495164)","('stock', 0.055353994469301386)"
8,,,,"('drought', 0.017230286878524213)","('impact', 0.01965095370117042)","('production', 0.020811973228153494)","('conservation', 0.021601452900536014)","('consumer', 0.019848574016229786)","('carbon', 0.04238796736695324)","('old', 0.0485082598208836)"
9,,,,"('management', 0.01709051557411158)","('crop', 0.01940943312388881)","('wheat', 0.02058012041799221)","('site', 0.020403391094390117)","('green', 0.019229725284019696)","('agroforestry', 0.038291891082126175)","('massoniana', 0.04402883329438288)"
