,Topic,Count,Name,0,1
0,0.0,773.0,0_crop_yield_water_production,"('crop', 0.040418380888299035)","('coffee', 0.40942695932500706)"
1,1.0,13.0,1_coffee_quality_production_crop,"('yield', 0.03586610203984366)","('quality', 0.09946071508378207)"
2,,,,"('water', 0.028781938198486644)","('production', 0.08067262118148198)"
3,,,,"('production', 0.0267945774300587)","('crop', 0.05849136229513156)"
4,,,,"('soil', 0.02645219005736328)","('shade', 0.05419837899224696)"
5,,,,"('model', 0.02565495422482207)","('farmer', 0.05251666630990019)"
6,,,,"('impact', 0.02289283566294149)","('system', 0.044237494379584366)"
7,,,,"('agricultural', 0.02239257971651767)","('impact', 0.043656132245232265)"
8,,,,"('system', 0.021761044616393083)","('factor', 0.03783189004588815)"
9,,,,"('management', 0.02074753225668713)","('high', 0.0378309766792635)"
