,Topic,Count,Name,-1,0,1,2,3,4
0,-1.0,103.0,-1_production_crop_impact_agricultural,"('production', 0.029957411335736605)","('farmer', 0.04857177690421301)","('crop', 0.06740231387351067)","('rice', 0.11458114131748352)","('water', 0.19138653530871996)","('food', 0.11547737294488272)"
1,0.0,28.0,0_farmer_land_practice_agricultural,"('crop', 0.028529339597696136)","('land', 0.040835516046782386)","('yield', 0.06703736083246974)","('yield', 0.06897170382537929)","('irrigation', 0.1005254276272133)","('security', 0.053834784265298544)"
2,1.0,26.0,1_crop_yield_maize_future,"('impact', 0.027814421611936358)","('practice', 0.03652288885731715)","('maize', 0.06032646294299445)","('temperature', 0.04358134279287241)","('agricultural', 0.04008772023358323)","('system', 0.04312029488433739)"
3,2.0,24.0,2_rice_yield_temperature_grain,"('agricultural', 0.025437095219659697)","('agricultural', 0.03134791325681341)","('future', 0.03296046903517318)","('grain', 0.03980100534076697)","('resource', 0.039444073756715624)","('policy', 0.03437473803703972)"
4,3.0,19.0,3_water_irrigation_agricultural_resource,"('yield', 0.024162289849559385)","('agriculture', 0.029734137312162994)","('system', 0.032638475141702664)","('wheat', 0.03810994171515896)","('demand', 0.03668382522304823)","('impact', 0.03069041343794609)"
5,4.0,17.0,4_food_security_system_policy,"('food', 0.02288337766916366)","('management', 0.026517942640511615)","('impact', 0.03019911594762474)","('crop', 0.037461262973254555)","('agriculture', 0.031645799874120945)","('related', 0.030184814424320253)"
6,,,,"('model', 0.02227174793291782)","('soil', 0.026049821397782648)","('cropping', 0.02991324346233213)","('model', 0.03513361724210788)","('management', 0.03034712915221778)","('agricultural', 0.02815929699856766)"
7,,,,"('region', 0.01978362529574949)","('area', 0.025299197136896188)","('africa', 0.02915296994386851)","('climatic', 0.032857207000631744)","('result', 0.029084473378023105)","('health', 0.027023620536706316)"
8,,,,"('system', 0.01945133565246104)","('measure', 0.022162476323392147)","('production', 0.02907473863538692)","('impact', 0.03152519268345822)","('efficiency', 0.028861914237144126)","('nutrition', 0.025822112988706538)"
9,,,,"('area', 0.019211751951405294)","('result', 0.021574370270987634)","('farmer', 0.02205624878539074)","('china', 0.026336344540060907)","('groundwater', 0.02656816834789571)","('production', 0.02427136120469772)"
