,Topic,Count,Name,-1,0,1,2,3
0,-1.0,97.0,-1_soil_land_result_model,"('soil', 0.023099702161843715)","('crop', 0.036587062121040195)","('water', 0.10757438963090747)","('ecological', 0.04571123934457722)","('forest', 0.15332924752124413)"
1,0.0,144.0,0_crop_yield_impact_farmer,"('land', 0.022789788620738893)","('yield', 0.0339216734954106)","('groundwater', 0.047767348904477765)","('grassland', 0.04461095684405711)","('management', 0.07706161866233392)"
2,1.0,41.0,1_water_groundwater_irrigation_system,"('result', 0.022055589112137924)","('impact', 0.028250370793486794)","('irrigation', 0.044994820056391965)","('vegetation', 0.04391509198541502)","('fire', 0.049231143374464395)"
3,2.0,24.0,2_ecological_grassland_vegetation_design,"('model', 0.02187390794350814)","('farmer', 0.0242494315512849)","('system', 0.028593911534543274)","('design', 0.04374143699626555)","('wildlife', 0.04709065887992247)"
4,3.0,19.0,3_forest_management_fire_wildlife,"('impact', 0.021368612555466928)","('production', 0.02163928875276853)","('policy', 0.028092613136909788)","('land', 0.037482699315908245)","('owner', 0.04341901539512024)"
5,,,,"('area', 0.020011123390305495)","('policy', 0.020501468499184796)","('model', 0.02737700923954506)","('grazing', 0.037321758125002526)","('decision', 0.03746032216941715)"
6,,,,"('water', 0.01944122305162686)","('agricultural', 0.019656047117775115)","('impact', 0.0267445901700843)","('model', 0.03550296408982587)","('action', 0.03505456827246488)"
7,,,,"('system', 0.018036472535424498)","('strategy', 0.01934124355708913)","('use', 0.02513496068225348)","('use', 0.027598632863212513)","('adaptive', 0.03404248810853368)"
8,,,,"('perception', 0.017740113444198825)","('vulnerability', 0.01925353802549355)","('gw', 0.02495665871646106)","('microrefugia', 0.027281348039606957)","('knowledge', 0.03273807172745923)"
9,,,,"('risk', 0.017167360031317774)","('region', 0.019038193000781696)","('management', 0.024897716832908135)","('garden', 0.02700422812267098)","('manager', 0.031226670664496914)"
