,Topic,Count,Name,-1,0,1,2,3,4,5,6
0,-1.0,99.0,-1_water_city_energy_impact,"('water', 0.020888306416646157)","('coastal', 0.03073810898620074)","('temperature', 0.04102867343841146)","('human', 0.07457146565988229)","('model', 0.04032993616792796)","('population', 0.05758912860656647)","('risk', 0.07757569606898378)","('city', 0.1136233098674247)"
1,0.0,70.0,0_coastal_policy_sea_state,"('city', 0.018478201427112605)","('policy', 0.02440434557393372)","('heat', 0.03834837068112067)","('neandertal', 0.0538444503241401)","('rainfall', 0.03980142404150507)","('strain', 0.04332091332224832)","('vulnerability', 0.06289860522698422)","('municipal', 0.09401410452986478)"
2,1.0,33.0,1_temperature_heat_dengue_95,"('energy', 0.018164092944815503)","('sea', 0.023199256310417832)","('dengue', 0.03427107254203709)","('nasal', 0.04870669532959527)","('scenario', 0.03611940572200835)","('resistance', 0.04277756405724914)","('social', 0.039091665359050586)","('action', 0.07474968115634183)"
3,2.0,24.0,2_human_neandertal_nasal_body,"('impact', 0.01802844207137477)","('state', 0.022650950919682774)","('95', 0.026616110228640556)","('body', 0.03891818492331318)","('vegetation', 0.03169740287576397)","('northern', 0.03760483717600379)","('disaster', 0.03766046616631352)","('planning', 0.06498295416537686)"
4,3.0,23.0,3_model_rainfall_scenario_vegetation,"('urban', 0.016768852016566617)","('level', 0.022516765629863468)","('day', 0.025165335343522166)","('modern', 0.036998015908917596)","('precipitation', 0.03157199151270662)","('temperature', 0.03660459638277126)","('flood', 0.03531445414167757)","('municipality', 0.04209438726486874)"
5,4.0,17.0,4_population_strain_resistance_northern,"('result', 0.015013330329190522)","('community', 0.021284377580039877)","('air', 0.02467342753088538)","('sample', 0.036211783839768925)","('mean', 0.029423166925335264)","('southern', 0.03628445225130202)","('exposure', 0.033713406877999744)","('plan', 0.03737484057817091)"
6,5.0,16.0,5_risk_vulnerability_social_disaster,"('temperature', 0.013680454675721482)","('country', 0.021010883568972898)","('case', 0.02341742956891236)","('variation', 0.03345784245279988)","('future', 0.023730484142365612)","('bud', 0.03480413342166856)","('pa', 0.029895150177101888)","('polish', 0.03554278741848663)"
7,6.0,12.0,6_city_municipal_action_planning,"('management', 0.013248364637857862)","('island', 0.020743808929881643)","('association', 0.023148599489359017)","('shape', 0.03027110392547803)","('land', 0.02346392405524783)","('budbreak', 0.03480413342166856)","('index', 0.028682606413703217)","('mitigation', 0.034636019171715854)"
8,,,,"('policy', 0.013140814503019033)","('impact', 0.017556433051626134)","('ci', 0.02234596767287621)","('breadth', 0.02736509368422869)","('trend', 0.023011509023115308)","('year', 0.032634944933989773)","('river', 0.028249292884641064)","('leadership', 0.03417287875378047)"
9,,,,"('two', 0.012500733599167799)","('local', 0.01632617851867674)","('disease', 0.02199116951489107)","('form', 0.025038136972263664)","('spatial', 0.02250549968540909)","('degree', 0.0294557754972923)","('hazard', 0.027470337781047814)","('governance', 0.03270055809734427)"
