,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10
0,-1,197,-1_health_impact_policy_increase,"('health', 0.01725615247195888)","('precipitation', 0.04485636919784302)","('water', 0.056308509679269425)","('heat', 0.034288154438529235)","('risk', 0.057484584481045625)","('coastal', 0.05481260399872045)","('country', 0.027865583447150403)","('land', 0.0573957009652321)","('human', 0.0661003817347778)","('yield', 0.0739164492785608)","('energy', 0.07441924510728036)","('strain', 0.07919322440423862)"
1,0,67,0_precipitation_rainfall_extreme_model,"('impact', 0.01682370004935533)","('rainfall', 0.043116305964258764)","('city', 0.0524979415006721)","('temperature', 0.030441782257663346)","('flood', 0.045543541406288864)","('fishery', 0.0317682749635448)","('action', 0.025750983368105697)","('ecosystem', 0.039799977947066)","('neandertal', 0.050343684502220855)","('crop', 0.04400711867903526)","('emission', 0.060937028830798344)","('population', 0.07091771409031761)"
2,1,52,1_water_city_urban_green,"('policy', 0.01388218380135206)","('extreme', 0.04145325588456607)","('urban', 0.03174211392885447)","('exposure', 0.02631877834242064)","('disaster', 0.037985626563037424)","('marine', 0.030452090036780254)","('public', 0.02544956501800921)","('forest', 0.035338388952041916)","('nasal', 0.04547719710860535)","('soc', 0.042337948541164565)","('aviation', 0.03229216259927024)","('resistance', 0.06994348120687456)"
3,2,44,2_heat_temperature_exposure_dengue,"('increase', 0.013388187976799384)","('model', 0.03688006432017796)","('green', 0.02457340389865343)","('dengue', 0.026313382093006977)","('resilience', 0.033610960788113736)","('island', 0.02869602512889614)","('support', 0.02544956501800921)","('vegetation', 0.0325710813690299)","('body', 0.03695399476879675)","('co2', 0.04231269307149467)","('sector', 0.03188337154838981)","('bud', 0.057143721259471224)"
4,3,41,3_risk_flood_disaster_resilience,"('fire', 0.013206975300222117)","('temperature', 0.03647165475032965)","('design', 0.02377221526990893)","('disease', 0.025607101452250366)","('event', 0.025408919489759246)","('management', 0.028347596100389665)","('policy', 0.022791207172828357)","('carbon', 0.02946794165777461)","('modern', 0.03508528502164875)","('rice', 0.04088789185512551)","('growth', 0.029954807535337136)","('temperature', 0.053066795591740705)"
5,4,36,4_coastal_fishery_marine_island,"('temperature', 0.01305594656482549)","('trend', 0.03117402761652509)","('municipal', 0.01845096760283263)","('population', 0.023800334253356967)","('vulnerability', 0.022581400040066413)","('reef', 0.02757280215394587)","('knowledge', 0.022110328087448568)","('model', 0.028781874926782025)","('sample', 0.032102571135241176)","('system', 0.035269610631069113)","('based', 0.028526539361949706)","('male', 0.051476086970546446)"
6,5,34,5_country_action_public_support,"('area', 0.012574697753503575)","('increase', 0.029302050199620223)","('action', 0.01690755263864467)","('data', 0.0230638153050978)","('region', 0.019181122716746227)","('sea', 0.02211900716727859)","('funding', 0.01931835545925152)","('cover', 0.026520099063372878)","('variation', 0.03030196966139743)","('maize', 0.031157496236858925)","('country', 0.027329036829138252)","('degree', 0.04803713430999478)"
7,6,28,6_land_ecosystem_forest_vegetation,"('result', 0.011763194736880745)","('future', 0.02922305253077054)","('challenge', 0.016478677769997903)","('hospital', 0.022754468897075265)","('related', 0.019025954530839016)","('area', 0.019065154199519548)","('development', 0.01879654620431606)","('service', 0.026191154572217736)","('shape', 0.02763583470470778)","('production', 0.02781499395787636)","('economic', 0.025873788104211985)","('desiccation', 0.04689686548335917)"
8,7,27,7_human_neandertal_nasal_body,"('risk', 0.0116559138519143)","('day', 0.02736160528906004)","('street', 0.015605368780099646)","('urban', 0.02196581418641115)","('level', 0.017691832428177727)","('impact', 0.018271177845673663)","('project', 0.01862052276259755)","('area', 0.026155957077060584)","('population', 0.0271881312712668)","('grain', 0.027602187493946856)","('carbon', 0.02547223630903902)","('oestrus', 0.04689686548335917)"
9,8,25,8_yield_crop_soc_co2,"('change', 0.011343771553876949)","('change', 0.026530083766122283)","('energy', 0.01490494803788989)","('effect', 0.020815918119782496)","('in', 0.017390803377257687)","('strategy', 0.01824714254634128)","('developing', 0.018001859270452433)","('scenario', 0.02598095821973301)","('breadth', 0.025138719390511533)","('area', 0.02622090836193869)","('cost', 0.0252902651118795)","('photoperiod', 0.04597885079946565)"
10,9,21,9_energy_emission_aviation_sector,,,,,,,,,,,,
11,10,13,10_strain_population_resistance_bud,,,,,,,,,,,,
