,Topic,Count,Name,-1,0,1,2,3
0,-1.0,3.0,-1_maple_palm_syrup_fossil,"('maple', 0.14272830908361195)","('forest', 0.031625923418286246)","('ski', 0.10299755153134803)","('wine', 0.08164693099983066)","('wheat', 0.1233791182302767)"
1,0.0,246.0,0_forest_water_temperature_region,"('palm', 0.14272830908361195)","('water', 0.022541068745523137)","('tourism', 0.09326158506795532)","('grape', 0.05875332496975441)","('crop', 0.08637994894792007)"
2,1.0,28.0,1_ski_tourism_snow_snowmaking,"('syrup', 0.1150699838604499)","('temperature', 0.020829684770480326)","('snow', 0.05472921188805362)","('cultivar', 0.055040580109135935)","('production', 0.06494837397865216)"
3,2.0,24.0,2_wine_grape_cultivar_chill,"('fossil', 0.10076584742364864)","('region', 0.019172937366923968)","('snowmaking', 0.05328236758390684)","('chill', 0.04350458811564069)","('grain', 0.06452209554050789)"
4,3.0,18.0,3_wheat_crop_production_grain,"('respondent', 0.08635225461761036)","('model', 0.017571019033656002)","('resort', 0.052067333312580365)","('region', 0.042408963670721715)","('winter', 0.048619221130524984)"
5,,,,"('eocene', 0.0709207280830996)","('management', 0.017419072089987643)","('strategy', 0.03999183672259842)","('future', 0.030191200991330717)","('temperature', 0.04418881454707739)"
6,,,,"('mink', 0.0709207280830996)","('change', 0.01666123031825097)","('winter', 0.035378520962994695)","('bud', 0.029403388578204192)","('system', 0.04318743498781557)"
7,,,,"('vancouver', 0.0709207280830996)","('year', 0.01596283935503072)","('season', 0.03464573493764681)","('area', 0.02832844144790904)","('yield', 0.04202724495470568)"
8,,,,"('impact', 0.06918419907798867)","('impact', 0.015811253585003016)","('destination', 0.03412660270218515)","('variety', 0.027842936394010042)","('cropping', 0.03519387029482249)"
9,,,,"('production', 0.064991230048582)","('precipitation', 0.015158311235200287)","('area', 0.030828684458291296)","('acid', 0.026773180783381326)","('maize', 0.033440023584589786)"
