,Topic,Count,Name,-1,0,1
0,-1.0,40.0,-1_urban_model_tree_temperature,"('urban', 0.03673551905715739)","('energy', 0.06270721506923335)","('temperature', 0.06824105965255155)"
1,0.0,79.0,0_energy_building_thermal_system,"('model', 0.031917672489891656)","('building', 0.06262332483980682)","('urban', 0.06595528820741131)"
2,1.0,48.0,1_temperature_urban_green_heat,"('tree', 0.03148954070972455)","('thermal', 0.03715941926814174)","('green', 0.06554490989531554)"
3,,,,"('temperature', 0.029817122066085344)","('system', 0.032912228359322934)","('heat', 0.04569860416251745)"
4,,,,"('area', 0.027491102980258992)","('temperature', 0.03066530481470094)","('roof', 0.042219774563663555)"
5,,,,"('based', 0.024361860011200342)","('cooling', 0.026162486977511758)","('surface', 0.03999678063107646)"
6,,,,"('design', 0.023737692732872476)","('demand', 0.025388221186814615)","('cooling', 0.03923444925390959)"
7,,,,"('environmental', 0.02249120901232484)","('air', 0.02515450735907583)","('effect', 0.03622598610863018)"
8,,,,"('increase', 0.022206737186568706)","('saving', 0.024943941248874352)","('air', 0.03329702205573424)"
9,,,,"('level', 0.0215681502737397)","('design', 0.02438115135573169)","('area', 0.029463571981515814)"
