,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8
0,-1,270,-1_flood_risk_impact_area,"('flood', 0.026148273057348407)","('coastal', 0.08209787656472393)","('health', 0.05435970336697919)","('disaster', 0.06328675030778796)","('drought', 0.055302274907553295)","('flood', 0.12934181613057522)","('crop', 0.05100073864440893)","('water', 0.09790576605290685)","('power', 0.06145614249494001)","('rainfall', 0.11426697296864244)"
1,0,66,0_coastal_sea_level_rise,"('risk', 0.01926125189331513)","('sea', 0.056306542569866135)","('heat', 0.053291065283331156)","('community', 0.03315196168075906)","('model', 0.04148941015192025)","('risk', 0.07959381361640695)","('farmer', 0.046091676215522244)","('urban', 0.04719056591881052)","('wind', 0.05913461472627769)","('extreme', 0.10761907718530614)"
2,1,57,1_health_heat_population_wildfire,"('impact', 0.01862891795985754)","('level', 0.04520298759288086)","('population', 0.034727294261023355)","('risk', 0.027409261438872377)","('rainfall', 0.033745113908667024)","('damage', 0.04268680586338174)","('production', 0.03927279508771032)","('green', 0.03821068377171087)","('hurricane', 0.04995342327895842)","('precipitation', 0.07205174154703434)"
3,2,57,2_disaster_community_risk_city,"('area', 0.01861267416161647)","('rise', 0.033645515540062676)","('wildfire', 0.03214014727788)","('city', 0.02713795950262127)","('increase', 0.031214499246002975)","('measure', 0.029464909883976962)","('stress', 0.03191035261148242)","('system', 0.03486218519381581)","('cyclone', 0.03976638768208149)","('future', 0.06262616557334102)"
4,3,42,3_drought_model_rainfall_increase,"('extreme', 0.018289404490078515)","('erosion', 0.028824547070497863)","('temperature', 0.030208161577960944)","('event', 0.02357767766321976)","('water', 0.028757170318637084)","('perception', 0.025575345335470973)","('drought', 0.028813651941495766)","('management', 0.031011799756989086)","('system', 0.038713240534993136)","('model', 0.050516068586116625)"
5,4,38,4_flood_risk_damage_measure,"('urban', 0.018104791481520045)","('beach', 0.02525075043780676)","('mortality', 0.02589326900484941)","('urban', 0.023046923336542756)","('flow', 0.027192619042552393)","('flooding', 0.02520510515912867)","('temperature', 0.025228289743946104)","('infrastructure', 0.030932044073660504)","('impact', 0.038399435519583955)","('using', 0.041759562880530336)"
6,5,29,5_crop_farmer_production_stress,"('city', 0.016722776144847348)","('coast', 0.023336438712598953)","('fire', 0.024712637221716283)","('vulnerability', 0.022191407380654202)","('temperature', 0.02471400708782245)","('event', 0.021828793762218263)","('rice', 0.02386806839133773)","('planning', 0.02792236441060069)","('energy', 0.03483130557575718)","('ensemble', 0.03468720139010019)"
7,6,27,6_water_urban_green_system,"('flooding', 0.01634887660612294)","('flooding', 0.022592780180549433)","('extreme', 0.024142522528088742)","('hazard', 0.02161700851132721)","('extreme', 0.023549943119045798)","('loss', 0.021220278684892544)","('yield', 0.022204023779660922)","('stormwater', 0.027494921677504534)","('pole', 0.0312242526013656)","('method', 0.03194926842584861)"
8,7,20,7_power_wind_hurricane_cyclone,"('water', 0.015020011602421198)","('storm', 0.021935859627810958)","('related', 0.023999862221132245)","('drr', 0.020595014750229665)","('basin', 0.0223076437540763)","('area', 0.020308861915395153)","('response', 0.02076971118506998)","('city', 0.026407278524715336)","('loss', 0.030754852321783734)","('atmospheric', 0.030630818527547114)"
9,8,19,8_rainfall_extreme_precipitation_future,"('event', 0.014777369520899652)","('community', 0.021868405766678214)","('urban', 0.023258802623844003)","('resilience', 0.020381701739296834)","('data', 0.021930062027330336)","('river', 0.020226980382694357)","('global', 0.019936641735270128)","('measure', 0.024287924530345215)","('failure', 0.028517290712046204)","('event', 0.030537094957423527)"
