,Topic,Count,Name,-1,0,1,2,3,4,5
0,-1.0,70.0,-1_coastal_sea_risk_approach,"('coastal', 0.04757982338612347)","('coastal', 0.06932785204432594)","('level', 0.05247606182917825)","('wave', 0.04665397244638666)","('vulnerability', 0.0670930632104166)","('dune', 0.06430173409413778)","('carbon', 0.10244533977809606)"
1,0.0,32.0,0_coastal_management_governance_community,"('sea', 0.024297078606467768)","('management', 0.039044386127741096)","('risk', 0.04275695861266471)","('coastal', 0.04570573152172643)","('resilience', 0.06005373485910242)","('marsh', 0.05627597101673213)","('ocean', 0.09203367251268807)"
2,1.0,30.0,1_level_risk_coastal_community,"('risk', 0.02247467139806755)","('governance', 0.035254208016783445)","('coastal', 0.04127883893713043)","('model', 0.040144273836928125)","('community', 0.043880709310831226)","('coastal', 0.05171927534782828)","('ecosystem', 0.08968909656226963)"
3,2.0,27.0,2_wave_coastal_model_sea,"('approach', 0.020470025010799704)","('community', 0.03520239602854869)","('community', 0.04104099019350646)","('sea', 0.0382587477884602)","('disaster', 0.03800296701867262)","('shoreline', 0.044257809312423325)","('blue', 0.07534370124485376)"
4,3.0,16.0,3_vulnerability_resilience_community_disaster,"('management', 0.020441842744561713)","('policy', 0.03123308434072315)","('rise', 0.03944679765945246)","('data', 0.0378152058950962)","('risk', 0.03692398457481959)","('wetland', 0.03951699634686035)","('mitigation', 0.05026839850000812)"
5,4.0,11.0,4_dune_marsh_coastal_shoreline,"('project', 0.019389624539602943)","('local', 0.030964317153040422)","('sea', 0.0360959716255849)","('level', 0.03644904119366037)","('framework', 0.032790896369411494)","('natural', 0.03877705629989228)","('program', 0.04491137150990573)"
6,5.0,11.0,5_carbon_ocean_ecosystem_blue,"('community', 0.01858570527616846)","('government', 0.0290550630356614)","('social', 0.030792612984599257)","('mean', 0.025141701004226)","('island', 0.03246550496891038)","('habitat', 0.03848075761380579)","('monitoring', 0.03669914511025598)"
7,,,,"('resource', 0.01857058242801378)","('city', 0.023425533355177566)","('policy', 0.028695292707529112)","('method', 0.024900731762899874)","('impact', 0.03203114936837102)","('beach', 0.0358572750049434)","('cc', 0.033114159112298605)"
8,,,,"('area', 0.01800582637119324)","('action', 0.023050925898221986)","('value', 0.027753155279831177)","('vulnerability', 0.023413949191294737)","('relocation', 0.03185522965556044)","('system', 0.03207005483552637)","('restoration', 0.030077971176916674)"
9,,,,"('based', 0.01791409234045648)","('key', 0.02285421700384271)","('option', 0.026659596589640813)","('scenario', 0.02208127519564814)","('policy', 0.03182012453580289)","('human', 0.029673549111357417)","('coastal', 0.027802549281063273)"
