,Topic,Count,Name,-1,0,1,2,3,4,5,6,7
0,-1.0,174.0,-1_coastal_risk_sea_level,"('coastal', 0.04476849627579786)","('coastal', 0.04985938103529301)","('community', 0.04462662002194072)","('disaster', 0.061225872774456104)","('vulnerability', 0.1006408812534984)","('marsh', 0.0836012494327147)","('level', 0.06123251466543425)","('tourism', 0.15106620200126783)","('wave', 0.07121840467395966)"
1,0.0,89.0,0_coastal_planning_level_local,"('risk', 0.025050245252267178)","('planning', 0.030974763951530086)","('ocean', 0.04053909125056606)","('community', 0.05183305366907081)","('coastal', 0.06674664549334333)","('wetland', 0.06215120326592213)","('rise', 0.060737372592784195)","('destination', 0.08750342338816006)","('sea', 0.06369623145465343)"
2,1.0,49.0,1_community_ocean_ecosystem_marine,"('sea', 0.020921768149669593)","('level', 0.030209237968072497)","('ecosystem', 0.03678939147953389)","('resilience', 0.05019105777231929)","('level', 0.034401845963641424)","('salt', 0.04648358751981427)","('sea', 0.059038011330089686)","('policy', 0.04835802195146881)","('data', 0.04971398035223693)"
3,2.0,27.0,2_disaster_community_resilience_hurricane,"('level', 0.020513470854791868)","('local', 0.028486175661326045)","('marine', 0.03615147062589899)","('hurricane', 0.04031955769902646)","('area', 0.032129793231467224)","('dune', 0.03656307310392567)","('uncertainty', 0.04927346032401612)","('island', 0.04204856256672071)","('level', 0.04712909916800914)"
4,3.0,24.0,3_vulnerability_coastal_level_area,"('community', 0.019757170699233412)","('sea', 0.02549344903045905)","('management', 0.03486597828851686)","('risk', 0.04008057439778994)","('exposure', 0.030643710396101174)","('habitat', 0.03436744572813012)","('decision', 0.04702946904577338)","('tourist', 0.03630961302578665)","('mean', 0.04301139831125281)"
5,4.0,16.0,4_marsh_wetland_salt_dune,"('impact', 0.018910397249259036)","('community', 0.023292840945011443)","('social', 0.030344275527692966)","('relocation', 0.036596258717289915)","('index', 0.028161003386877565)","('coastal', 0.033455108509757185)","('model', 0.04645153696148341)","('activity', 0.03379435270549669)","('variability', 0.04104847100420451)"
6,5.0,15.0,5_level_rise_sea_uncertainty,"('policy', 0.01850073402050472)","('management', 0.02113713163113241)","('livelihood', 0.028883156394841524)","('local', 0.029983408931737374)","('assessment', 0.027501150602347212)","('ecosystem', 0.032906982279386)","('coastal', 0.0381824607991794)","('vanuatu', 0.031770911397563315)","('model', 0.034026573372429834)"
7,6.0,12.0,6_tourism_destination_policy_island,"('approach', 0.017963527448424933)","('rise', 0.020335071311918924)","('coral', 0.028110275974833038)","('hazard', 0.028979900043611145)","('hazard', 0.026104630435576284)","('service', 0.03174135250542338)","('risk', 0.03474283967445557)","('impact', 0.03090721461308831)","('trend', 0.033779812474154416)"
8,7.0,12.0,7_wave_sea_data_level,"('based', 0.015326908614008984)","('risk', 0.020159542172365003)","('fishery', 0.024518133293709412)","('vulnerability', 0.028529525595100347)","('sea', 0.0249994103479536)","('lagoon', 0.029897978826929385)","('damage', 0.033583397730521714)","('space', 0.028401516627529672)","('watershed', 0.033375513426578844)"
9,,,,"('erosion', 0.015296154535759367)","('policy', 0.019831366127765027)","('coastal', 0.02445527570083598)","('preparedness', 0.02335353229027721)","('zone', 0.02312647242065013)","('shoreline', 0.029155570300697393)","('investment', 0.0334250129907375)","('warning', 0.02818745069366269)","('coastal', 0.0321869258360482)"
