,Topic,Count,Name,0,1
0,0.0,378.0,0_water_management_model_flood,"('water', 0.07754745577704558)","('fishery', 0.2370601765765974)"
1,1.0,15.0,1_fishery_management_policy_adaptive,"('management', 0.03894884589523264)","('management', 0.09618041402688345)"
2,,,,"('model', 0.03522510244337799)","('policy', 0.06329881115813683)"
3,,,,"('flood', 0.03390275266285738)","('adaptive', 0.062109211390405546)"
4,,,,"('risk', 0.032294848057774043)","('approach', 0.05686027429381449)"
5,,,,"('system', 0.02862811040172944)","('ecosystem', 0.05507642287970029)"
6,,,,"('impact', 0.028059278277082034)","('capacity', 0.049766508776981175)"
7,,,,"('approach', 0.026424750960295503)","('resilience', 0.04446581622387131)"
8,,,,"('future', 0.026087680724780096)","('ecological', 0.043571793690087623)"
9,,,,"('resource', 0.02427705116366044)","('right', 0.038454858409300914)"
