,Topic,Count,Name,-1,0,1,2
0,-1.0,39.0,-1_impact_future_scenario_model,"('impact', 0.03386867561234175)","('risk', 0.05798671816125547)","('heat', 0.06761782554723092)","('model', 0.04635678274908336)"
1,0.0,112.0,0_risk_event_impact_extreme,"('future', 0.030115663929919347)","('event', 0.03184768089731982)","('urban', 0.06709818033431274)","('fire', 0.04466957507874986)"
2,1.0,38.0,1_heat_urban_effect_building,"('scenario', 0.028990576927750453)","('impact', 0.031586692780893544)","('effect', 0.041320125217493016)","('scale', 0.04235264194610971)"
3,2.0,15.0,2_model_fire_scale_vegetation,"('model', 0.028649546948003007)","('extreme', 0.029153579562129203)","('building', 0.03962705029143071)","('vegetation', 0.03946623757574416)"
4,,,,"('temperature', 0.025108081479605037)","('disaster', 0.02748034767810538)","('energy', 0.034535270086403634)","('soil', 0.037420809709972074)"
5,,,,"('planning', 0.023129023138812183)","('weather', 0.025615442109941936)","('thermal', 0.02759795481557897)","('change', 0.037029876428069555)"
6,,,,"('landscape', 0.02312250976690451)","('level', 0.024786473187540105)","('future', 0.026733777571523423)","('regional', 0.033457229820784314)"
7,,,,"('change', 0.02281230715244774)","('vulnerability', 0.023964273404893387)","('land', 0.026127919302506474)","('type', 0.031191199517986788)"
8,,,,"('energy', 0.02248958641781783)","('country', 0.02321060360628993)","('risk', 0.025561779684620832)","('rainfall', 0.030404644003159176)"
9,,,,"('measure', 0.022458196308040156)","('policy', 0.022043702355239222)","('temperature', 0.02537463364545376)","('future', 0.027815070222856998)"
