,Topic,Count,Name,0,1
0,0.0,136.0,0_urban_building_heat_energy,"('urban', 0.062375926226741374)","('emission', 0.0788867439999956)"
1,1.0,15.0,1_emission_system_energy_economic,"('building', 0.04549040864111282)","('system', 0.07503940872307173)"
2,,,,"('heat', 0.0419636705057181)","('energy', 0.07181711809331143)"
3,,,,"('energy', 0.03477732237447723)","('economic', 0.05459647145545358)"
4,,,,"('city', 0.03395594498295443)","('environmental', 0.05302012430278027)"
5,,,,"('design', 0.03144274258831246)","('cost', 0.050447001767659164)"
6,,,,"('thermal', 0.028494702441687534)","('renewable', 0.04852574527226214)"
7,,,,"('result', 0.028107343430019475)","('carbon', 0.03913761162466615)"
8,,,,"('temperature', 0.025583881391865453)","('hydrogen', 0.035258368354684363)"
9,,,,"('area', 0.02536274104053417)","('based', 0.03372716424292702)"
