,Topic,Count,Name,-1,0,1,2,3,4
0,-1.0,188.0,-1_urban_city_planning_policy,"('urban', 0.05379353866742388)","('green', 0.06261384074392377)","('water', 0.07908623178969887)","('resilience', 0.1155479813405482)","('mitigation', 0.08749950861447278)","('institutional', 0.09544584150519476)"
1,0.0,53.0,0_green_urban_land_infrastructure,"('city', 0.04541120751438233)","('urban', 0.05705012971113967)","('urban', 0.05637192452909338)","('urban', 0.06879319984560986)","('emission', 0.08684052450778601)","('governance', 0.06383829352212245)"
2,1.0,37.0,1_water_urban_stormwater_system,"('planning', 0.02692682017714591)","('land', 0.03144602209076322)","('stormwater', 0.03630352650634087)","('capacity', 0.04275580075838064)","('city', 0.07869984006305267)","('process', 0.05104770812228422)"
3,2.0,30.0,2_resilience_urban_capacity_risk,"('policy', 0.022839866326776537)","('infrastructure', 0.02934363476401886)","('system', 0.033486943548710395)","('risk', 0.0416500543151958)","('plan', 0.060863168754727956)","('policy', 0.05074385066149074)"
4,3.0,15.0,3_mitigation_emission_city_plan,"('green', 0.021018877229561722)","('space', 0.027896620228615564)","('drainage', 0.032208492318177954)","('city', 0.038557991746205736)","('carbon', 0.053097821142393864)","('planning', 0.050282632521848385)"
5,4.0,10.0,4_institutional_governance_process_policy,"('based', 0.020928489527546303)","('data', 0.027385027450856556)","('management', 0.03189886625196282)","('framework', 0.034191906694328464)","('urban', 0.04971974247818724)","('urban', 0.048577180519046685)"
6,,,,"('development', 0.019942280566085668)","('city', 0.027054195033471774)","('flood', 0.029015590831728583)","('knowledge', 0.03353438853841922)","('planning', 0.04427530143293909)","('approach', 0.04441942282145811)"
7,,,,"('approach', 0.01860412591618899)","('area', 0.024950366626988532)","('infrastructure', 0.027926163516200708)","('process', 0.0313264767097908)","('action', 0.03889523271961934)","('level', 0.042045404293055436)"
8,,,,"('social', 0.017562015238524846)","('planning', 0.02485773319091013)","('scenario', 0.026979947626172396)","('disaster', 0.028393474541149998)","('tier', 0.03508096834815057)","('city', 0.04188782812860623)"
9,,,,"('area', 0.016562469017745274)","('design', 0.024252461300511303)","('city', 0.024898325203608282)","('development', 0.02788915061950073)","('co', 0.0347654389668716)","('cba', 0.03385324330855874)"
