,Topic,Count,Name,-1,0,1
0,-1.0,41.0,-1_urban_energy_system_emission,"('urban', 0.03994841316651563)","('urban', 0.0744952244260792)","('urban', 0.06092624599546706)"
1,0.0,293.0,0_urban_city_planning_green,"('energy', 0.03710957710560596)","('city', 0.055603724179766265)","('heat', 0.04784902097863599)"
2,1.0,150.0,1_urban_heat_building_thermal,"('system', 0.036340467646955046)","('planning', 0.03602974906583503)","('building', 0.04605694934774764)"
3,,,,"('emission', 0.033652012422141095)","('green', 0.03212100105284133)","('thermal', 0.03368603956224015)"
4,,,,"('green', 0.033354348811092525)","('resilience', 0.029497536263671652)","('city', 0.03278048317195852)"
5,,,,"('space', 0.031996873109700834)","('infrastructure', 0.026744994248054054)","('energy', 0.03184523195132119)"
6,,,,"('data', 0.030583087786557626)","('policy', 0.02409103704064714)","('temperature', 0.02908931338343855)"
7,,,,"('public', 0.029674508457916207)","('approach', 0.023155497566839094)","('design', 0.027195283224758615)"
8,,,,"('environmental', 0.029227457533259147)","('development', 0.02275148196046211)","('result', 0.02701286554612607)"
9,,,,"('design', 0.028353563982119342)","('based', 0.022394675407081926)","('health', 0.026025556882858163)"
