,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,-1,258,-1_policy_planning_risk_development,"('policy', 0.021535660834595276)","('local', 0.028208477224417747)","('governance', 0.05530498365036012)","('vulnerability', 0.09034024898746684)","('disaster', 0.06989215388549416)","('model', 0.07031356245328778)","('concern', 0.03785042775960748)","('indigenous', 0.08799582952735016)","('mitigation', 0.054106643621649075)","('coastal', 0.09320365152624782)","('gender', 0.18419237602953709)","('management', 0.04347598337565603)","('sids', 0.11702815185618397)","('health', 0.21590229154330656)","('water', 0.1551432183170383)"
1,0,51,0_local_livelihood_development_intervention,"('planning', 0.017506589900232412)","('livelihood', 0.027860185442848438)","('barrier', 0.04571349414353069)","('community', 0.0314536834114273)","('risk', 0.06427017577948871)","('decision', 0.05170334313838191)","('household', 0.034774177600168835)","('justice', 0.055630590073957036)","('policy', 0.05316935072248606)","('port', 0.05317341473391897)","('woman', 0.09185089425579031)","('conservation', 0.041166434459559795)","('island', 0.09281225567623938)","('impact', 0.036337370880226906)","('basin', 0.06304209722677548)"
2,1,45,1_governance_barrier_policy_learning,"('risk', 0.015107957452174433)","('development', 0.02565853607687432)","('policy', 0.03873916608424687)","('poverty', 0.02327846624171559)","('drr', 0.031822466493033885)","('uncertainty', 0.047075518773299865)","('behavior', 0.030106776475150362)","('people', 0.0383029977391123)","('emission', 0.04186905791483842)","('planning', 0.038612875227563334)","('inequality', 0.046334045021773324)","('ce', 0.036024134706518954)","('small', 0.04668741656460349)","('national', 0.035369826258235544)","('resource', 0.03381555670692016)"
3,2,44,2_vulnerability_community_poverty_capacity,"('development', 0.014563737121969681)","('intervention', 0.025421857448711126)","('learning', 0.027239293513189156)","('capacity', 0.0217066356954377)","('cca', 0.027609343257104898)","('ensemble', 0.024197176865473607)","('perception', 0.029985745333895926)","('global', 0.02805072488817991)","('energy', 0.04062795922259431)","('policy', 0.03369977909332735)","('gendered', 0.03353375971883798)","('heritage', 0.03169227943432795)","('migration', 0.041197151110815365)","('sector', 0.034251998731412325)","('management', 0.03313849760490295)"
4,3,42,3_disaster_risk_drr_cca,"('social', 0.014243647353591229)","('community', 0.025218590585437524)","('adaptive', 0.02456180422503775)","('social', 0.020637239359404445)","('reduction', 0.027532262202155017)","('making', 0.023199139576657594)","('intention', 0.029933072815931248)","('knowledge', 0.027016342343143717)","('country', 0.03695415758147728)","('risk', 0.03346557306821492)","('community', 0.028464287058642037)","('site', 0.030899568596503023)","('pacific', 0.03782341706604914)","('system', 0.03266270621451864)","('river', 0.03082239018630609)"
5,4,37,4_model_decision_uncertainty_ensemble,"('impact', 0.013943440553370583)","('capacity', 0.023204945567323068)","('process', 0.022482285917206662)","('result', 0.019963099264741133)","('event', 0.021236018659704738)","('projection', 0.021640261596309437)","('environmental', 0.02789451254393243)","('cultural', 0.02585220029008036)","('environmental', 0.030295559193283573)","('local', 0.03106179853381983)","('power', 0.02583158364364733)","('stakeholder', 0.030141155457107164)","('state', 0.036837642547578056)","('plan', 0.02745403529890276)","('catchment', 0.025685838855965825)"
6,5,26,5_concern_household_behavior_perception,"('strategy', 0.01327928130818818)","('social', 0.021771447719312855)","('co', 0.020958295845222633)","('risk', 0.019461918522205874)","('challenge', 0.02107376365831812)","('scenario', 0.0215887030735701)","('may', 0.0257577779624316)","('company', 0.025304825967083146)","('trade', 0.028602646152328177)","('management', 0.028379716023621063)","('group', 0.02463153458142852)","('natural', 0.027809022115872273)","('vulnerability', 0.0331056267881983)","('policy', 0.025621679425672478)","('policy', 0.025117431141713047)"
7,6,24,6_indigenous_justice_people_global,"('action', 0.012821665691201668)","('adaptive', 0.02169450869656313)","('institutional', 0.020349826460928224)","('need', 0.018913576028402157)","('management', 0.02012413174973878)","('future', 0.0203964475887886)","('belief', 0.022818800696990226)","('injustice', 0.024668144571290424)","('measure', 0.0279581183078728)","('island', 0.025222775218044623)","('policy', 0.02447139329601734)","('adaptive', 0.025812939618395033)","('policy', 0.03220208559017391)","('risk', 0.025296824326789282)","('economic', 0.023480063922628826)"
8,7,22,7_mitigation_policy_emission_energy,"('level', 0.011667624443607876)","('africa', 0.0193060498059271)","('approach', 0.019604965543034217)","('local', 0.018379072209203998)","('loss', 0.01925543591253)","('impact', 0.019633366561603062)","('behaviour', 0.02244374305301489)","('community', 0.022950536120680952)","('cost', 0.0255446484931236)","('flood', 0.023273083169556834)","('vulnerability', 0.024014476604329333)","('information', 0.023051719020263553)","('community', 0.030576623448062844)","('public', 0.02472683675853812)","('challenge', 0.022454403988040345)"
9,8,21,8_coastal_port_planning_policy,"('challenge', 0.011596527987235183)","('rural', 0.019040473496296093)","('capacity', 0.018888648385626632)","('based', 0.018360446863297294)","('impact', 0.01777838287673086)","('analysis', 0.019629336925755494)","('child', 0.021619860631670755)","('group', 0.02231783607812005)","('impact', 0.025352096732847964)","('hazard', 0.022942437298768697)","('men', 0.023363993178902486)","('land', 0.02298747775877697)","('nation', 0.028734748352321236)","('related', 0.020681466157217925)","('cc', 0.022422182422311608)"
10,9,19,9_gender_woman_inequality_gendered,,,,,,,,,,,,,,,
11,10,16,10_management_conservation_ce_heritage,,,,,,,,,,,,,,,
12,11,15,11_sids_island_small_migration,,,,,,,,,,,,,,,
13,12,14,12_health_impact_national_sector,,,,,,,,,,,,,,,
14,13,12,13_water_basin_resource_management,,,,,,,,,,,,,,,
