,Topic,Count,Name,0,1
0,0.0,749.0,0_policy_risk_approach_process,"('policy', 0.04004625533313867)","('health', 0.39351537264102465)"
1,1.0,17.0,1_health_public_impact_risk,"('risk', 0.03068600210943076)","('public', 0.10435878082097699)"
2,,,,"('approach', 0.028765896142583982)","('impact', 0.06838863337567515)"
3,,,,"('process', 0.028234962137383194)","('risk', 0.06014642282735554)"
4,,,,"('decision', 0.02629608814915761)","('framework', 0.047471711405608824)"
5,,,,"('social', 0.0246884580248308)","('approach', 0.04366429120456622)"
6,,,,"('development', 0.0242512892992729)","('human', 0.04188801055097115)"
7,,,,"('impact', 0.023964435890694195)","('sector', 0.041773735782696685)"
8,,,,"('local', 0.023357420956378366)","('community', 0.03877878803724629)"
9,,,,"('level', 0.022904685328318675)","('related', 0.03834100248381943)"
