,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11
0,-1,337,-1_farmer_strategy_agricultural_system,"('farmer', 0.03933999124135047)","('farmer', 0.045464161096186013)","('community', 0.0506943663317777)","('farm', 0.04685809564214707)","('perception', 0.08489267161232796)","('vulnerability', 0.0858270189142113)","('risk', 0.12827434712979194)","('pastoralists', 0.05361330586468957)","('csa', 0.05463633926611875)","('information', 0.08593376964513369)","('forest', 0.1890603088175821)","('woman', 0.09611445203870254)","('participant', 0.032163866775729834)"
1,0,119,0_farmer_strategy_household_farm,"('strategy', 0.017525211716458617)","('strategy', 0.03559280655720973)","('knowledge', 0.05065928185832406)","('impact', 0.034105332128180475)","('farmer', 0.06968545227737265)","('risk', 0.04160641136517022)","('farmer', 0.05093061335736901)","('livelihood', 0.05067600898958446)","('farmer', 0.04578140283699688)","('forecast', 0.08449478432903056)","('management', 0.07620256470098913)","('gender', 0.08952102575438846)","('system', 0.03069456960885734)"
2,1,41,1_community_knowledge_indigenous_local,"('agricultural', 0.017400082979525694)","('household', 0.03545064657132307)","('indigenous', 0.04143489748269881)","('crop', 0.03279145796780486)","('behavior', 0.03775154204753854)","('household', 0.03362916642409672)","('insurance', 0.04906530865247697)","('herder', 0.04557842284266896)","('adoption', 0.040625243324758406)","('weather', 0.07700957651971821)","('owner', 0.07361669165978153)","('female', 0.08093361037190779)","('agricultural', 0.03016310646429875)"
3,2,39,2_farm_impact_crop_system,"('system', 0.016224569774353968)","('farm', 0.03246443918324929)","('local', 0.031990712019776706)","('system', 0.029798055190327216)","('survey', 0.027080207941139734)","('strategy', 0.032383135896251906)","('preference', 0.03188122272043668)","('strategy', 0.03988608698871858)","('practice', 0.03346071981103221)","('meteorological', 0.04130856122752605)","('manager', 0.05378986534108796)","('male', 0.07404375254727301)","('organization', 0.030153625102246718)"
4,3,34,3_perception_farmer_behavior_survey,"('crop', 0.016003253297437424)","('crop', 0.023340817231133657)","('resilience', 0.025894768104781512)","('livestock', 0.02936180217115897)","('temperature', 0.02527826366706429)","('farmer', 0.030987493974667712)","('behavior', 0.02986347767888765)","('drought', 0.03348993206067344)","('awareness', 0.028818696518958388)","('use', 0.039332228555339174)","('conservation', 0.03830538198253402)","('men', 0.06250428267839059)","('extension', 0.0278207135984468)"
5,4,24,4_vulnerability_risk_household_strategy,"('practice', 0.01574696500459125)","('adoption', 0.022926410923282632)","('people', 0.023971055701606084)","('model', 0.024352089699087753)","('factor', 0.02424619686900334)","('drought', 0.027756619979524947)","('loss', 0.027057064608045737)","('local', 0.0319069719615087)","('agricultural', 0.028395907230648342)","('forecasting', 0.038632462518456784)","('easement', 0.03805084460450442)","('household', 0.043918916585331966)","('adviser', 0.027739916789069577)"
6,5,22,5_risk_farmer_insurance_preference,"('impact', 0.014320176670603499)","('factor', 0.021999709250246965)","('strategy', 0.019267260911374068)","('scenario', 0.022153958457914052)","('result', 0.022355653399670505)","('climatic', 0.027401035723304712)","('aversion', 0.026547381239187505)","('ecosystem', 0.030723735203058974)","('technology', 0.027654367200884416)","('indigenous', 0.03439735838397475)","('adaptive', 0.030606352420352784)","('seed', 0.03691753737511397)","('knowledge', 0.02595854468510869)"
7,6,20,6_pastoralists_livelihood_herder_strategy,"('food', 0.014208677743191211)","('access', 0.021567173280618968)","('adaptive', 0.01857559752139076)","('region', 0.021244684054986758)","('change', 0.0219534504174506)","('agricultural', 0.027117078471598634)","('influence', 0.025092787703142456)","('community', 0.030323787163032866)","('implementation', 0.02644277934398959)","('farmer', 0.02881466945427872)","('forestry', 0.02760142251467233)","('husband', 0.035849566016851034)","('practice', 0.02415821714738613)"
8,7,19,7_csa_farmer_adoption_practice,"('farm', 0.014147540280929658)","('income', 0.020563223597538923)","('rural', 0.017908914193678235)","('agricultural', 0.021063090628373065)","('perceived', 0.02094425575706467)","('bangladesh', 0.023758851292823256)","('message', 0.024632523763019644)","('resource', 0.030016085443601)","('sustainable', 0.024704989548914726)","('traditional', 0.028639323421058672)","('ecosystem', 0.02600792732859648)","('wife', 0.0333086402715856)","('course', 0.024038401711949087)"
9,8,18,8_information_forecast_weather_meteorological,"('household', 0.013753526756397572)","('rice', 0.018870239819807514)","('household', 0.015928984051583505)","('emission', 0.02041261856618692)","('precipitation', 0.020548534493106715)","('data', 0.022588715239514973)","('advisor', 0.023910917040327512)","('pastoral', 0.027978752388560835)","('perception', 0.022372844643520205)","('knowledge', 0.02416865698860658)","('stakeholder', 0.024310057337660666)","('difference', 0.03218713927935902)","('agriculture', 0.022042015314069224)"
10,9,17,9_forest_management_owner_manager,,,,,,,,,,,,,
11,10,17,10_woman_gender_female_male,,,,,,,,,,,,,
12,11,17,11_participant_system_agricultural_organization,,,,,,,,,,,,,
