,Topic,Count,Name,-1,0,1
0,-1.0,10.0,-1_malaria_variable_health_incidence,"('malaria', 0.09409351828279744)","('water', 0.05507683178884312)","('fishery', 0.09570508334362252)"
1,0.0,392.0,0_water_model_precipitation_future,"('variable', 0.06312221384184469)","('model', 0.03562380122019861)","('fish', 0.05829408478641731)"
2,1.0,30.0,1_fishery_fish_fishing_salmon,"('health', 0.057567998320355536)","('precipitation', 0.028447498629516878)","('fishing', 0.043719637640039985)"
3,,,,"('incidence', 0.05686717616445531)","('future', 0.025663347799671266)","('salmon', 0.03998490850621916)"
4,,,,"('model', 0.055683292140485646)","('river', 0.02201389083688624)","('catch', 0.03543867574361149)"
5,,,,"('disease', 0.055349128401645555)","('scenario', 0.021591853456112253)","('effect', 0.0329675563101009)"
6,,,,"('agaqp1', 0.0542902016372428)","('change', 0.02125300392297351)","('management', 0.03198635523391101)"
7,,,,"('non', 0.041066093740284144)","('result', 0.02114434693831789)","('coastal', 0.03081085179665081)"
8,,,,"('change', 0.03950470229712216)","('impact', 0.02078039096526572)","('strategy', 0.029159532689236232)"
9,,,,"('temperature', 0.037845123410676015)","('basin', 0.020090278914982607)","('region', 0.02746499448797889)"
