,Topic,Count,Name,-1,0,1,2,3,4,5,6
0,-1.0,109.0,-1_temperature_urban_model_heat,"('temperature', 0.04062948438903948)","('building', 0.06341682273243233)","('urban', 0.08000383718963906)","('heat', 0.10313867191395801)","('urban', 0.07963892540066882)","('carbon', 0.07730260740274018)","('water', 0.06978221276882754)","('ocean', 0.147303445170048)"
1,0.0,93.0,0_building_energy_cooling_thermal,"('urban', 0.02380085271390843)","('energy', 0.054187478433846345)","('green', 0.06967729131320201)","('health', 0.048791456840870315)","('heat', 0.07957706190257442)","('energy', 0.07116607641219558)","('crop', 0.06614931568622094)","('arctic', 0.09627844439917005)"
2,1.0,47.0,1_urban_green_city_roof,"('model', 0.021438528405885716)","('cooling', 0.030326400527287894)","('city', 0.037131270855507256)","('risk', 0.046055666038306325)","('temperature', 0.0597398244834233)","('co2', 0.049431013695757094)","('yield', 0.05557396183348136)","('global', 0.07801092931895576)"
3,2.0,27.0,2_heat_health_risk_stress,"('heat', 0.020663365631377214)","('thermal', 0.029477493832253978)","('roof', 0.035502335143466894)","('stress', 0.04215170211866376)","('land', 0.04828901984009753)","('saving', 0.04778542969169143)","('food', 0.0554916194614075)","('warming', 0.0755351497868782)"
4,3.0,24.0,3_urban_heat_temperature_land,"('extreme', 0.020653773698435064)","('demand', 0.02725931664244883)","('space', 0.03140609068952092)","('effect', 0.02914813279028074)","('lst', 0.04728260520204177)","('emission', 0.0423571666941905)","('production', 0.053052392644873686)","('emission', 0.06878066504674811)"
5,4.0,16.0,4_carbon_energy_co2_saving,"('high', 0.019252229991820226)","('temperature', 0.024754208272916464)","('effect', 0.031190588959931688)","('related', 0.02719526944989413)","('city', 0.04543019290848348)","('technology', 0.03652553263866488)","('daf', 0.04723860280780841)","('carbon', 0.05776566568946183)"
6,5.0,14.0,5_water_crop_yield_food,"('increase', 0.018584904732844496)","('air', 0.022410886633135316)","('cooling', 0.029757455104323444)","('temperature', 0.026888308210369867)","('surface', 0.04333186103317116)","('water', 0.03382613956424222)","('maize', 0.03646847837352413)","('cumulative', 0.053609683808995445)"
7,6.0,14.0,6_ocean_arctic_global_warming,"('city', 0.017711222341357368)","('heating', 0.022252569539093787)","('area', 0.02942395098200479)","('vulnerability', 0.02681057541273207)","('air', 0.04039655182888709)","('system', 0.032626863317006614)","('global', 0.03390104582749682)","('co2', 0.04785169606450267)"
8,,,,"('impact', 0.017100725001376424)","('system', 0.021795738444978393)","('heat', 0.028994395419538004)","('urban', 0.025804713073397687)","('model', 0.033935039768656056)","('household', 0.027010542867618833)","('root', 0.0331531621577492)","('mhws', 0.04587455513239408)"
9,,,,"('tree', 0.016790301143531847)","('residential', 0.02163414751349103)","('tree', 0.028408872882584656)","('people', 0.025334091097906335)","('island', 0.03195510945827373)","('solar', 0.026798021009681736)","('lue', 0.030805444192746986)","('atmospheric', 0.0453932707943399)"
