,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9
0,-1,120,-1_urban_water_impact_green,"('urban', 0.021510097845054192)","('building', 0.06502334844687142)","('cooling', 0.06856360333046202)","('water', 0.10248917257458837)","('heat', 0.0957481938185895)","('trend', 0.04926357498690557)","('bond', 0.04362876473233012)","('coastal', 0.05867739713804129)","('city', 0.06895797172551235)","('city', 0.0780069679584156)","('urban', 0.06260648830005348)"
1,0,61,0_building_energy_thermal_design,"('water', 0.019980175642581623)","('energy', 0.058590974926417835)","('urban', 0.06476432607437435)","('groundwater', 0.03995908831108444)","('health', 0.06323559279766401)","('temperature', 0.041877020071808484)","('green', 0.03613276104705587)","('carbon', 0.046422078469399775)","('infrastructure', 0.05320273629581404)","('urban', 0.058175935442841706)","('health', 0.04625483536923901)"
2,1,41,1_cooling_urban_heat_effect,"('impact', 0.018535768601220047)","('thermal', 0.028520663383814964)","('heat', 0.048148265551100466)","('system', 0.033344969175777624)","('mortality', 0.04760980636093654)","('zone', 0.03151456724877467)","('mitigation', 0.03306030127751905)","('sediment', 0.04062007928777054)","('green', 0.05178623702975238)","('mitigation', 0.050296969463879695)","('tree', 0.04253296357609996)"
3,2,35,2_water_groundwater_system_management,"('green', 0.01654820398921178)","('design', 0.02819189407716213)","('effect', 0.048047209951160276)","('management', 0.03101525590237975)","('temperature', 0.03427017940118675)","('dormancy', 0.028567101412377432)","('emission', 0.030439529140862096)","('marsh', 0.04039229360830895)","('water', 0.0485396544465081)","('planning', 0.046964867019612104)","('space', 0.04170138921563625)"
4,3,31,3_heat_health_mortality_temperature,"('city', 0.015542211874825686)","('performance', 0.025993013385320948)","('area', 0.037364235884990514)","('model', 0.022312861454790476)","('related', 0.03416482729788323)","('precipitation', 0.026479126269181332)","('political', 0.028740419879524984)","('ecosystem', 0.036474609240609336)","('flood', 0.04234887372577044)","('plan', 0.0445599222081644)","('green', 0.04141047091835065)"
5,4,26,4_trend_temperature_zone_dormancy,"('environmental', 0.014686407438265362)","('consumption', 0.0246633118370395)","('temperature', 0.03384261322885378)","('supply', 0.020717550700394417)","('housing', 0.031259258303699855)","('bioclimatic', 0.024758154557393774)","('world', 0.023606052999881458)","('coral', 0.03508660236418285)","('resilience', 0.04047090956703189)","('development', 0.03897764717707681)","('city', 0.03607757036926114)"
6,5,22,5_bond_green_mitigation_emission,"('policy', 0.01447000590081533)","('air', 0.02315724882195549)","('park', 0.031875832630343284)","('recharge', 0.020051146239640428)","('risk', 0.03111494085330958)","('land', 0.024623398042433606)","('gas', 0.023546786312284188)","('sea', 0.034846245229751216)","('risk', 0.036568255153250136)","('area', 0.03880832329890904)","('street', 0.03399653879819437)"
7,6,21,6_coastal_carbon_sediment_marsh,"('result', 0.014024882503585839)","('roof', 0.022051542906350582)","('thermal', 0.026291462857158537)","('demand', 0.019827064341326334)","('group', 0.030926701569643403)","('region', 0.023444941978726694)","('effort', 0.022981873723642472)","('migration', 0.03197723243991125)","('urban', 0.03617141556984468)","('tourism', 0.03524583115258483)","('area', 0.03211841316141846)"
8,7,13,7_city_infrastructure_green_water,"('system', 0.013928150640281182)","('facade', 0.02177399384070395)","('surface', 0.025931067397206062)","('flow', 0.018324708227585494)","('tree', 0.027436355600273046)","('climatic', 0.02344341839697627)","('environmental', 0.02294307016842725)","('level', 0.023617459056026725)","('tech', 0.03459737723847231)","('local', 0.0318708745315771)","('upgrading', 0.03197525657564884)"
9,8,11,8_city_urban_mitigation_planning,"('energy', 0.012752826630842548)","('cooling', 0.020660270572678517)","('vegetation', 0.025818989497445793)","('aquifer', 0.01818138693452126)","('public', 0.025584789640143216)","('change', 0.02318589107639487)","('global', 0.02282510849884814)","('estuary', 0.023013918376077715)","('flooding', 0.03266286959594244)","('built', 0.030646744622996467)","('infrastructure', 0.030533371142949538)"
10,9,10,9_urban_health_tree_space,,,,,,,,,,,
