,Topic,Count,Name,-1,0,1
0,-1.0,24.0,-1_emission_health_increase_food,"('emission', 0.030750242892525172)","('co2', 0.05313374301304998)","('water', 0.08848190999381789)"
1,0.0,23.0,0_co2_yield_system_increase,"('health', 0.029882868270608074)","('yield', 0.04276966644190891)","('area', 0.03510733340283239)"
2,1.0,16.0,1_water_area_flood_fire,"('increase', 0.026230948010727756)","('system', 0.04005414781879438)","('flood', 0.03371626600408016)"
3,,,,"('food', 0.02595512225690891)","('increase', 0.03261056445631956)","('fire', 0.029531420023861013)"
4,,,,"('risk', 0.024297293933541374)","('carbon', 0.030350629416460877)","('level', 0.02947443695641347)"
5,,,,"('global', 0.023918275339902827)","('crop', 0.028532041791823597)","('management', 0.028029776323558478)"
6,,,,"('disease', 0.02290578485760082)","('emission', 0.02831777400479778)","('year', 0.027978871427319685)"
7,,,,"('energy', 0.022447037117934214)","('use', 0.02696392402900653)","('risk', 0.02788973152874142)"
8,,,,"('china', 0.02238076247423647)","('production', 0.026786740661783895)","('city', 0.02638096595158445)"
9,,,,"('in', 0.022117332034318697)","('economic', 0.02673268683365483)","('increase', 0.025425616706356513)"
