,Topic,Count,Name,0,1
0,0.0,227.0,0_policy_risk_vulnerability_process,"('policy', 0.0403475413828191)","('health', 0.3210680149237921)"
1,1.0,11.0,1_health_impact_human_public,"('risk', 0.036617162961574384)","('impact', 0.07657201533202465)"
2,,,,"('vulnerability', 0.03237702389281092)","('human', 0.05551397101305643)"
3,,,,"('process', 0.029799306062153617)","('public', 0.048935051970943284)"
4,,,,"('approach', 0.029732156098960214)","('approach', 0.0451582134987155)"
5,,,,"('level', 0.027024685076668796)","('hia', 0.04500004834986991)"
6,,,,"('local', 0.02701520408198845)","('sector', 0.04409162272848089)"
7,,,,"('impact', 0.024858498924225595)","('risk', 0.042543401917563575)"
8,,,,"('capacity', 0.02430887251532364)","('outcome', 0.04225155331070573)"
9,,,,"('planning', 0.02392251051484259)","('community', 0.04171755882853208)"
