,Topic,Count,Name,-1,0,1
0,-1.0,107.0,-1_farmer_strategy_household_crop,"('farmer', 0.07671099875650828)","('farmer', 0.06397151068148656)","('household', 0.11483511486501988)"
1,0.0,73.0,0_farmer_strategy_household_crop,"('strategy', 0.03450565142013484)","('strategy', 0.030831374407212016)","('adoption', 0.10019157622019616)"
2,1.0,14.0,1_household_adoption_farm_income,"('household', 0.027970568694465087)","('household', 0.030162962728023622)","('farm', 0.09164871313805291)"
3,,,,"('crop', 0.02620524926577511)","('crop', 0.028910409060677097)","('income', 0.07347421583240571)"
4,,,,"('farm', 0.02459666150885662)","('farm', 0.02885643444240339)","('strategy', 0.07333265251466041)"
5,,,,"('perception', 0.02436647599682235)","('system', 0.02758216988442232)","('effect', 0.05331899017472774)"
6,,,,"('practice', 0.024234368512105264)","('data', 0.02544106791303826)","('welfare', 0.04893053512493439)"
7,,,,"('data', 0.02126182197868945)","('livelihood', 0.024058517684835728)","('farmer', 0.04891956380223274)"
8,,,,"('variety', 0.020217477484543663)","('impact', 0.023431237997895437)","('data', 0.045580293209658056)"
9,,,,"('agricultural', 0.01919035136661269)","('farming', 0.023070695429960052)","('access', 0.04082430463533929)"
