,Topic,Count,Name,-1,0,1,2
0,-1.0,51.0,-1_water_flood_river_model,"('water', 0.05545198664671553)","('model', 0.05906683611484308)","('water', 0.09675643335406416)","('water', 0.07999858878239742)"
1,0.0,72.0,0_model_hydrological_water_future,"('flood', 0.02984611548297485)","('hydrological', 0.03482265623107356)","('scenario', 0.036676504807452485)","('policy', 0.04018797175802111)"
2,1.0,40.0,1_water_scenario_groundwater_irrigation,"('river', 0.02683703699278758)","('water', 0.03477334053329982)","('groundwater', 0.03288137309271834)","('case', 0.038242092599479464)"
3,2.0,26.0,2_water_policy_case_management,"('model', 0.02544605119527452)","('future', 0.031435951496897124)","('irrigation', 0.031733147548785555)","('management', 0.037032513719322056)"
4,,,,"('system', 0.021915462329754047)","('runoff', 0.027248967716333002)","('area', 0.02379919192721557)","('local', 0.02868055206784263)"
5,,,,"('risk', 0.021732505822497358)","('river', 0.02684186912467337)","('use', 0.023266339313542436)","('study', 0.02757597288941084)"
6,,,,"('level', 0.02171492773646277)","('flow', 0.02664675362297957)","('impact', 0.023249897901537666)","('project', 0.02530971609770823)"
7,,,,"('year', 0.020603040835622102)","('precipitation', 0.026160919670285235)","('increase', 0.02321029272336246)","('governance', 0.02518801776797149)"
8,,,,"('basin', 0.02033770009491106)","('catchment', 0.024773699468056867)","('resource', 0.02302712503163261)","('social', 0.02401721535136616)"
9,,,,"('storage', 0.019414480853363687)","('impact', 0.024599069618915028)","('demand', 0.022710045497015146)","('knowledge', 0.023872816990795066)"
