,Topic,Count,Name,-1,0,1,2,3
0,-1.0,63.0,-1_forest_model_flood_weather,"('forest', 0.02835827575754362)","('event', 0.04714639791068583)","('water', 0.07428149595523885)","('rainfall', 0.10042819404199946)","('drought', 0.09356385484306232)"
1,0.0,36.0,0_event_weather_extreme_disaster,"('model', 0.025144056636174503)","('weather', 0.04500893236645555)","('farmer', 0.04137216589956862)","('extreme', 0.0610735326387972)","('extreme', 0.04899372748835238)"
2,1.0,30.0,1_water_farmer_drought_crop,"('flood', 0.024368454820559597)","('extreme', 0.04455062698365352)","('drought', 0.03578819359867113)","('future', 0.05623272160512198)","('model', 0.04569825707649742)"
3,2.0,23.0,2_rainfall_extreme_future_model,"('weather', 0.023207877832713622)","('disaster', 0.039163807854557676)","('crop', 0.03127282233781728)","('model', 0.044095367097562246)","('precipitation', 0.045450928448995474)"
4,3.0,18.0,3_drought_extreme_model_precipitation,"('extreme', 0.02261328101695443)","('risk', 0.035363424551767934)","('flood', 0.02755034756142654)","('increase', 0.037370606743330925)","('condition', 0.036058937160028205)"
5,,,,"('future', 0.02132060864679249)","('impact', 0.03019009530175532)","('strategy', 0.026411806100994403)","('using', 0.03617202667252414)","('temperature', 0.03569881727069276)"
6,,,,"('impact', 0.02079030017090851)","('hazard', 0.022145328176694058)","('production', 0.025937396599268678)","('data', 0.029755342281763842)","('increase', 0.03160452400835138)"
7,,,,"('forecast', 0.020182456272007158)","('need', 0.02082369441748913)","('variability', 0.025015074078710838)","('hail', 0.028670357036599113)","('water', 0.028985516331710398)"
8,,,,"('event', 0.020165736657867223)","('system', 0.019471194537278573)","('impact', 0.023609910985466224)","('precipitation', 0.028605260345082397)","('event', 0.02672581667421908)"
9,,,,"('soil', 0.019925348484153605)","('framework', 0.01887207630932104)","('management', 0.022816945174263564)","('trend', 0.028120355723837524)","('global', 0.025835565544292803)"
