,Topic,Count,Name,-1,0,1,2
0,-1.0,76.0,-1_city_urban_planning_development,"('city', 0.06537204771331469)","('urban', 0.07007255307506004)","('urban', 0.072837237166411)","('resilience', 0.13292248006257512)"
1,0.0,32.0,0_urban_city_policy_governance,"('urban', 0.0621366916647871)","('city', 0.04683048927718326)","('energy', 0.05827636993464207)","('urban', 0.07373854144990886)"
2,1.0,27.0,1_urban_energy_city_emission,"('planning', 0.03866832941610287)","('policy', 0.044268621428207686)","('city', 0.03566550681132242)","('city', 0.050194290997620176)"
3,2.0,25.0,2_resilience_urban_city_risk,"('development', 0.02695208718893918)","('governance', 0.04252604968866591)","('emission', 0.03171955526079801)","('risk', 0.042257621188470235)"
4,,,,"('policy', 0.02475666763932793)","('stakeholder', 0.040008904411723355)","('game', 0.028802515476056844)","('knowledge', 0.041217233820425386)"
5,,,,"('approach', 0.023479762285980775)","('integration', 0.034453030621859004)","('planning', 0.02705541760614816)","('network', 0.040904635503476935)"
6,,,,"('based', 0.022384019067646126)","('approach', 0.03411637634729382)","('mitigation', 0.026260307250450268)","('process', 0.03319453430046139)"
7,,,,"('challenge', 0.02019248851515344)","('process', 0.03381648756626233)","('space', 0.025753697256468627)","('local', 0.031721718039443736)"
8,,,,"('social', 0.020091346138103632)","('planning', 0.03065417324188219)","('area', 0.025183022127448853)","('capacity', 0.03109117260861984)"
9,,,,"('risk', 0.020019323747083494)","('based', 0.02746226357908949)","('system', 0.024506066678044693)","('disaster', 0.029529818574642576)"
