,Topic,Count,Name,-1,0,1,2,3
0,-1.0,111.0,-1_policy_impact_health_risk,"('policy', 0.030685756695360313)","('vulnerability', 0.0434492946918776)","('policy', 0.05280066545133726)","('indigenous', 0.08526041461681001)","('gender', 0.19194319553763475)"
1,0.0,112.0,0_vulnerability_community_local_risk,"('impact', 0.02712272044652184)","('community', 0.03988852847255494)","('governance', 0.034751146535931005)","('people', 0.03833332791681486)","('woman', 0.09477342728833146)"
2,1.0,94.0,1_policy_governance_barrier_system,"('health', 0.026561664951027943)","('local', 0.039113963611391994)","('barrier', 0.02432065986802892)","('concern', 0.03697925472800424)","('inequality', 0.05832210910051167)"
3,2.0,28.0,2_indigenous_people_concern_knowledge,"('risk', 0.02556940408895758)","('risk', 0.026700708653089704)","('system', 0.02411601357124932)","('knowledge', 0.035322667423240486)","('vulnerability', 0.040505135581285844)"
4,3.0,21.0,3_gender_woman_inequality_vulnerability,"('planning', 0.023881664324480783)","('development', 0.025248874861778264)","('action', 0.023407022195011812)","('cultural', 0.03325537135081256)","('community', 0.037289864301087605)"
5,,,,"('strategy', 0.01914982809673707)","('country', 0.023087423981526467)","('adaptive', 0.022596774992939127)","('environmental', 0.033147904309805756)","('social', 0.035855666037657864)"
6,,,,"('approach', 0.018699340351539345)","('social', 0.022614777525639923)","('framework', 0.02176334429522952)","('behavior', 0.030582513666983058)","('gendered', 0.03498405271870172)"
7,,,,"('level', 0.018440869210809133)","('capacity', 0.021642661166112496)","('learning', 0.02108437891518265)","('child', 0.030267049364783707)","('group', 0.034652254034421626)"
8,,,,"('coastal', 0.018413179103740667)","('policy', 0.02022316711604214)","('institutional', 0.02074851745546898)","('community', 0.029349817149525226)","('policy', 0.03360721703291354)"
9,,,,"('development', 0.01770631025377286)","('disaster', 0.019465252108369996)","('strategy', 0.020012833283291027)","('perception', 0.0244701518186106)","('capacity', 0.03176531018761054)"
