,Topic,Count,Name,-1,0,1
0,-1.0,31.0,-1_risk_coastal_tourism_vulnerability,"('risk', 0.04575668646556429)","('coastal', 0.07223224543694855)","('community', 0.08088370646269132)"
1,0.0,21.0,0_coastal_management_planning_strategy,"('coastal', 0.04525808258616582)","('management', 0.04894786703954324)","('resilience', 0.06126500855525472)"
2,1.0,12.0,1_community_resilience_disaster_island,"('tourism', 0.043576339347055536)","('planning', 0.03751397862445695)","('disaster', 0.059099851901801774)"
3,,,,"('vulnerability', 0.04065243099849532)","('strategy', 0.035365137061107665)","('island', 0.052478917719775524)"
4,,,,"('policy', 0.037207603454517506)","('process', 0.03493126736102414)","('knowledge', 0.0501233086576318)"
5,,,,"('community', 0.029961338370976507)","('based', 0.033012301189522114)","('risk', 0.045159629520128544)"
6,,,,"('local', 0.02702163577315655)","('policy', 0.026250792184956566)","('information', 0.0395092567589183)"
7,,,,"('strategy', 0.025770754925613322)","('sediment', 0.026249370695828462)","('level', 0.03642287171109629)"
8,,,,"('island', 0.02363233031775402)","('governance', 0.025948979355779205)","('national', 0.035959769749852606)"
9,,,,"('framework', 0.022856202531929326)","('development', 0.025837178813987997)","('creation', 0.0343607443379808)"
