,Topic,Count,Name,-1,0,1,2,3,4,5
0,-1.0,154.0,-1_farmer_strategy_impact_local,"('farmer', 0.03726222540352568)","('farmer', 0.06541217016284373)","('health', 0.04277784429461242)","('farmer', 0.054594310245624146)","('gender', 0.11597071002633366)","('vulnerability', 0.11406223721711385)","('risk', 0.0857854790421103)"
1,0.0,35.0,0_farmer_practice_smallholder_adoption,"('strategy', 0.024561069986577175)","('practice', 0.05228920209626164)","('government', 0.03946292570095543)","('rainfall', 0.03854015218330899)","('woman', 0.10314428600413542)","('capacity', 0.0608611160413383)","('farmer', 0.07390677120801852)"
2,1.0,32.0,1_health_government_local_country,"('impact', 0.020550695282928046)","('smallholder', 0.03980594199999301)","('local', 0.03812586598600016)","('household', 0.036410986135556905)","('household', 0.04641722910596795)","('community', 0.052483276967516486)","('intention', 0.06585540624036003)"
3,2.0,28.0,2_farmer_rainfall_household_variability,"('local', 0.018292633009666277)","('adoption', 0.039661495085358496)","('country', 0.033500500202534735)","('variability', 0.03407601386132301)","('female', 0.04270021972617357)","('livelihood', 0.04858029071342962)","('behavior', 0.04349476488119046)"
4,3.0,19.0,3_gender_woman_household_female,"('policy', 0.017903802801358514)","('extension', 0.03495414019779563)","('level', 0.03139891410860815)","('livelihood', 0.03226915122155467)","('men', 0.04231775781820036)","('household', 0.04783177861847218)","('perception', 0.04208515781383029)"
5,4.0,15.0,4_vulnerability_capacity_community_livelihood,"('community', 0.017429888773941287)","('agricultural', 0.032912109522482476)","('community', 0.02968787933331453)","('farm', 0.03186629025727729)","('male', 0.03756512830292584)","('adaptive', 0.0442788550931823)","('model', 0.03619130107491825)"
6,5.0,15.0,5_risk_farmer_intention_behavior,"('household', 0.01717836684299047)","('csa', 0.02861066636138949)","('public', 0.026547610948273178)","('data', 0.03132087568262113)","('impact', 0.037539705352302166)","('woman', 0.03630976865769665)","('weather', 0.03619130107491825)"
7,,,,"('crop', 0.016533806360089408)","('technology', 0.027662685410985693)","('policy', 0.02644281006569149)","('impact', 0.02932100333854756)","('community', 0.036279093939711765)","('vulnerable', 0.03554268021744929)","('result', 0.034068520553543306)"
8,,,,"('result', 0.015221983863586709)","('production', 0.026992781635144004)","('national', 0.022034107293318023)","('perception', 0.02853352246001408)","('headed', 0.030596348501377657)","('food', 0.0336696523099403)","('appraisal', 0.030261624305835864)"
9,,,,"('based', 0.014932913477139924)","('innovation', 0.026443645785892506)","('political', 0.02145199592298849)","('strategy', 0.02537064388046219)","('social', 0.029363791428273042)","('natural', 0.032834362818242126)","('perceived', 0.02715895702354761)"
