,Topic,Count,Name,-1,0,1,2
0,-1.0,19.0,-1_cooling_park_effect_water,"('cooling', 0.07870826100624068)","('water', 0.11574928937616598)","('green', 0.08402581191072006)","('coastal', 0.056437232649965)"
1,0.0,34.0,0_water_system_groundwater_model,"('park', 0.05890257359548404)","('system', 0.041724187250228674)","('urban', 0.0477260745368156)","('carbon', 0.042399689214362664)"
2,1.0,31.0,1_green_urban_infrastructure_city,"('effect', 0.045934418992575256)","('groundwater', 0.03929737161145212)","('infrastructure', 0.038242645673680034)","('sea', 0.036534365114056444)"
3,2.0,28.0,2_coastal_carbon_sea_ecosystem,"('water', 0.04551429898792308)","('model', 0.027857091587237644)","('city', 0.035098698433845145)","('ecosystem', 0.03512026763824013)"
4,,,,"('area', 0.039100391334786516)","('management', 0.027367070297207197)","('environmental', 0.034454555796123124)","('sediment', 0.03179885348521932)"
5,,,,"('urban', 0.03868478224718921)","('impact', 0.02470685119572426)","('stormwater', 0.029567912455841054)","('marsh', 0.03165823994300364)"
6,,,,"('temperature', 0.03382874066040063)","('supply', 0.02299524725982643)","('roof', 0.029529608935447753)","('level', 0.029825030110508872)"
7,,,,"('nbcs', 0.029274038736663618)","('irrigation', 0.021095922488819047)","('flood', 0.02571124807698868)","('migration', 0.026412821186295142)"
8,,,,"('energy', 0.026494499522830714)","('energy', 0.020306076415553705)","('bond', 0.02451642261001382)","('rise', 0.022987019103656865)"
9,,,,"('index', 0.02585949184201278)","('flow', 0.0197185809504341)","('water', 0.022966954591759476)","('natural', 0.02289517450935791)"
