,Topic,Count,Name,-1,0,1
0,-1.0,24.0,-1_development_capacity_health_system,"('development', 0.04848670426433897)","('benefit', 0.05103832663491654)","('vulnerability', 0.08930248212938766)"
1,0.0,12.0,0_benefit_energy_nb_based,"('capacity', 0.03975231129383997)","('energy', 0.0484716014414245)","('risk', 0.08265889354392733)"
2,1.0,10.0,1_vulnerability_risk_disaster_community,"('health', 0.03507719665016774)","('nb', 0.04189838170142417)","('disaster', 0.06163895399166093)"
3,,,,"('system', 0.03338278267378663)","('based', 0.04137175576792144)","('community', 0.058009525787532684)"
4,,,,"('adaptive', 0.03252546727841342)","('environmental', 0.036353701081068376)","('cca', 0.052161129763432366)"
5,,,,"('approach', 0.0323604942398616)","('policy', 0.03314158338477069)","('hazard', 0.04748994970175615)"
6,,,,"('need', 0.03068175228520915)","('may', 0.02992741550101726)","('resilience', 0.047053678365623235)"
7,,,,"('assessment', 0.029489495724836716)","('assessment', 0.026485050021527592)","('method', 0.045672720110550104)"
8,,,,"('policy', 0.028385493550428877)","('multiple', 0.026478497588415886)","('framework', 0.045534615212641856)"
9,,,,"('information', 0.02768369764127838)","('process', 0.026044039442426836)","('assessment', 0.04145603055680449)"
