,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-1,220,-1_based_approach_social_policy,"('based', 0.018365270147343907)","('learning', 0.03871048699401494)","('resilience', 0.09632617726123441)","('disaster', 0.0927617854772213)","('energy', 0.0713992990975729)","('forest', 0.16218759596334112)","('planning', 0.09155704334407148)","('ecosystem', 0.08803229184817023)","('health', 0.19352576690255888)","('model', 0.052279677373846964)","('building', 0.10469569704140706)","('water', 0.06132731834016575)","('indigenous', 0.06687287574630149)","('tourism', 0.10088591369281998)"
1,0,34,0_learning_service_knowledge_network,"('approach', 0.017283449397928384)","('service', 0.03225405000916737)","('migration', 0.037100792608654024)","('risk', 0.06991043966264722)","('policy', 0.043333993646069296)","('management', 0.05892622322763776)","('plan', 0.04791051034117995)","('ecological', 0.049410433800878915)","('public', 0.08161001036450498)","('region', 0.04867418238254717)","('thermal', 0.05473752521312358)","('crop', 0.0461568911517042)","('people', 0.04636581345945535)","('destination', 0.06906920144952544)"
2,1,34,1_resilience_migration_community_social,"('social', 0.015746627781835446)","('knowledge', 0.027869577980986184)","('community', 0.0347263018874862)","('reduction', 0.04798645071430935)","('mitigation', 0.0312518035058548)","('carbon', 0.03967836474223846)","('local', 0.04317879200230891)","('conservation', 0.048131160387457274)","('communication', 0.027014508991067866)","('temperature', 0.04718352567440438)","('climatic', 0.045082406366521596)","('agricultural', 0.04395373580981714)","('social', 0.042742386878439925)","('visitor', 0.06010632606805806)"
3,2,30,2_disaster_risk_reduction_insurance,"('policy', 0.015566100407343792)","('network', 0.025562573370134522)","('social', 0.03012381289076072)","('insurance', 0.04169809000578702)","('emission', 0.028440390917044363)","('forestry', 0.0392895640641641)","('action', 0.041500122265098915)","('management', 0.03209369514449698)","('system', 0.024185011977237037)","('heat', 0.045529431567474375)","('bridge', 0.03972349970403572)","('land', 0.04027591675293794)","('ecological', 0.0323967464523113)","('tourist', 0.05291658631898059)"
4,3,28,3_energy_policy_mitigation_emission,"('risk', 0.01532239717639118)","('production', 0.02426910736545282)","('development', 0.024840329343990466)","('policy', 0.02916479242231468)","('renewable', 0.027803832961487453)","('xco2', 0.027762278990880115)","('process', 0.03547356435795054)","('geodiversity', 0.027621530383262375)","('wildlife', 0.023330684150743936)","('prediction', 0.043404173627661406)","('dwelling', 0.036646590016824854)","('model', 0.034918220512210746)","('local', 0.032225749062606494)","('outdoor', 0.05219117139550695)"
5,4,22,4_forest_management_carbon_forestry,"('community', 0.015007528019378883)","('education', 0.0217320092161171)","('labor', 0.02312403720132446)","('drr', 0.029002922878099576)","('economic', 0.02623455863538689)","('model', 0.025484945518789933)","('ap', 0.030446538015200437)","('service', 0.02612434805516757)","('approach', 0.022695979399724668)","('trend', 0.037803520351913936)","('traditional', 0.036235340043194376)","('agriculture', 0.034094079019754656)","('knowledge', 0.03003404301245556)","('recreation', 0.046117752674690905)"
6,5,21,5_planning_plan_local_action,"('system', 0.014130760163088783)","('science', 0.021280094233602498)","('household', 0.02252583020171606)","('level', 0.02560169707504596)","('strategy', 0.02507947205507943)","('goal', 0.02432439827305893)","('spatial', 0.02810533151524457)","('restoration', 0.02449805704687497)","('related', 0.02179949272100369)","('wave', 0.03761695047730655)","('geothermal', 0.03492494697052719)","('variability', 0.03377051665169344)","('environment', 0.028404839256046532)","('perception', 0.03441109486138028)"
7,6,21,6_ecosystem_ecological_conservation_management,"('project', 0.013515093042723029)","('development', 0.020664196426764224)","('capacity', 0.0199650467843874)","('cca', 0.02406756064460573)","('development', 0.02474872098654951)","('sustainable', 0.022666885876001543)","('approach', 0.025510717929059276)","('human', 0.023863852641798085)","('segmentation', 0.02169623985291644)","('projection', 0.03386408187293851)","('maintenance', 0.03284251512787415)","('impact', 0.032739039319577584)","('cultural', 0.02559287570892807)","('climatic', 0.03314882821067764)"
8,7,14,7_health_public_communication_system,"('management', 0.013280556480521752)","('approach', 0.019844722449205224)","('system', 0.017317156828815114)","('local', 0.023154040010984266)","('scheme', 0.024057851870450737)","('stand', 0.021995748493493276)","('impact', 0.024298967913439218)","('terrestrial', 0.02279150316394601)","('practice', 0.021338837088906066)","('data', 0.030957594765402482)","('architecture', 0.03150713997295637)","('lulc', 0.030311872077716056)","('adaptive', 0.02534848423881269)","('environmental', 0.026595426332664724)"
9,8,14,8_model_region_temperature_heat,"('analysis', 0.012903842286299937)","('process', 0.019770859214058304)","('risk', 0.017132562198797028)","('community', 0.02308640170812934)","('gas', 0.022976088004575977)","('mitigation', 0.021278844336533993)","('city', 0.023030715178566585)","('biodiversity', 0.02205487288054914)","('threat', 0.020649945366605686)","('observed', 0.03014798020908145)","('architectural', 0.029673395494905185)","('system', 0.028278162107367114)","('community', 0.024929697569520282)","('policy', 0.026244914020127234)"
10,9,13,9_building_thermal_climatic_bridge,,,,,,,,,,,,,,
11,10,13,10_water_crop_agricultural_land,,,,,,,,,,,,,,
12,11,12,11_indigenous_people_social_ecological,,,,,,,,,,,,,,
13,12,11,12_tourism_destination_visitor_tourist,,,,,,,,,,,,,,
