,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,-1,684,-1_policy_development_impact_local,"('policy', 0.014717271401021213)","('household', 0.02549871873475301)","('knowledge', 0.0319327857665384)","('disaster', 0.08065299578988429)","('policy', 0.0672039933209051)","('perception', 0.04647274063512059)","('vulnerability', 0.11165622230923625)","('network', 0.044285974840389424)","('vulnerability', 0.056770364117585265)","('health', 0.18379677958533958)","('planning', 0.0780799519877663)","('water', 0.05578011184264673)","('uncertainty', 0.12192704212180025)","('land', 0.06998880117905391)","('decision', 0.05521482058961578)","('forest', 0.1559109961942592)","('learning', 0.15105082052121768)","('resilience', 0.13446930915970942)","('gender', 0.1553066232657722)","('indigenous', 0.1603677264270605)","('energy', 0.11201217169296765)","('ecosystem', 0.1500810721010336)","('risk', 0.11050795809835802)","('bangladesh', 0.10353635017815178)","('conservation', 0.09285860452408629)","('coastal', 0.09345012591778039)","('migration', 0.22813680312830747)","('scenario', 0.06561500017174003)"
1,0,111,0_household_livelihood_community_farmer,"('development', 0.012641084591285627)","('livelihood', 0.024428925969473075)","('science', 0.03085885036764396)","('risk', 0.05181028867749507)","('governance', 0.038353905164802284)","('risk', 0.041692849387227546)","('assessment', 0.05727476449353909)","('social', 0.044145244905757476)","('community', 0.033901205258652506)","('disease', 0.04545389843828272)","('local', 0.0500462766012065)","('model', 0.04722881321685413)","('decision', 0.05966011178648688)","('model', 0.03673983082430993)","('making', 0.0272685685227868)","('management', 0.0710799395447576)","('social', 0.03909904398511831)","('disaster', 0.028757069302566055)","('woman', 0.06002832248722238)","('knowledge', 0.06339387912078019)","('carbon', 0.05799400456968489)","('service', 0.07485129183861292)","('assessment', 0.051125963185050256)","('mainstreaming', 0.055831559269537916)","('site', 0.07141677807077455)","('protection', 0.04327104112357472)","('displacement', 0.05516679424019123)","('aviation', 0.05147279630085117)"
2,1,91,1_knowledge_science_project_practice,"('impact', 0.011569402515526551)","('community', 0.021678172974187237)","('project', 0.020422900557243846)","('drr', 0.043654890407949544)","('actor', 0.023345248567188448)","('attitude', 0.03530583352124462)","('approach', 0.023748331721004108)","('forum', 0.04090974698582102)","('caribbean', 0.026493495342279662)","('public', 0.043384064250270776)","('state', 0.039960502735223793)","('basin', 0.03673758210913705)","('making', 0.029329443028451262)","('use', 0.03411496717161461)","('user', 0.024495811480751736)","('ecosystem', 0.024400239541015188)","('process', 0.032669400893050746)","('concept', 0.025862030827221983)","('equality', 0.030531167753028565)","('people', 0.04867825555580219)","('emission', 0.055935682508353644)","('eba', 0.03544167950830909)","('maladaptation', 0.026976335204232895)","('neld', 0.04313671699486693)","('heritage', 0.04965525238354941)","('option', 0.04202744996918272)","('environmental', 0.0504194693768694)","('stakeholder', 0.04315288234398192)"
3,2,56,2_disaster_risk_drr_reduction,"('local', 0.011088830591159107)","('farmer', 0.021061165394350958)","('practice', 0.018449982224885884)","('reduction', 0.03596486532666809)","('transnational', 0.02042299488548527)","('behavior', 0.03530573483502055)","('method', 0.02337844076293527)","('governance', 0.035277105027100304)","('capacity', 0.025289934653187785)","('impact', 0.02463917653537114)","('plan', 0.037338391804606685)","('reservoir', 0.03358703653116861)","('risk', 0.02820819067112995)","('crop', 0.02507303547170203)","('support', 0.0238148094270367)","('carbon', 0.020160234672000402)","('approach', 0.023297308304966284)","('social', 0.023512048475477366)","('agriculture', 0.02523319894790022)","('community', 0.033139384574597745)","('building', 0.027532581580518634)","('riparian', 0.03232921967624702)","('hazard', 0.023851221355477053)","('making', 0.03412065044800301)","('monitoring', 0.031157931653174025)","('sea', 0.041175221610356375)","('mobility', 0.04306778156774964)","('case', 0.039190152822218396)"
4,3,53,3_policy_governance_actor_transnational,"('process', 0.011038621097949015)","('food', 0.019324107531775707)","('network', 0.01718370181260122)","('cca', 0.03524566854689155)","('government', 0.018977784131458862)","('farmer', 0.033011379009967125)","('index', 0.020547020096785152)","('level', 0.028905657546918775)","('island', 0.024114658402034778)","('surveillance', 0.020687127228446116)","('planner', 0.028543007401550538)","('bias', 0.02525851334835472)","('approach', 0.02445858951893691)","('grassland', 0.0246420605595039)","('strategic', 0.021152409459958367)","('policy', 0.01991876257882758)","('outcome', 0.02019246407046668)","('indicator', 0.021862240990559608)","('csa', 0.02488741488859933)","('inuit', 0.02006879261573025)","('model', 0.024000257513752773)","('based', 0.031589214178447615)","('ic', 0.02233852335681191)","('community', 0.031259560615491)","('vernacular', 0.027398504081282443)","('cost', 0.03891514137989953)","('population', 0.03719860673865621)","('process', 0.031635588433968825)"
5,4,39,4_perception_risk_attitude_behavior,"('planning', 0.0107740997268265)","('strategy', 0.018667012325738825)","('stakeholder', 0.015483817068376446)","('hazard', 0.023053947383201275)","('public', 0.01759498113230894)","('effect', 0.025818971501059277)","('risk', 0.016889912604581822)","('actor', 0.02679389870281286)","('adaptive', 0.023405771881486476)","('evidence', 0.017842807140115113)","('action', 0.026678177008703473)","('scenario', 0.023016618567064242)","('planning', 0.021920292004202573)","('ecosystem', 0.02346825185365046)","('tool', 0.02055123667952083)","('frts', 0.019473339731777187)","('education', 0.01900109351064284)","('risk', 0.019605237376630398)","('social', 0.02362987567009255)","('traditional', 0.01973518044635795)","('consumption', 0.023143157312885975)","('benefit', 0.025574988828068867)","('process', 0.020082038280088508)","('vdmc', 0.027308690437327938)","('management', 0.026341821187117816)","('benefit', 0.0376567225950121)","('human', 0.03668410340544)","('toolbox', 0.030647508638652707)"
6,5,36,5_vulnerability_assessment_approach_method,"('approach', 0.010450363978599976)","('adaptive', 0.017886476839808946)","('scientist', 0.014543999334075524)","('development', 0.02109804254013448)","('sector', 0.01750008791664769)","('belief', 0.02351671035349822)","('indicator', 0.01578010702473471)","('community', 0.026244729203463983)","('level', 0.02163053093143616)","('risk', 0.01766408857055344)","('government', 0.02662443261802616)","('using', 0.021013360628975346)","('robust', 0.02004281769289954)","('scenario', 0.020694641572843227)","('information', 0.0201208437104439)","('knowledge', 0.017218559975012065)","('context', 0.018474147579148725)","('measurement', 0.016401677588834717)","('power', 0.02228890210557116)","('practice', 0.019255779641334216)","('performance', 0.02230156118629618)","('function', 0.02370897189325678)","('chain', 0.01815089903452033)","('local', 0.026346507060524826)","('action', 0.02616301423956045)","('rise', 0.03151418438666398)","('nexus', 0.035005829433496574)","('local', 0.0289008410783868)"
7,6,34,6_network_social_forum_governance,"('risk', 0.01035908810506047)","('agricultural', 0.01654711501038771)","('decision', 0.014454958642948004)","('community', 0.020885051187273886)","('case', 0.015564510210542698)","('perceived', 0.02151078178636348)","('framework', 0.014508969528070488)","('adaptive', 0.02444229529203565)","('local', 0.02115737303778465)","('policy', 0.016788097542241316)","('spatial', 0.0211157554378087)","('method', 0.019129276602944556)","('option', 0.01926796937048685)","('soil', 0.0204893589086884)","('measure', 0.019745887216038472)","('resource', 0.016229118918442854)","('governance', 0.017192936093073007)","('community', 0.015483334978396497)","('intersectional', 0.018602325010903156)","('cultural', 0.01858404022028618)","('efficiency', 0.022207751094267196)","('biodiversity', 0.022653240195171318)","('crm', 0.017932871130613613)","('development', 0.02495079822039442)","('preservation', 0.02542126995193959)","('barrier', 0.02731478757384195)","('migrant', 0.02663338199094174)","('participatory', 0.0282379202783713)"
8,7,34,7_vulnerability_community_caribbean_capacity,"('framework', 0.009905528706708612)","('capacity', 0.01613074948292373)","('process', 0.014104904736268188)","('management', 0.0197567389687236)","('instrument', 0.01505653224552033)","('preference', 0.021318770662867796)","('social', 0.014399580067547121)","('organizational', 0.020758454252187322)","('fishery', 0.020188318028419475)","('framework', 0.016735183491941794)","('level', 0.020738070361123566)","('uncertainty', 0.018013587003175326)","('roa', 0.01748032500991992)","('fragmentation', 0.019637522379704456)","('context', 0.019722713247827112)","('decision', 0.015678077992507037)","('literature', 0.016992083406737073)","('adult', 0.01529701217628116)","('policy', 0.017464527086816065)","('environmental', 0.017620907750863727)","('development', 0.01799622183316052)","('drought', 0.020993335271446544)","('infrastructure', 0.017575095961425726)","('country', 0.024815018507638554)","('archaeological', 0.024428109187751026)","('planning', 0.02390635872941556)","('refugee', 0.02663338199094174)","('fact', 0.02618513978275827)"
9,8,34,8_health_disease_public_impact,"('based', 0.009810403685868543)","('smallholder', 0.015255394559659212)","('social', 0.014063455416110447)","('governance', 0.01842280276174492)","('national', 0.014791543767271348)","('mitigation', 0.021088960938062666)","('exposure', 0.014346242469331692)","('fairness', 0.020625132610195815)","('social', 0.01821610733605481)","('related', 0.016575139284567473)","('tool', 0.018832741025576954)","('allocation', 0.017498440961768814)","('may', 0.017396243763698232)","('vegetation', 0.018731031701943974)","('term', 0.019448170832587732)","('objective', 0.015527749669355365)","('concept', 0.0169192703841885)","('wellbeing', 0.015119772528480862)","('men', 0.017339501019966945)","('colonial', 0.016370296517494366)","('low', 0.017970091534510034)","('viet', 0.020283531265302152)","('cause', 0.01719136708558477)","('director', 0.020463410373110343)","('technique', 0.02441460471075092)","('analysis', 0.02300662435631925)","('expert', 0.026284215164186685)","('joint', 0.025856158227226256)"
