,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-1,1028,-1_policy_local_development_planning,"('policy', 0.012682724660380826)","('disaster', 0.0549419286524519)","('livelihood', 0.02738861664475315)","('energy', 0.059894586634761104)","('behavior', 0.029440884898579118)","('planning', 0.041210052520031036)","('policy', 0.0543001804470151)","('vulnerability', 0.08945255103067341)","('ecosystem', 0.06050833772490693)","('water', 0.06577632048695072)","('health', 0.14945232999392852)","('coastal', 0.08092702760189466)","('narrative', 0.02573924229069064)","('gender', 0.1528725447705636)","('justice', 0.09470133943395041)","('indigenous', 0.12405446001066153)","('policy', 0.03238435692339399)","('land', 0.061255956278266306)","('scenario', 0.027735946550213296)","('learning', 0.11447294054763882)","('science', 0.04974652963464285)","('sids', 0.09169952044964733)","('risk', 0.06719706477027015)","('uncertainty', 0.10347503919900097)","('forest', 0.12558268864438452)","('migration', 0.15558866470964455)","('business', 0.0894675104007851)","('heritage', 0.15995421257766396)","('bangladesh', 0.08049231961602156)","('fund', 0.06597789613613023)","('resilience', 0.05721584853283534)","('barrier', 0.15309836653780445)","('household', 0.048409540834429964)","('network', 0.08879547956077108)","('development', 0.08493159861320874)","('tourism', 0.20368195105947595)","('cba', 0.1269838591248204)","('transformation', 0.08606635647880247)"
1,0,153,0_disaster_resilience_risk_drr,"('local', 0.011052424858707985)","('resilience', 0.03691117075216564)","('farmer', 0.021846333895297387)","('emission', 0.034415095227661105)","('risk', 0.02938901053882459)","('city', 0.02978607452137747)","('governance', 0.03665427388934502)","('assessment', 0.03736068905588386)","('eba', 0.04346838667191374)","('basin', 0.03425786953179934)","('public', 0.03136165357863152)","('planning', 0.02474325911732042)","('social', 0.019264732698605957)","('woman', 0.06807287859189705)","('responsibility', 0.023807349463437367)","('knowledge', 0.041494770755580765)","('local', 0.026945062869792)","('use', 0.02974824135868907)","('process', 0.02679249902746949)","('governance', 0.04892279149217778)","('knowledge', 0.044617470909300225)","('island', 0.07378853138927859)","('infrastructure', 0.04825320163881101)","('decision', 0.06496696371870335)","('management', 0.06641623329205647)","('migrant', 0.05270104950737341)","('private', 0.04700333665295159)","('cultural', 0.09112387283433136)","('neld', 0.026659388563636272)","('finance', 0.05541167395308029)","('ecological', 0.038246880912411685)","('limit', 0.033831115423147894)","('livelihood', 0.046014279226483025)","('social', 0.051064164416125775)","('eta', 0.053633512373050564)","('destination', 0.07099668056111325)","('community', 0.09569383867716957)","('transformational', 0.08206081305170766)"
2,1,116,1_livelihood_farmer_community_agricultural,"('development', 0.010650434620657998)","('risk', 0.034271216680842244)","('community', 0.021528239615165104)","('mitigation', 0.028264850664339584)","('perception', 0.026732484436424474)","('local', 0.029565686757036233)","('actor', 0.02143587094102505)","('index', 0.023738529711436557)","('conservation', 0.03291656953109818)","('model', 0.03263920273245965)","('disease', 0.02747814215241261)","('sea', 0.021130004876225898)","('story', 0.018602341433659568)","('inequality', 0.025710000208149023)","('injustice', 0.022400094810059102)","('people', 0.04016185521867767)","('level', 0.026116552139885032)","('model', 0.027154883916552273)","('decision', 0.026008988052700313)","('social', 0.032849183772903426)","('scientist', 0.032654403896065144)","('small', 0.035323640391300114)","('assessment', 0.03272269508471932)","('making', 0.03390670320169581)","('ecosystem', 0.02897985574390927)","('relocation', 0.04022057929078293)","('sector', 0.039984934569385795)","('site', 0.06379355662574547)","('policy', 0.022474998858383655)","('country', 0.041832710653408225)","('fishery', 0.036404790971851154)","('mechanism', 0.033019839623148584)","('vulnerability', 0.039813445986112465)","('ci', 0.030943782912599745)","('napa', 0.05025943621617706)","('sector', 0.04410313438287742)","('project', 0.06483326589961803)","('transition', 0.07959712474759822)"
3,2,108,2_energy_emission_mitigation_carbon,"('planning', 0.010026439147059496)","('drr', 0.03291919295179112)","('agricultural', 0.020302114721784534)","('carbon', 0.027535316465395046)","('individual', 0.024321827169816495)","('plan', 0.018942098475697652)","('instrument', 0.019118477751129754)","('approach', 0.019415496225056048)","('service', 0.030320930008317447)","('river', 0.025121413305182822)","('impact', 0.019764891738696482)","('rise', 0.017532637624710277)","('knowledge', 0.016801840414676826)","('equality', 0.02547147782386832)","('principle', 0.02172781802652454)","('community', 0.02520439223303897)","('mainstreaming', 0.025122637280034835)","('ecosystem', 0.02082356948564358)","('stakeholder', 0.02561400317559286)","('process', 0.026775792960433073)","('researcher', 0.025592239126920244)","('caribbean', 0.02999772689054082)","('ic', 0.018424683210411526)","('option', 0.028059512011344805)","('manager', 0.021442018383028307)","('mobility', 0.039552894235456354)","('smes', 0.03991188842587162)","('preservation', 0.03585143893866317)","('community', 0.020703119132751958)","('af', 0.03876497001523913)","('capacity', 0.03253273475397852)","('study', 0.022826979183656997)","('poverty', 0.03872810521092054)","('organizational', 0.029129513125024094)","('icts', 0.040596812188407945)","('product', 0.025023326698081157)","('based', 0.02869440144216755)","('transformative', 0.04330885656998189)"
4,3,107,3_behavior_risk_perception_individual,"('community', 0.00981344666318989)","('cca', 0.026974014707741717)","('household', 0.01922196670568449)","('building', 0.017070138319796164)","('child', 0.022102667458409393)","('urban', 0.01873272185700743)","('transnational', 0.015957294689725548)","('indicator', 0.017375112402174184)","('benefit', 0.023243767631317847)","('reservoir', 0.023580853387873)","('risk', 0.014640148685638833)","('risk', 0.016316393642828046)","('science', 0.016423730480013755)","('gendered', 0.023631745886337676)","('equity', 0.017438239961107764)","('cultural', 0.021352820289782797)","('cca', 0.024866580267807147)","('grassland', 0.018425168240635774)","('planning', 0.020764641265730677)","('adaptive', 0.01818198936450285)","('network', 0.025392135584510388)","('pacific', 0.02468767014750431)","('chain', 0.018421588340200887)","('investment', 0.027993600910417398)","('frts', 0.016886846219039867)","('environmental', 0.031276147776830236)","('enterprise', 0.0357064723911894)","('historic', 0.033590989810363486)","('knowledge', 0.019220405403083677)","('gcf', 0.031140563243623028)","('adaptive', 0.028812373725629583)","('cause', 0.021182783114824407)","('poor', 0.03788544548846009)","('information', 0.029030346074204724)","('country', 0.033192851356932986)","('change', 0.024265632865421743)","('akar', 0.028342632974916727)","('incremental', 0.03723693587546797)"
5,4,103,4_planning_city_local_plan,"('impact', 0.009796772969010752)","('reduction', 0.025287445783238403)","('food', 0.01799143449601894)","('policy', 0.01583334855472028)","('behaviour', 0.0186244640838635)","('government', 0.01810639322533101)","('national', 0.015924146868573786)","('method', 0.015439940479885651)","('based', 0.023199728825582275)","('uncertainty', 0.018223493104176976)","('national', 0.013593093538135276)","('option', 0.015611633641139166)","('way', 0.0163732803860038)","('men', 0.019340835830451267)","('legal', 0.01720776978886481)","('traditional', 0.015543485630056001)","('national', 0.023294728962927433)","('vegetation', 0.018211474407958568)","('pathway', 0.019835460605767068)","('knowledge', 0.017451144404530133)","('scientific', 0.02422251832617545)","('community', 0.023153794621370013)","('vulnerability', 0.01756071834005854)","('value', 0.026613943417449885)","('knowledge', 0.016231201579934445)","('displacement', 0.029340331353831614)","('firm', 0.03386105879238236)","('building', 0.025669937317080057)","('mangrove', 0.018247406120343243)","('international', 0.029358783747338316)","('social', 0.028059578850738315)","('emerge', 0.019973947099416856)","('community', 0.03406376520733119)","('actor', 0.0286969972841025)","('intervention', 0.028945366633146473)","('order', 0.024106642755010732)","('planned', 0.025044535700271542)","('ta', 0.035893999210394566)"
6,5,97,5_policy_governance_actor_instrument,"('approach', 0.009601343771107046)","('hazard', 0.01679447311462337)","('capacity', 0.017988158079660314)","('country', 0.015673310877415695)","('response', 0.018529259871743566)","('action', 0.01759485659480466)","('level', 0.015382108083877358)","('capacity', 0.0138358644190926)","('nb', 0.022435296346794188)","('ensemble', 0.01737600765302452)","('related', 0.013467557572703385)","('protection', 0.014979552239488018)","('place', 0.014787544071557022)","('power', 0.017622274935978562)","('distributive', 0.01708564125490203)","('arctic', 0.013914652499546034)","('institutional', 0.02061238493295303)","('landscape', 0.0182092525009683)","('case', 0.019599979042843146)","('literature', 0.01701329196473758)","('project', 0.02279324900020731)","('developing', 0.020937520086275557)","('asset', 0.017234733315457655)","('roa', 0.024318436153052764)","('adaptive', 0.015149398048673516)","('population', 0.028891154518304395)","('chain', 0.030099391054665893)","('vernacular', 0.02454436428107536)","('government', 0.018035687333418905)","('project', 0.028930236706445324)","('marine', 0.027377461149516013)","('overcome', 0.019840655804291146)","('capacity', 0.029266782528027006)","('capital', 0.02665130682891581)","('integration', 0.026125459113720325)","('information', 0.0233802168333251)","('participation', 0.022484022090715598)","('shift', 0.03583449550398824)"
7,6,80,6_vulnerability_assessment_index_approach,"('process', 0.009437188163314316)","('development', 0.014103549113623635)","('adaptive', 0.017349185265328724)","('model', 0.014675924592728522)","('coping', 0.018085560898448608)","('policy', 0.01737560797558546)","('institutional', 0.01507808170547129)","('adaptive', 0.01322835063111881)","('ecological', 0.018957022844288376)","('resource', 0.015709053264373336)","('policy', 0.013423046791377681)","('management', 0.014915453631527978)","('future', 0.014073583411965828)","('policy', 0.017482495226542438)","('environmental', 0.016314919389795523)","('local', 0.013427045351425174)","('development', 0.019502493783075642)","('area', 0.016452973003250264)","('information', 0.017780540465441468)","('approach', 0.015471243213096427)","('decision', 0.02099705745102591)","('country', 0.01870019794756788)","('impact', 0.01551988248719803)","('robust', 0.020216417223397343)","('strategy', 0.015043901050173196)","('discourse', 0.02190532636379037)","('corporate', 0.026635320108765178)","('ranger', 0.021757329107564578)","('local', 0.017698295611806865)","('funding', 0.02823593291264307)","('system', 0.02525685378599023)","('impasse', 0.017883733957308925)","('adaptive', 0.027647901346418223)","('organization', 0.026566354591971455)","('project', 0.025603845117526104)","('mombasa', 0.023008581934455697)","('namdrik', 0.02204990642878233)","('ecological', 0.031005942415011166)"
8,7,77,7_ecosystem_eba_conservation_service,"('risk', 0.009152230453005245)","('community', 0.014096330398674146)","('smallholder', 0.01710945361844502)","('technology', 0.014579103161946492)","('belief', 0.01737316441106182)","('spatial', 0.01621788659094991)","('government', 0.014642055506647272)","('based', 0.01310660153302546)","('pe', 0.016944585772207303)","('projection', 0.01526235489046201)","('sector', 0.01335588793907199)","('policy', 0.01424071012611852)","('discourse', 0.013226876054537621)","('social', 0.015876338974960373)","('politics', 0.013522403778814425)","('practice', 0.01325419880615341)","('government', 0.01949967816450537)","('crop', 0.016196621359712508)","('support', 0.015813519393837832)","('system', 0.014682066226429265)","('co', 0.020609349374648797)","('national', 0.017460398032158164)","('approach', 0.014130230209884067)","('risk', 0.019703547206017198)","('objective', 0.014909676641733845)","('resettlement', 0.02129330459279612)","('risk', 0.020872959858680453)","('archaeological', 0.02036715659736097)","('nelds', 0.017623855748788372)","('access', 0.022806981018612088)","('management', 0.022785682356002996)","('information', 0.01696108609861278)","('transfer', 0.02539198104304854)","('fairness', 0.025115656328782678)","('planning', 0.023764617446135106)","('regional', 0.020574714571263263)","('ngo', 0.018470968790982065)","('fund', 0.030898995123800718)"
9,8,74,8_water_basin_model_river,"('level', 0.008644097333071706)","('management', 0.012727267986486667)","('strategy', 0.015520513690181106)","('economic', 0.0143301942499836)","('household', 0.017178077891174016)","('municipality', 0.015908403767522783)","('mainstreaming', 0.014494422725399454)","('social', 0.013052236659671455)","('nature', 0.01694119956060777)","('impact', 0.01479546230963577)","('surveillance', 0.013140374338970737)","('strategy', 0.014046878363786859)","('approach', 0.013071653650722371)","('agriculture', 0.015078524736644495)","('policy', 0.013230072601407862)","('context', 0.011154851949971718)","('intervention', 0.01720722299415278)","('spatial', 0.015691938445158038)","('making', 0.014561926497206048)","('case', 0.014264862321855682)","('user', 0.019910251347197778)","('vulnerable', 0.01721297780379013)","('framework', 0.013317364120824347)","('real', 0.019540276741473635)","('owner', 0.0145348134442809)","('household', 0.019893371250991776)","('msps', 0.020831517159883562)","('expert', 0.020093572846835356)","('country', 0.016335885243953675)","('agreement', 0.020118440606843584)","('component', 0.02208684824611857)","('governance', 0.016933957503247256)","('microfinance', 0.02476876502124287)","('mpa', 0.023563571946840035)","('national', 0.02351132907433711)","('sustainable', 0.019685484854111417)","('implemented', 0.01764101088390304)","('response', 0.028302983911509712)"
